,filter_strategy,space,metric,value
0,none,CPM,1-JSD,0.7134371776121661
1,none,CPM,Pearson,0.5561878363018535
2,none,CPM,Spearman,0.8820956631778152
3,none,CPM,CCC,0.544391032675252
4,none,log,1-JSD,0.863399944448938
5,none,log,Pearson,0.8932051264934053
6,none,log,Spearman,0.8820956631778152
7,none,log,CCC,0.8924542581695489
8,none,CPM,1-JSD,0.7041367950772635
9,none,CPM,Pearson,0.5746032681228797
10,none,CPM,Spearman,0.8720874066257427
11,none,CPM,CCC,0.571661724937233
12,none,log,1-JSD,0.8547504828066905
13,none,log,Pearson,0.8815162731382034
14,none,log,Spearman,0.8720874066257427
15,none,log,CCC,0.8767173667036484
16,none,CPM,1-JSD,0.7134272053823294
17,none,CPM,Pearson,0.545318444285549
18,none,CPM,Spearman,0.885115847703805
19,none,CPM,CCC,0.5410074348393724
20,none,log,1-JSD,0.8633358952486195
21,none,log,Pearson,0.8950352270544149
22,none,log,Spearman,0.885115847703805
23,none,log,CCC,0.8918242573607049
24,none,CPM,1-JSD,0.6957111853915887
25,none,CPM,Pearson,0.5519545586217443
26,none,CPM,Spearman,0.857310874574306
27,none,CPM,CCC,0.5498513359197632
28,none,log,1-JSD,0.8439725593736266
29,none,log,Pearson,0.8685444053823981
30,none,log,Spearman,0.857310874574306
31,none,log,CCC,0.8625508244684871
32,none,CPM,1-JSD,0.7023997283693479
33,none,CPM,Pearson,0.5179474012960928
34,none,CPM,Spearman,0.8441136857889167
35,none,CPM,CCC,0.48549251099774765
36,none,log,1-JSD,0.8410421559319181
37,none,log,Pearson,0.8601871868795625
38,none,log,Spearman,0.8441136857889167
39,none,log,CCC,0.8467754824165913
40,none,CPM,1-JSD,0.7237518903363412
41,none,CPM,Pearson,0.5441028963372221
42,none,CPM,Spearman,0.8830419205436665
43,none,CPM,CCC,0.5189461754162752
44,none,log,1-JSD,0.8642989849736986
45,none,log,Pearson,0.8961130131956658
46,none,log,Spearman,0.8830419205436665
47,none,log,CCC,0.8913535470881163
48,none,CPM,1-JSD,0.7013172980759728
49,none,CPM,Pearson,0.5552287546604125
50,none,CPM,Spearman,0.8764236570681545
51,none,CPM,CCC,0.5530783853482611
52,none,log,1-JSD,0.8578548559504576
53,none,log,Pearson,0.8849152034982357
54,none,log,Spearman,0.8764236570681545
55,none,log,CCC,0.8812755339963678
56,none,CPM,1-JSD,0.7155972247141397
57,none,CPM,Pearson,0.5543592804739886
58,none,CPM,Spearman,0.8788008108668263
59,none,CPM,CCC,0.5475130669786361
60,none,log,1-JSD,0.8596329423696907
61,none,log,Pearson,0.8893493034350362
62,none,log,Spearman,0.8788008108668263
63,none,log,CCC,0.8867512525454257
64,none,CPM,1-JSD,0.6799110696924551
65,none,CPM,Pearson,0.4321647115367566
66,none,CPM,Spearman,0.8789204094368205
67,none,CPM,CCC,0.4296224870124993
68,none,log,1-JSD,0.8579250311411657
69,none,log,Pearson,0.8871449882993847
70,none,log,Spearman,0.8789204094368205
71,none,log,CCC,0.8811588644019166
72,mRNA,CPM,1-JSD,0.7509145795955899
73,mRNA,CPM,Pearson,0.8860117996174637
74,mRNA,CPM,Spearman,0.8827290348307354
75,mRNA,CPM,CCC,0.8493340619487246
76,mRNA,log,1-JSD,0.8666058795477598
77,mRNA,log,Pearson,0.8952527803935273
78,mRNA,log,Spearman,0.8827290348307354
79,mRNA,log,CCC,0.8950117334932362
80,mRNA,CPM,1-JSD,0.7367264685843815
81,mRNA,CPM,Pearson,0.886778784216951
82,mRNA,CPM,Spearman,0.8731512315161553
83,mRNA,CPM,CCC,0.8300950046922947
84,mRNA,log,1-JSD,0.8584328329588954
85,mRNA,log,Pearson,0.8840106997375526
86,mRNA,log,Spearman,0.8731512315161553
87,mRNA,log,CCC,0.8805364521909358
88,mRNA,CPM,1-JSD,0.7494770289362311
89,mRNA,CPM,Pearson,0.8811213525072122
90,mRNA,CPM,Spearman,0.8868204225402777
91,mRNA,CPM,CCC,0.8187233117789988
92,mRNA,log,1-JSD,0.8672251714639865
93,mRNA,log,Pearson,0.8978244588417587
94,mRNA,log,Spearman,0.8868204225402777
95,mRNA,log,CCC,0.8957371016703942
96,mRNA,CPM,1-JSD,0.7276036507000563
97,mRNA,CPM,Pearson,0.863974745102382
98,mRNA,CPM,Spearman,0.8579212875080899
99,mRNA,CPM,CCC,0.7987779413537242
100,mRNA,log,1-JSD,0.8468616976617922
101,mRNA,log,Pearson,0.8703198517728645
102,mRNA,log,Spearman,0.8579212875080899
103,mRNA,log,CCC,0.8658619607481831
104,mRNA,CPM,1-JSD,0.7340312208400531
105,mRNA,CPM,Pearson,0.8223089044097441
106,mRNA,CPM,Spearman,0.8456590935487484
107,mRNA,CPM,CCC,0.8113516335356027
108,mRNA,log,1-JSD,0.8441441084655308
109,mRNA,log,Pearson,0.8625262146015472
110,mRNA,log,Spearman,0.8456590935487484
111,mRNA,log,CCC,0.8461998993305119
112,mRNA,CPM,1-JSD,0.758909747493683
113,mRNA,CPM,Pearson,0.879093870464597
114,mRNA,CPM,Spearman,0.8847128915941891
115,mRNA,CPM,CCC,0.8579719012868205
116,mRNA,log,1-JSD,0.8675720060620593
117,mRNA,log,Pearson,0.8987053085719136
118,mRNA,log,Spearman,0.8847128915941891
119,mRNA,log,CCC,0.8920470261484454
120,mRNA,CPM,1-JSD,0.7337758030907132
121,mRNA,CPM,Pearson,0.8720419297360353
122,mRNA,CPM,Spearman,0.8772863444993402
123,mRNA,CPM,CCC,0.8073293785159588
124,mRNA,log,1-JSD,0.8612436314569252
125,mRNA,log,Pearson,0.8872069412338368
126,mRNA,log,Spearman,0.8772863444993402
127,mRNA,log,CCC,0.8847723434249353
128,mRNA,CPM,1-JSD,0.7525392291863156
129,mRNA,CPM,Pearson,0.9076328860421683
130,mRNA,CPM,Spearman,0.8802560862358839
131,mRNA,CPM,CCC,0.8473778289052509
132,mRNA,log,1-JSD,0.8631990854171978
133,mRNA,log,Pearson,0.8919152614319843
134,mRNA,log,Spearman,0.8802560862358839
135,mRNA,log,CCC,0.8903359730815307
136,mRNA,CPM,1-JSD,0.7080085350518577
137,mRNA,CPM,Pearson,0.6719542199012762
138,mRNA,CPM,Spearman,0.8800196550602378
139,mRNA,CPM,CCC,0.5719280800853096
140,mRNA,log,1-JSD,0.8614141910206254
141,mRNA,log,Pearson,0.8894286127524347
142,mRNA,log,Spearman,0.8800196550602378
143,mRNA,log,CCC,0.8849569982009232
