,filter_strategy,space,metric,value
0,none,CPM,1-JSD,0.9453605275328375
1,none,CPM,Pearson,0.9984484354120645
2,none,CPM,Spearman,0.9679093191660018
3,none,CPM,CCC,0.9983466583617253
4,none,log,1-JSD,0.8987489766439727
5,none,log,Pearson,0.9894816002355971
6,none,log,Spearman,0.9679093191660018
7,none,log,CCC,0.9894137488561809
8,none,CPM,1-JSD,0.9606481215203346
9,none,CPM,Pearson,0.9997124426841013
10,none,CPM,Spearman,0.9710579392285873
11,none,CPM,CCC,0.9996383236190443
12,none,log,1-JSD,0.9064110060032974
13,none,log,Pearson,0.9916994283482504
14,none,log,Spearman,0.9710579392285873
15,none,log,CCC,0.9916728087138322
16,none,CPM,1-JSD,0.9354332925668982
17,none,CPM,Pearson,0.9955581048005042
18,none,CPM,Spearman,0.9710554004732844
19,none,CPM,CCC,0.9955578294000793
20,none,log,1-JSD,0.9037431818593269
21,none,log,Pearson,0.9903191353038236
22,none,log,Spearman,0.9710554004732844
23,none,log,CCC,0.9902921265219798
24,none,CPM,1-JSD,0.95435869807902
25,none,CPM,Pearson,0.9991222220188701
26,none,CPM,Spearman,0.9693816583408862
27,none,CPM,CCC,0.998968924343676
28,none,log,1-JSD,0.9011500312388645
29,none,log,Pearson,0.9901810243006658
30,none,log,Spearman,0.9693816583408862
31,none,log,CCC,0.9901337017749682
32,none,CPM,1-JSD,0.9547181519821785
33,none,CPM,Pearson,0.9991314265778154
34,none,CPM,Spearman,0.9688611362713343
35,none,CPM,CCC,0.9990239191218933
36,none,log,1-JSD,0.8996495485678987
37,none,log,Pearson,0.9899029976762408
38,none,log,Spearman,0.9688611362713343
39,none,log,CCC,0.9897832377529411
40,none,CPM,1-JSD,0.9595406097248558
41,none,CPM,Pearson,0.9996938644100006
42,none,CPM,Spearman,0.9718989392447637
43,none,CPM,CCC,0.9995534013606181
44,none,log,1-JSD,0.906706076660704
45,none,log,Pearson,0.9913303210198593
46,none,log,Spearman,0.9718989392447637
47,none,log,CCC,0.9912957946921509
48,none,CPM,1-JSD,0.9541973907644132
49,none,CPM,Pearson,0.999116464113672
50,none,CPM,Spearman,0.9718129471563104
51,none,CPM,CCC,0.9990576730196564
52,none,log,1-JSD,0.9065610643931322
53,none,log,Pearson,0.9913909831461187
54,none,log,Spearman,0.9718129471563104
55,none,log,CCC,0.9913753200776738
56,none,CPM,1-JSD,0.9497632230335817
57,none,CPM,Pearson,0.9989406857781797
58,none,CPM,Spearman,0.9709420686678465
59,none,CPM,CCC,0.9987519600364491
60,none,log,1-JSD,0.9048098687385105
61,none,log,Pearson,0.9908868654727805
62,none,log,Spearman,0.9709420686678465
63,none,log,CCC,0.9908629778658055
64,none,CPM,1-JSD,0.9573261166653169
65,none,CPM,Pearson,0.9995249958398071
66,none,CPM,Spearman,0.9712140891963903
67,none,CPM,CCC,0.9995001852165334
68,none,log,1-JSD,0.904764948546399
69,none,log,Pearson,0.990962739869182
70,none,log,Spearman,0.9712140891963903
71,none,log,CCC,0.9908887435596095
72,mRNA,CPM,1-JSD,0.9618708591173927
73,mRNA,CPM,Pearson,0.9994554186946444
74,mRNA,CPM,Spearman,0.9862199254808447
75,mRNA,CPM,CCC,0.9951857381245243
76,mRNA,log,1-JSD,0.9238426256755252
77,mRNA,log,Pearson,0.9901502489866199
78,mRNA,log,Spearman,0.9862199254808447
79,mRNA,log,CCC,0.9894956313667774
80,mRNA,CPM,1-JSD,0.9646021481111554
81,mRNA,CPM,Pearson,0.999594258226178
82,mRNA,CPM,Spearman,0.9883395127849844
83,mRNA,CPM,CCC,0.9962852080428514
