,filter_strategy,space,metric,value
0,none,CPM,1-JSD,0.5709432581890108
1,none,CPM,Pearson,0.46202571173927864
2,none,CPM,Spearman,0.7508615164456658
3,none,CPM,CCC,0.4090285807639796
4,none,log,1-JSD,0.8303342945085738
5,none,log,Pearson,0.7626579723994009
6,none,log,Spearman,0.7508615164456658
7,none,log,CCC,0.7594266812432092
8,none,CPM,1-JSD,0.5681848067358664
9,none,CPM,Pearson,0.46906040408894334
10,none,CPM,Spearman,0.744693268757876
11,none,CPM,CCC,0.4202391980629558
12,none,log,1-JSD,0.8292710355594219
13,none,log,Pearson,0.756791368154119
14,none,log,Spearman,0.744693268757876
15,none,log,CCC,0.7549238002484939
16,none,CPM,1-JSD,0.5791603494974638
17,none,CPM,Pearson,0.5069034669154013
18,none,CPM,Spearman,0.7500245014395328
19,none,CPM,CCC,0.4779501828367153
20,none,log,1-JSD,0.8317268037698015
21,none,log,Pearson,0.7649583688328466
22,none,log,Spearman,0.7500245014395328
23,none,log,CCC,0.7608489190127077
24,none,CPM,1-JSD,0.5725590961136884
25,none,CPM,Pearson,0.505390016702502
26,none,CPM,Spearman,0.7377572905191765
27,none,CPM,CCC,0.4635118560064662
28,none,log,1-JSD,0.8265265096369647
29,none,log,Pearson,0.7508295989816034
30,none,log,Spearman,0.7377572905191765
31,none,log,CCC,0.7477607314693137
32,none,CPM,1-JSD,0.5131710445027557
33,none,CPM,Pearson,0.37651387100636463
34,none,CPM,Spearman,0.7202656101666911
35,none,CPM,CCC,0.3504357252140649
36,none,log,1-JSD,0.8154664020998132
37,none,log,Pearson,0.7224029008484053
38,none,log,Spearman,0.7202656101666911
39,none,log,CCC,0.7192264754016623
40,none,CPM,1-JSD,0.6173274716674004
41,none,CPM,Pearson,0.6309787616643845
42,none,CPM,Spearman,0.7390327650796205
43,none,CPM,CCC,0.6228202618667228
44,none,log,1-JSD,0.835721874523773
45,none,log,Pearson,0.763069812445772
46,none,log,Spearman,0.7390327650796205
47,none,log,CCC,0.756448410906147
48,none,CPM,1-JSD,0.592242273422722
49,none,CPM,Pearson,0.5632693949642329
50,none,CPM,Spearman,0.7324966139832041
51,none,CPM,CCC,0.5368485244229354
52,none,log,1-JSD,0.8299926664104929
53,none,log,Pearson,0.7518483106874447
54,none,log,Spearman,0.7324966139832041
55,none,log,CCC,0.7491310715948688
56,none,CPM,1-JSD,0.5052416808165774
57,none,CPM,Pearson,0.37779219443348805
58,none,CPM,Spearman,0.697323735066248
59,none,CPM,CCC,0.3380210228368804
60,none,log,1-JSD,0.8014294758115778
61,none,log,Pearson,0.6987086398449489
62,none,log,Spearman,0.697323735066248
63,none,log,CCC,0.6919392927468351
64,none,CPM,1-JSD,0.5499435619064879
65,none,CPM,Pearson,0.43952211318242357
66,none,CPM,Spearman,0.7333317255007331
67,none,CPM,CCC,0.3766550273139453
68,none,log,1-JSD,0.8189493603106197
69,none,log,Pearson,0.7421279194959383
70,none,log,Spearman,0.7333317255007331
71,none,log,CCC,0.73913255530864
72,none,CPM,1-JSD,0.5884928680695123
73,none,CPM,Pearson,0.5551914309433372
74,none,CPM,Spearman,0.7322545699605889
75,none,CPM,CCC,0.5159550169049881
76,none,log,1-JSD,0.8270499229520163
77,none,log,Pearson,0.7503694840089664
78,none,log,Spearman,0.7322545699605889
79,none,log,CCC,0.7478532412115761
80,none,CPM,1-JSD,0.5408573190623749
81,none,CPM,Pearson,0.42721286888244936
82,none,CPM,Spearman,0.7308276459729298
83,none,CPM,CCC,0.3734073226184324
84,none,log,1-JSD,0.8214616221561133
85,none,log,Pearson,0.7380650620012037
86,none,log,Spearman,0.7308276459729298
87,none,log,CCC,0.7352411468283158
88,none,CPM,1-JSD,0.6187480583174085
89,none,CPM,Pearson,0.6148579012935529
90,none,CPM,Spearman,0.7421724622807777
91,none,CPM,CCC,0.5699200722242579
92,none,log,1-JSD,0.8326548266493222
93,none,log,Pearson,0.7637225634609466
94,none,log,Spearman,0.7421724622807777
95,none,log,CCC,0.7609655975437737
96,none,CPM,1-JSD,0.5706417480935444
97,none,CPM,Pearson,0.5110544410556057
