,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
GSM5609238,0.036317970012376216,0.15709244164832709,0.04846883361920218,0.007789592270700192,0.1170072628495084,0.04667606713610001,0.036034590784382925
GSM5609334,0.06275340841846384,0.32712789316889485,0.06857353302423336,0.0382751758024625,0.2551849672584172,0.0989543953983113,0.04915018200682234
GSM5609219,0.04156178092617794,0.13046056181076607,0.1395322118646556,0.019006081608073044,0.13339447131858792,0.06547841384607285,0.025036764484069413
GSM5609245,0.057275834624464,0.3229590279716009,0.24987684267839624,0.019234989512821946,0.14826036468702009,0.059261943869659696,0.02593193572887895
GSM5609213,0.04139801607605474,0.08495818108630106,0.03728939831693971,0.0075605062838278465,0.08316335399035561,0.06573694322104384,0.03256692609031671
GSM5609240,0.057756027540868664,0.38007936382436625,0.10429781009652686,0.011340678188853169,0.14355379211400715,0.06398045364212732,0.05684905721225684
GSM5609218,0.04185658083796321,0.3508217269032983,0.11585687593833262,0.03502031913517895,0.26940090987335497,0.15578007283566356,0.03126351447620845
GSM5609333,0.0410500362429256,0.43533818783144074,0.11721169562319947,0.025010492642309305,0.151939403989362,0.11162183788599488,0.0667036334920215
GSM5609222,0.1813862186540862,0.38954887124627063,0.09384579421432708,0.013758773574733268,0.12461314647287682,0.12823848487741232,0.06860871096029385
GSM5609234,0.04684948278817866,0.36077185585544413,0.15712491682610544,0.022200959248651977,0.31885598518654185,0.0632575781358138,0.030939221959264164
GSM5609246,0.09400385244343956,0.19626193960972976,0.04076810215456363,0.006939620539383393,0.08676279800750814,0.04886695420854917,0.05690337439698989
GSM5609216,0.09925325917570532,0.3247206513220331,0.1565304903575163,0.026545049125542765,0.1443796141407924,0.15929904509153353,0.06965008602616969
GSM5609231,0.03643749412416598,0.3704769039635364,0.13275899892073542,0.007069710417648284,0.0820321106502723,0.06782807073146817,0.05302525296884404
GSM5609242,0.041076213037143684,0.36683052198084076,0.07933904493570414,0.01567821027463216,0.1178559965919684,0.06049367599493466,0.03397525551588126
GSM5609249,0.04387455340221627,0.17643225938872825,0.10383990024239503,0.008486785980072508,0.1022148225159945,0.05513728519889808,0.07621564452260422
GSM5609220,0.06324288407399599,0.17722855014485173,0.0921649320220722,0.019880785967235026,0.1353840541203042,0.08066811647046115,0.03341873143844755
GSM5609225,0.04980032897275145,0.3517658285701044,0.07510071685460105,0.009798448130528901,0.09117792347386972,0.05179237570551981,0.06490895312286558
GSM5609228,0.04323214811685654,0.24803967842267036,0.059172325790491496,0.014355758188578227,0.09241162883161456,0.04829584955412038,0.06178612711846391
GSM5609336,0.049692587009122935,0.39330964889205994,0.14562077062781528,0.019302204448210597,0.19788648696078143,0.10444360195312417,0.033078245396100985
GSM5609250,0.038435464030207984,0.1493162458092522,0.07206050762847124,0.005919929236584854,0.07246624050610229,0.04110470196111942,0.035579716496963745
GSM5609217,0.04096861643568324,0.2416546664960317,0.13962807283559114,0.012303309301033698,0.0912703899165675,0.05065466035462085,0.0613972950365463
GSM5609212,0.04739379818834014,0.1803197991999036,0.06546403728983358,0.014778496917905927,0.11567375603264478,0.05929388096295928,0.04701125465553533
GSM5609337,0.04088834544701467,0.12119976598838268,0.061194355769368,0.008242568363255027,0.10551027400489557,0.05636235343384704,0.03175829114914811
GSM5609221,0.023160608942041545,0.12701975485659917,0.07373030980108458,0.014106721673443541,0.11702348831867067,0.07740649638132528,0.024604333141491175
GSM5609237,0.05777189365744898,0.2050408890115028,0.056661510449406614,0.01313513113543273,0.1786640226625757,0.057090849693414866,0.028985945089615245
GSM5609229,0.05677347125586701,0.1748853662549377,0.207652054017095,0.010730387865001844,0.17101171992455272,0.04952711324008999,0.03198860047122785
GSM5609241,0.05068848711250005,0.363757556012914,0.06950719002152858,0.016533832244722803,0.22020699299385388,0.14209858614231058,0.02347005424674955
GSM5609226,0.07301757046593885,0.49717280758721144,0.1225238419300746,0.020300048790874995,0.12075671599316357,0.05750462339769029,0.05284021826303834
GSM5609239,0.04701378500472852,0.41833481833891817,0.09890947140124122,0.013869346828552204,0.1506581016018857,0.08811020869381661,0.07492192612377259
