,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.12449799196787148,0.21285140562248997,0.19779116465863453,0.17369477911646586,0.10542168674698796,0.11345381526104417,0.07228915662650602,0.12445373649771282,0.1803312027755214,0.18850164325382288,0.1602716673900151,0.10126645468692565,0.12072447376389717,0.05308533246647782
Sample_695,0.004016064257028112,0.4246987951807229,0.10642570281124498,0.2178714859437751,0.023092369477911646,0.07028112449799197,0.1536144578313253,0.0037952791374430785,0.3756509933753948,0.11717223809657537,0.20146781380189668,0.023725063966351462,0.06652122627832378,0.1508743632294198
Sample_799,0.08835341365461848,0.27710843373493976,0.1576305220883534,0.08333333333333333,0.0642570281124498,0.19979919678714858,0.12951807228915663,0.08734758246850301,0.29156116129055143,0.12667819010051715,0.08289598876041566,0.0740244087092418,0.19190217122185768,0.13132145958814478
Sample_148,0.0,0.2399598393574297,0.02710843373493976,0.1676706827309237,0.35040160642570284,0.18674698795180722,0.028112449799196786,0.002627865273807524,0.22476498036044934,0.027478295280589985,0.16505641900361054,0.35369380998226785,0.18232531970916308,0.034047890400752
Sample_859,0.6158475426278837,0.11334002006018054,0.07622868605817452,0.020060180541624874,0.06519558676028084,0.10732196589769308,0.0020060180541624875,0.5958620537897948,0.10741494795540615,0.07187505305222447,0.020890702864912635,0.060715979467249076,0.11655014962157279,0.006950892183318066
Sample_447,0.048144433299899696,0.5496489468405216,0.012036108324974924,0.013039117352056168,0.14844533600802406,0.21063189568706117,0.01805416248746239,0.04443148919925876,0.544629390618012,0.010865163216350535,0.011007951700373504,0.1502300101679876,0.20958369035413366,0.019705325307204802
Sample_635,0.6142284569138277,0.0811623246492986,0.023046092184368736,0.23146292585170342,0.014028056112224449,0.021042084168336674,0.01503006012024048,0.6124103322218158,0.07405899978130555,0.021133199043209386,0.22639409759162443,0.014968832340498735,0.018996727962259916,0.016726486401827934
Sample_128,0.678714859437751,0.0,0.007028112449799197,0.03313253012048193,0.15863453815261044,0.1144578313253012,0.008032128514056224,0.6413248749027068,0.012750397163346451,0.007135730241876478,0.03306052732625625,0.16018895681867584,0.12224150918629004,0.009017734521214052
Sample_813,0.0642570281124498,0.06626506024096386,0.28815261044176704,0.10040160642570281,0.1706827309236948,0.12751004016064257,0.1827309236947791,0.07100582431628456,0.05341693630082077,0.27972458341923007,0.10121140471540115,0.1660530573231517,0.12818285144204375,0.1476365576550173
Sample_439,0.037111334002006016,0.08525576730190572,0.017051153460381142,0.02106318956870612,0.24573721163490472,0.5857572718154463,0.00802407221664995,0.03784452367976372,0.05004901329654112,0.021996873073709344,0.023362638524115065,0.24376118723007723,0.5658101018130062,0.01631475625056636
