,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
GSM5609238,0.021858169935185735,0.15037850710901263,0.04541652557606882,0.009397685215721213,0.12593686189941553,0.043126324705741896,0.0381343208133106
GSM5609334,0.07235536248177339,0.34778264022695976,0.06474807498164838,0.03075452627960442,0.2607586198741965,0.10180115694655123,0.05875758751388313
GSM5609219,0.03243596261660017,0.13742726828447913,0.11968374576535767,0.021985249892248444,0.1329709947518845,0.04402663939217197,0.03656422724833751
GSM5609245,0.0654409551569543,0.3215137732673518,0.22700905331032212,0.02199878776536095,0.18510207019169125,0.06084530669846841,0.03339668589657614
GSM5609213,0.037557293616913325,0.10173632162658618,0.03885024192009916,0.007259348099338427,0.07590797399643882,0.06925800106556172,0.03420664225087217
GSM5609240,0.06597616500066686,0.3724111610447908,0.08010022857787641,0.011759215701008054,0.15502524041730675,0.0808112411534254,0.05824883439804808
GSM5609218,0.04676626041442065,0.35487052060932867,0.10259138512586996,0.036016986970130616,0.2725049666017397,0.14665792187147864,0.04059195840703187
GSM5609333,0.03039356228363151,0.42062975937489605,0.11049313428048839,0.023560443325144478,0.17891728349279246,0.09359876966699472,0.08298609995890528
GSM5609222,0.18408322264343266,0.3943766604203295,0.07682198112209715,0.01622361634908477,0.13546797496572857,0.11013967924396777,0.08288686525535967
GSM5609234,0.0550309212092564,0.3882180957514692,0.166879738855614,0.01945777668520388,0.24231241725626002,0.07872648948593224,0.0493745607562643
GSM5609246,0.07802274363078299,0.19664819440769954,0.03583949146251467,0.007548257907750889,0.07920803113473399,0.036400203540499186,0.05859348692976739
GSM5609216,0.11748751740842824,0.3231435083086158,0.1399400191972623,0.02168733163978614,0.1963148420651904,0.11459916418580636,0.08682761719491056
GSM5609231,0.02741473807564307,0.35079138958959966,0.12527372807171247,0.009741785508032664,0.07590366202977036,0.059866955360768755,0.07084986629020773
GSM5609242,0.04632900021465812,0.3340432452195601,0.06140471661765119,0.017107158638823946,0.12885356625736094,0.04123788034318994,0.041239651990654505
GSM5609249,0.05176433584850858,0.18231892857659807,0.0912025918342544,0.008330314218199643,0.1376046567340108,0.04232243835347433,0.08470307496403247
GSM5609220,0.0638402538750895,0.22889396235890766,0.07239228810689141,0.024464427152781583,0.1236713895854221,0.08113382234376543,0.03794965903639438
GSM5609225,0.0478864176076643,0.34942458936907356,0.08011686976191533,0.011157905848579104,0.08527828414088907,0.0495424224348556,0.04851352344752708
GSM5609228,0.046388800535514016,0.2555186715229438,0.05359129308014772,0.015737548383575113,0.09087215194188401,0.0590791825420476,0.06186656493127498
GSM5609336,0.05840865781514867,0.33448453857693383,0.13810525218721978,0.018485830431549194,0.2296143497562419,0.11032772523718473,0.049368290491846135
GSM5609250,0.044754711518364534,0.1657707997164233,0.06071213830463301,0.007448192378765594,0.06513808361286318,0.024621230576790092,0.034153033681589305
GSM5609217,0.05150569856171074,0.24525457929551175,0.11891366900692946,0.011776031700206864,0.13456416891341053,0.03890729976471415,0.045262372197944045
GSM5609212,0.05306613828974044,0.1761726839078827,0.05562156411102134,0.016124689580105128,0.14792392018133071,0.03841537736383121,0.05560100283004033
GSM5609337,0.03534676543958963,0.11665808219530494,0.04879901507660355,0.009167280978550974,0.11387113893637424,0.03852550571586241,0.031183933323501088
GSM5609221,0.017866921229886125,0.14066454036925533,0.0803437698272314,0.014738870741783523,0.1533134506802812,0.07675162953671355,0.025784627147940085
GSM5609237,0.06100175382808017,0.21731754541317125,0.05416355065473409,0.016332384647850706,0.23900209131820013,0.08858025133578222,0.0408232581594671
GSM5609229,0.06811189230008252,0.2049091306744288,0.19304749570229668,0.011635078917651129,0.21314320602487274,0.056902541760193256,0.030787810347261343
GSM5609241,0.05180146463630476,0.3366178487962536,0.06428411879708856,0.01972318168494825,0.20424014488634923,0.14209733146361067,0.04353570392630333
GSM5609226,0.07641203137650225,0.5446615337850946,0.12334846246238311,0.015555152185587553,0.1358707855409929,0.045212153788925874,0.0589398808605135
GSM5609239,0.04912037947738992,0.42803391718136224,0.08138261639109012,0.015220108513378336,0.17877933223153705,0.10467767072112323,0.0793661574811646
GSM5609248,0.05652254906352486,0.21323444940463326,0.12332155495033734,0.01342273399449954,0.19548126202768604,0.044777366403011186,0.11109272290991767
GSM5609335,0.020872933090483266,0.10926987576893436,0.0330358880032606,0.01703207125798563,0.0778401494268855,0.060725873312111725,0.037002101776522675
GSM5609224,0.01903985090105658,0.17841557538570782,0.03312616964746425,0.010609696793763798,0.17327646820378975,0.03561443102457445,0.029969910900885584
GSM5609215,0.05427741782987072,0.14907015772185667,0.1861457141305932,0.011319053029096967,0.11202411513174636,0.06667393423406673,0.03568324411292685
GSM5609236,0.06065368550152545,0.3960174881573901,0.15598133860510865,0.015153281832209134,0.16452455619318151,0.0899480940720964,0.08244897130886114
GSM5609233,0.061467620726465055,0.3483795109615336,0.2659612032162602,0.013339399571515533,0.12461798618166928,0.10482447865254214,0.03697691260197141
GSM5609232,0.059788660650233694,0.34658981283103985,0.1685187368082413,0.011703115478445375,0.19699891654212454,0.0935244187364098,0.05392837550926187
GSM5609243,0.05717431821407769,0.29399009549725297,0.11075782832030515,0.01296403424851358,0.17555997405919396,0.08848611072677147,0.039734674109964736
GSM5609223,0.04833596427315335,0.46602589751003587,0.11644181880534377,0.01426712977752191,0.1327743319584047,0.07819033805005791,0.09218363829431458
