,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.03313253012048193,0.01606425702811245,0.0321285140562249,0.14056224899598393,0.4979919678714859,0.26706827309236947,0.013052208835341365,0.030731489041369908,0.016351909408094285,0.02315485174697303,0.13648101808954993,0.4971220143490084,0.2800182990457397,0.015489104825297036
Sample_695,0.16164658634538154,0.1566265060240964,0.39056224899598396,0.002008032128514056,0.04317269076305221,0.1827309236947791,0.06325301204819277,0.1596458783222419,0.16710075625541015,0.36447330028815594,0.007898527997655148,0.03804279722474348,0.20703011697111126,0.05580862294068234
Sample_799,0.14343029087261785,0.04012036108324975,0.06820461384152457,0.3530591775325978,0.05015045135406219,0.0802407221664995,0.26479438314944836,0.1470090147955987,0.06749751072965748,0.056094602980755325,0.3540955092352555,0.05491842284524619,0.078490605965812,0.24189433344767475
Sample_148,0.037111334002006016,0.029087261785356068,0.02708124373119358,0.2637913741223671,0.05717151454363089,0.5576730190571715,0.028084252758274825,0.04179690164219451,0.0338793786045866,0.03117206723875442,0.2712875750637556,0.05678663425434967,0.5339634122882931,0.02127116181113255
Sample_859,0.08617234468937876,0.5971943887775552,0.026052104208416832,0.03006012024048096,0.04809619238476954,0.08917835671342686,0.12324649298597194,0.09662583872927698,0.6192369760810593,0.02502161739736873,0.028501714778511312,0.04086113590458434,0.09406423765484762,0.09568847945435172
Sample_447,0.10040160642570281,0.4598393574297189,0.012048192771084338,0.013052208835341365,0.024096385542168676,0.37248995983935745,0.018072289156626505,0.1058249398346498,0.48409341673690387,0.018362979458402106,0.01616774633295497,0.020916094475611227,0.3421129804359879,0.012521842725490196
Sample_635,0.028056112224448898,0.12625250501002003,0.023046092184368736,0.3226452905811623,0.3657314629258517,0.11923847695390781,0.01503006012024048,0.026773466789082524,0.1338799973497783,0.020513276818103148,0.3177725703604875,0.38015742062820995,0.10382700408760032,0.01707626396673825
Sample_128,0.33232931726907633,0.0,0.007028112449799197,0.3373493975903614,0.22389558232931728,0.09136546184738956,0.008032128514056224,0.3242350692870181,0.0098633806855308,0.010983693225135423,0.32091932929866845,0.233247806731011,0.09004484277692029,0.010705877995716033
Sample_813,0.15045135406218657,0.13139418254764293,0.048144433299899696,0.00802407221664995,0.03510531594784353,0.4082246740220662,0.21865596790371114,0.16682705407260326,0.12346913467250331,0.04600117085546062,0.014999916214098255,0.03707911750945143,0.3612894148761515,0.25033419179973165
Sample_439,0.4839357429718876,0.04116465863453815,0.01706827309236948,0.20080321285140562,0.07630522088353414,0.17269076305220885,0.008032128514056224,0.48854537378451846,0.05982983104651259,0.024739050837388064,0.18599674989193485,0.07349382133791357,0.1605005966843285,0.006894576417404075
Sample_748,0.11033099297893681,0.10932798395185557,0.006018054162487462,0.0712136409227683,0.24172517552657974,0.4222668004012036,0.03911735205616851,0.11128825841395588,0.13132478312318402,0.008143080017248462,0.06189422654307699,0.24180152109749706,0.4164947810455559,0.02905334975948172
Sample_529,0.21887550200803213,0.22289156626506024,0.0,0.008032128514056224,0.06526104417670683,0.47289156626506024,0.012048192771084338,0.21191653958418463,0.2072551231030728,0.004456098649103335,0.012556945362367008,0.060358307270004526,0.46013235727485835,0.011572761667391303
Sample_559,0.12763819095477386,0.36683417085427134,0.02814070351758794,0.3075376884422111,0.09246231155778895,0.05226130653266332,0.02512562814070352,0.12492128849126868,0.3097119533880069,0.02203541197419456,0.30836272519298946,0.09627162066291983,0.04481992334564216,0.01735090717230024
Sample_593,0.0781563126252505,0.02004008016032064,0.02404809619238477,0.01603206412825651,0.7535070140280561,0.08216432865731463,0.026052104208416832,0.08731076152105206,0.029621327610969857,0.022015228305045507,0.020011741732054236,0.7177246350947345,0.09771352433475873,0.021027932291192215
Sample_500,0.17953861584754263,0.4002006018054162,0.0010030090270812437,0.17853560682046138,0.17953861584754263,0.04012036108324975,0.02106318956870612,0.19113112829023488,0.37731488430207843,0.005396226979803852,0.1756856469282966,0.17325990821416604,0.039606045482437006,0.018937943579501838
Sample_506,0.08835341365461848,0.04919678714859438,0.014056224899598393,0.2991967871485944,0.4678714859437751,0.06927710843373494,0.012048192771084338,0.09390391547717156,0.05128537977910081,0.014320349848111367,0.29355089598176226,0.44119773006869467,0.07831516941549396,0.015724082778105452
Sample_46,0.05923694779116466,0.05321285140562249,0.01706827309236948,0.7289156626506024,0.09939759036144578,0.03714859437751004,0.0050200803212851405,0.0526769900957765,0.05687110180779485,0.013522444938886985,0.7098039868537858,0.09781987904122896,0.03997987974588539,0.010445290164356304
Sample_21,0.015045135406218655,0.08826479438314945,0.006018054162487462,0.0,0.14944834503510532,0.7211634904714143,0.020060180541624874,0.017584753661375182,0.11466553866020032,0.0075734310357159435,0.0025126821362930598,0.1420084527139795,0.7039439796611575,0.011711162131278291
Sample_307,0.20381526104417672,0.07429718875502007,0.01104417670682731,0.01706827309236948,0.23694779116465864,0.43775100401606426,0.019076305220883535,0.22282816394956131,0.05405830754958041,0.0156512704797426,0.021230932096242737,0.22784443122954734,0.416855916742799,0.011524536925436918
Sample_63,0.6148445336008024,0.1374122367101304,0.01805416248746239,0.058174523570712136,0.0,0.16349047141424272,0.00802407221664995,0.6102210853686317,0.11239721418277888,0.02098584323173481,0.06505550688984228,0.003308670264558912,0.14620382469860704,0.014106336008610078
Sample_619,0.3777555110220441,0.3366733466933868,0.028056112224448898,0.1312625250501002,0.10220440881763528,0.01903807615230461,0.00501002004008016,0.36019181731211886,0.316562707579954,0.03173631953576242,0.13873106042608235,0.09743494059724864,0.02432604550383645,0.00999034025330316
Sample_796,0.04012036108324975,0.2637913741223671,0.12637913741223672,0.15045135406218657,0.15546639919759278,0.12938816449348045,0.13440320962888666,0.03837280069323401,0.2655277046075856,0.13926799579664312,0.14884260193079848,0.16421751031758805,0.12145887649854525,0.12152150747467207
Sample_106,0.03406813627254509,0.5951903807615231,0.009018036072144289,0.0,0.045090180360721446,0.29458917835671344,0.022044088176352707,0.03287908475316832,0.5662613427935256,0.010959271516771093,0.0025929849987176394,0.04547271463610945,0.2805385050747373,0.03487762000319283
Sample_871,0.21163490471414242,0.06820461384152457,0.04914744232698094,0.07522567703109329,0.04312938816449348,0.119358074222668,0.43329989969909727,0.21893490736883783,0.07248178657913916,0.054527699583304494,0.095447541224879,0.03969722559731222,0.1107447859327143,0.40816605371381315
Sample_349,0.25903614457831325,0.21485943775100402,0.002008032128514056,0.12449799196787148,0.07931726907630522,0.3142570281124498,0.006024096385542169,0.25388568829494773,0.18468184908113822,0.003749694107816304,0.1228941662234985,0.07961503748693784,0.3137113114869759,0.012133605680227623
Sample_483,0.006018054162487462,0.10932798395185557,0.022066198595787363,0.42527582748244735,0.4082246740220662,0.003009027081243731,0.026078234704112337,0.006568919869575355,0.09056719760872754,0.0175302782304692,0.43474546364189914,0.41586236204758625,0.004477674242181798,0.013730662265167493
Sample_573,0.13152610441767068,0.03413654618473896,0.0,0.30622489959839355,0.1676706827309237,0.3393574297188755,0.02108433734939759,0.12610380419587472,0.03895916789716954,0.010647222735196074,0.31033838542625786,0.15979873921974974,0.33776126905655507,0.016391411469196912
Sample_396,0.11345381526104417,0.008032128514056224,0.01104417670682731,0.3684738955823293,0.1897590361445783,0.2821285140562249,0.02710843373493976,0.0961115898512135,0.01341087792295397,0.018816129941005434,0.3691085882923712,0.20236110581355776,0.26202813513592993,0.024359550513862807
Sample_198,0.13026052104208416,0.0,0.012024048096192385,0.03707414829659319,0.17535070140280562,0.6402805611222445,0.00501002004008016,0.13822754729313436,0.009859137882909074,0.017044487523085967,0.03788481413250298,0.17828775728498544,0.6126182381761945,0.006078017707187469
Sample_797,0.03009027081243731,0.11133400200601805,0.19759277833500502,0.20762286860581744,0.12437311935807423,0.30892678034102306,0.020060180541624874,0.030427138636439633,0.09388093223490415,0.19512651182460428,0.20889569766128221,0.12645418086764262,0.3237735161316103,0.02144202264351671
Sample_181,0.3433734939759036,0.2710843373493976,0.02108433734939759,0.19779116465863453,0.1536144578313253,0.0,0.013052208835341365,0.35831860022386397,0.24807056409099867,0.021708161249539653,0.20514092179611051,0.15045983195224613,0.0026821545258636924,0.013619766161377271
Sample_270,0.08442211055276382,0.05829145728643216,0.02814070351758794,0.20100502512562815,0.27638190954773867,0.33467336683417087,0.017085427135678392,0.08691316095780353,0.07260278909082635,0.014219857425447301,0.20282700941038243,0.2596869864290135,0.3464720276679093,0.01727816901861787
Sample_520,0.3530591775325978,0.05315947843530592,0.0,0.2868605817452357,0.22066198595787362,0.06519558676028084,0.02106318956870612,0.35307801326962795,0.04037151639257677,0.005689069917817038,0.2907893922216315,0.205380368235575,0.08015594397112466,0.021839920336910006
Sample_511,0.055220883534136546,0.05421686746987952,0.014056224899598393,0.39759036144578314,0.20381526104417672,0.25,0.025100401606425703,0.057497289373687054,0.05080684407802698,0.014867908516724425,0.38846118332990215,0.19522183715180733,0.23619842783669331,0.014933111756704288
Sample_388,0.13353413654618473,0.4166666666666667,0.004016064257028112,0.04718875502008032,0.05421686746987952,0.3192771084337349,0.025100401606425703,0.149984879075045,0.4251746029735557,0.0025187784445666384,0.041647233093737634,0.049813614766225346,0.31260725691142766,0.018253634735442066
