,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.1927710843373494,0.22188755020080322,0.18775100401606426,0.30823293172690763,0.0572289156626506,0.02108433734939759,0.01104417670682731,0.1995319634300327,0.24339492953050407,0.1636009613469643,0.289285267362649,0.05795210821851169,0.025398970678840248,0.018886220922874
Sample_695,0.005025125628140704,0.2050251256281407,0.0592964824120603,0.01507537688442211,0.20904522613065327,0.46934673366834173,0.0371859296482412,0.006828615558399326,0.26062707106782984,0.06048092652059674,0.018427202728687423,0.20725297456169392,0.42259179478376224,0.023791414779030386
Sample_799,0.07028112449799197,0.20080321285140562,0.17369477911646586,0.19076305220883535,0.18775100401606426,0.09136546184738956,0.0853413654618474,0.0584604267130222,0.18583232864201135,0.14788755805463666,0.1968984115981766,0.17667101937335034,0.08437421860438968,0.0922207867473172
Sample_148,0.21163490471414242,0.5997993981945837,0.02708124373119358,0.01805416248746239,0.08625877632898696,0.029087261785356068,0.028084252758274825,0.2005162987957373,0.6104746382993256,0.025924259152865458,0.0224370380340608,0.08613533847935821,0.030280998856085088,0.021023398072587324
Sample_859,0.02610441767068273,0.3273092369477912,0.13755020080321284,0.0030120481927710845,0.02108433734939759,0.3373493975903614,0.14759036144578314,0.025784500476729828,0.29892150987904925,0.1520199032487695,0.004037779009492055,0.02122750631751004,0.3313055253730029,0.1667032756954464
Sample_447,0.17369477911646586,0.030120481927710843,0.012048192771084338,0.18473895582329317,0.36646586345381527,0.21485943775100402,0.018072289156626505,0.17279575631198119,0.04897436935170184,0.01728813044292664,0.18030603628014097,0.35730895228034604,0.21011484829202343,0.01321190704087987
Sample_635,0.11523046092184369,0.14729458917835672,0.023046092184368736,0.5070140280561122,0.012024048096192385,0.18036072144288579,0.01503006012024048,0.10732683252012186,0.15539541754812333,0.025536741571458663,0.5029471768282197,0.011246579895006025,0.16873116055480208,0.013707684692028632
Sample_128,0.6228686058174524,0.0,0.007021063189568706,0.03811434302908726,0.17251755265797392,0.1514543630892678,0.00802407221664995,0.6219604940031919,0.011322802818019354,0.009492978979378681,0.035642016386692246,0.16396376133682272,0.15196968788471898,0.005648258591176202
Sample_813,0.12738214643931794,0.02708124373119358,0.022066198595787363,0.35907723169508526,0.09929789368104312,0.29989969909729186,0.06519558676028084,0.13367302492044827,0.03023985146358475,0.017579677019919075,0.37525739670079533,0.10194641706266468,0.2825242176950505,0.05873538624157426
Sample_439,0.2640562248995984,0.23092369477911648,0.01706827309236948,0.34839357429718876,0.04718875502008032,0.08433734939759036,0.008032128514056224,0.2664812790588453,0.2309199476449635,0.010713716856094301,0.33676764760761074,0.033497961446198175,0.08835256743657954,0.00980692088245208
Sample_748,0.1706827309236948,0.001004016064257028,0.19779116465863453,0.32429718875502006,0.14859437751004015,0.0050200803212851405,0.15261044176706828,0.15866638724060672,0.02371036902775691,0.1543105265962015,0.3286636095369647,0.14833555314129543,0.01654649089593198,0.11420801827699066
Sample_529,0.8074222668004012,0.014042126379137413,0.0,0.00802407221664995,0.05215646940822467,0.10631895687061184,0.012036108324974924,0.7378877197438574,0.02530765564966529,0.006452993509470423,0.015001000736941186,0.050278144949636484,0.11536270939816276,0.015471949459836242
Sample_559,0.1646586345381526,0.23393574297188754,0.028112449799196786,0.12048192771084337,0.1817269076305221,0.2459839357429719,0.025100401606425703,0.163186781385792,0.20366055403873431,0.027193698470290014,0.13165231241704473,0.18553170858105109,0.2525622225806587,0.021565554621125235
Sample_593,0.017051153460381142,0.16950852557673018,0.024072216649949848,0.3049147442326981,0.10130391173520562,0.35707121364092276,0.026078234704112337,0.021030208425481416,0.15299350505655823,0.021791616367591905,0.2890906310900457,0.10069606065924205,0.37169289134947575,0.04270508705160483
Sample_500,0.21464393179538616,0.18355065195586762,0.0010030090270812437,0.28786359077231694,0.12738214643931794,0.16449348044132397,0.02106318956870612,0.21276353401371645,0.1774959796750233,0.003011779341579639,0.28893269121030113,0.13125989338335098,0.1705963284507957,0.015939793925232894
Sample_506,0.22389558232931728,0.029116465863453816,0.014056224899598393,0.2248995983935743,0.31626506024096385,0.17971887550200802,0.012048192771084338,0.23008580886136024,0.021431193664966715,0.012674897826910836,0.21439113528170697,0.3199530208254692,0.1845937423533575,0.016870201186228527
Sample_46,0.12236710130391174,0.21063189568706117,0.017051153460381142,0.37512537612838515,0.0,0.26980942828485455,0.0050150451354062184,0.1317423393510919,0.20827718930751232,0.015768774122303656,0.3740964536670839,0.003886499010267294,0.25792412277658855,0.00801857350871932
Sample_21,0.1713426853707415,0.0,0.006012024048096192,0.44589178356713427,0.19238476953907815,0.16432865731462926,0.02004008016032064,0.15501746885581763,0.015550094961244876,0.00760891771042756,0.4484774736024251,0.1963351436134055,0.15796204875100475,0.019048852505674695
Sample_307,0.13366834170854272,0.5095477386934674,0.011055276381909548,0.036180904522613064,0.05125628140703518,0.23919597989949748,0.019095477386934675,0.14819371359130765,0.4977884363607507,0.007933468608441413,0.03736802296546539,0.053349651013519656,0.24116221800947016,0.011928486474517873
Sample_63,0.3791374122367101,0.21163490471414242,0.01805416248746239,0.30190571715145437,0.006018054162487462,0.07522567703109329,0.00802407221664995,0.37557390644251853,0.19644756033752636,0.02159224598123269,0.2945627372140241,0.01020971076888835,0.07370866977405911,0.013017668519254153
Sample_619,0.10943775100401607,0.03112449799196787,0.028112449799196786,0.1144578313253012,0.4206827309236948,0.29116465863453816,0.0050200803212851405,0.11840294944709244,0.04285349575645549,0.02292081339580115,0.11549438800796469,0.39434327675930864,0.2849954655320562,0.012411700549324311
Sample_796,0.019076305220883535,0.1927710843373494,0.09036144578313253,0.001004016064257028,0.12449799196787148,0.39558232931726905,0.17670682730923695,0.020030467820297892,0.1909195626308234,0.08824195460207289,0.002162440670482703,0.11978156185944304,0.3719979338593627,0.20686607855751732
Sample_106,0.6967871485943775,0.08634538152610442,0.009036144578313253,0.0642570281124498,0.0,0.1214859437751004,0.02208835341365462,0.6870905907061342,0.06606388925386127,0.006740159586626683,0.0721388277981616,0.00465509878032528,0.12248580751734835,0.018083312263124793
Sample_871,0.44288577154308617,0.09619238476953908,0.09919839679358718,0.11723446893787576,0.07414829659318638,0.1683366733466934,0.002004008016032064,0.4366456696460705,0.09491849216110874,0.10765433912687251,0.1163167711315117,0.06646117967824432,0.17269656511113432,0.005306983145057876
Sample_349,0.43373493975903615,0.24799196787148595,0.002008032128514056,0.11244979919678715,0.13353413654618473,0.0642570281124498,0.006024096385542169,0.42719956206053683,0.23610546650652695,0.009223873959516297,0.11893124606280925,0.1257428388081002,0.06873125355774745,0.010439924049138165
Sample_483,0.006018054162487462,0.3350050150451354,0.022066198595787363,0.10832497492477432,0.0050150451354062184,0.4974924774322969,0.026078234704112337,0.011648642119420946,0.3133424247578727,0.015435199318066247,0.10802063163074181,0.007808496219463903,0.5010102816223084,0.042734324332125845
Sample_573,0.06720160481444333,0.20561685055165496,0.0,0.3049147442326981,0.10932798395185557,0.29187562688064195,0.02106318956870612,0.05916219759334837,0.18226691460332936,0.004592245289571947,0.3066238360311906,0.09647976269724542,0.26939040746166226,0.021262621381667037
Sample_396,0.14156626506024098,0.11646586345381527,0.01104417670682731,0.2540160642570281,0.30823293172690763,0.14156626506024098,0.02710843373493976,0.14907797947514073,0.1314741744974662,0.0076682723932801206,0.24612610630838336,0.29984314856664,0.1353824349241949,0.030427883834894663
Sample_198,0.21865596790371114,0.29187562688064195,0.012036108324974924,0.0,0.20661985957873621,0.2657973921765296,0.0050150451354062184,0.23063247716731983,0.29918471336643876,0.01654717640152697,0.002840542807161828,0.20166409693734133,0.23919538557134845,0.009935607748862938
Sample_797,0.25376128385155466,0.05416248746238716,0.05315947843530592,0.3510531594784353,0.02106318956870612,0.24473420260782347,0.022066198595787363,0.22796572269599283,0.058227782935285625,0.04107503063391437,0.36706320269616255,0.02582760566128505,0.24712853859537748,0.03271211678198199
Sample_181,0.17251755265797392,0.0,0.02106318956870612,0.19859578736208625,0.47843530591775324,0.11634904714142427,0.013039117352056168,0.18632624091252709,0.013798572819938836,0.020500132399584134,0.18306413577110422,0.47050329619297815,0.10725458185657365,0.018553040047293915
Sample_270,0.10542168674698796,0.19678714859437751,0.028112449799196786,0.42771084337349397,0.1827309236947791,0.04216867469879518,0.01706827309236948,0.10206564181702396,0.18016503972261255,0.02267816739272546,0.4333378082969624,0.1807713297524308,0.04241387187365204,0.01230376838859812
Sample_520,0.4764292878635908,0.14944834503510532,0.0,0.010030090270812437,0.28786359077231694,0.055165496489468405,0.02106318956870612,0.46416634618445063,0.12212615337676858,0.003474284579108735,0.00889648832055129,0.2794124374561849,0.05356552507016076,0.012820452695473439
Sample_511,0.24072216649949849,0.1584754262788365,0.014042126379137413,0.19658976930792377,0.13640922768304914,0.22868605817452356,0.025075225677031094,0.24079938449679872,0.10929804827582394,0.01548233563157229,0.20148752044911383,0.13580200201213016,0.2306504807092457,0.028742989356022236
Sample_388,0.374749498997996,0.43687374749499,0.004008016032064128,0.10721442885771543,0.033066132264529056,0.01903807615230461,0.025050100200400802,0.3596081898101243,0.44691109259105155,0.009005874015872146,0.11653012010183575,0.025658225258403965,0.02332740723949,0.018959090983222373
