,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.020100502512562814,0.3085427135678392,0.10552763819095477,0.10552763819095477,0.2974874371859296,0.0743718592964824,0.08844221105527639,0.016084174597800163,0.29635999579425304,0.10612776401891372,0.10416001014583497,0.2771704793133136,0.07548296771667962,0.10945817910900325
Sample_695,0.08241206030150754,0.12261306532663317,0.05226130653266332,0.18693467336683417,0.021105527638190954,0.3678391959798995,0.16683417085427135,0.08353293832406315,0.07601207155936889,0.0495825458511777,0.1848679406743174,0.024877269682783733,0.358245090042539,0.15462378562666976
Sample_799,0.238716148445336,0.17953861584754263,0.04012036108324975,0.037111334002006016,0.17452357071213642,0.05416248746238716,0.275827482447342,0.24283809908730128,0.11851079908429407,0.048036122194101874,0.034983745656615016,0.17161382428544614,0.0630823574933064,0.2762929702493642
Sample_148,0.0893574297188755,0.29116465863453816,0.02710843373493976,0.2248995983935743,0.2520080321285141,0.08734939759036145,0.028112449799196786,0.09659135827326192,0.3044567075981419,0.027016543701940548,0.22663268503340894,0.23415313542584681,0.08528608817681835,0.021743864583236967
Sample_859,0.10642570281124498,0.015060240963855422,0.5461847389558233,0.0050200803212851405,0.14156626506024098,0.10843373493975904,0.07730923694779117,0.10514207718706721,0.04240890673278048,0.4531077570275885,0.007598044647684324,0.13876175739852595,0.13382889408793314,0.07527357876979159
Sample_447,0.013039117352056168,0.567703109327984,0.012036108324974924,0.1464393179538616,0.12938816449348045,0.11334002006018054,0.01805416248746239,0.013793825847292275,0.554162136261914,0.018394188519031143,0.13126588980484755,0.13031567501032226,0.10630246787221562,0.025578235086181265
Sample_635,0.21385542168674698,0.09437751004016064,0.023092369477911646,0.015060240963855422,0.4347389558232932,0.20381526104417672,0.015060240963855422,0.21027739641574494,0.0822469479749963,0.028081138501707868,0.01769512024644285,0.4093052226505406,0.18935508693990852,0.012581519297990543
Sample_128,0.09136546184738956,0.4708835341365462,0.007028112449799197,0.08835341365461848,0.055220883534136546,0.2791164658634538,0.008032128514056224,0.08367920873966113,0.46414166267057755,0.007030790568995626,0.07924553930807993,0.06168498207979101,0.27059227825305365,0.014430671475601944
Sample_813,0.17269076305220885,0.07429718875502007,0.0572289156626506,0.06927710843373494,0.1757028112449799,0.36947791164658633,0.08132530120481928,0.18459120709689858,0.0668920504985477,0.06121127930871003,0.06899654726310449,0.1758618698620944,0.3476954194616866,0.09475162650895827
Sample_439,0.08634538152610442,0.21887550200803213,0.01706827309236948,0.5662650602409639,0.008032128514056224,0.09538152610441768,0.008032128514056224,0.08575128209323737,0.2181014298120755,0.015958022571610227,0.5495029614758214,0.003989796460534777,0.08607929363452799,0.011530133315106795
Sample_748,0.32630522088353414,0.09236947791164658,0.08433734939759036,0.02610441767068273,0.2459839357429719,0.08032128514056225,0.14457831325301204,0.32045868072196715,0.10993227746838331,0.08817355568123952,0.0221564925936968,0.23481341218580626,0.08564829445854695,0.1388172868903599
Sample_529,0.27181544633901705,0.0010030090270812437,0.0,0.16850551654964896,0.34804413239719156,0.19859578736208625,0.012036108324974924,0.2576721677589264,0.007888523174140568,0.002872621700568357,0.15973105980397798,0.3482688493498045,0.20707450670338834,0.013305808797275418
Sample_559,0.1855566700100301,0.5687061183550652,0.028084252758274825,0.07422266800401203,0.03510531594784353,0.08324974924774323,0.025075225677031094,0.17213449193306665,0.5413353415446104,0.02562729570066158,0.07382004197038533,0.04049842683909396,0.08577341317280704,0.02101153329577327
Sample_593,0.119358074222668,0.1905717151454363,0.024072216649949848,0.04613841524573721,0.3971915747241725,0.19658976930792377,0.026078234704112337,0.11944602537874409,0.1814440314295339,0.023243488704843582,0.046780743030443155,0.4090016680132939,0.19607439864224102,0.024009644800900468
Sample_500,0.2865731462925852,0.3256513026052104,0.001002004008016032,0.04909819639278557,0.0531062124248497,0.2635270541082164,0.021042084168336674,0.2672811751725639,0.37180550952189656,0.00525440677546153,0.045038273865142135,0.0530432964348056,0.23737698472482296,0.020200353505307442
Sample_506,0.08333333333333333,0.4859437751004016,0.014056224899598393,0.09839357429718876,0.20180722891566266,0.10441767068273092,0.012048192771084338,0.0839088356940773,0.45471275519099263,0.023674675910837117,0.09198279020213099,0.18348174357496125,0.11192619648427363,0.012478033501416071
Sample_46,0.10832497492477432,0.7683049147442327,0.017051153460381142,0.06619859578736209,0.03510531594784353,0.0,0.0050150451354062184,0.11169810679841959,0.6724384687689566,0.010262709049429337,0.06177524140254076,0.032399690239691976,0.0027455637552183595,0.008345401787119401
Sample_21,0.0,0.17334669338677355,0.006012024048096192,0.16933867735470942,0.4198396793587174,0.21142284569138275,0.02004008016032064,0.0033023356439633045,0.17592024004117432,0.004690754686040099,0.16968842267390977,0.4110430559822024,0.21701901684109712,0.01833617413161294
Sample_307,0.14744232698094284,0.04714142427281846,0.011033099297893681,0.12537612838515547,0.4583751253761284,0.19157472417251756,0.01905717151454363,0.1366818038241201,0.053017193244567946,0.011869196385445212,0.11016741358895214,0.47166820508077273,0.17836465571106694,0.015582748986323357
Sample_63,0.09628886659979939,0.4724172517552658,0.01805416248746239,0.2597793380140421,0.06920762286860582,0.07622868605817452,0.00802407221664995,0.10873215769857977,0.4399528972610178,0.020387067727124838,0.2526256659491328,0.058860093553831205,0.06683756964795028,0.01302003040906601
Sample_619,0.15261044176706828,0.09538152610441768,0.028112449799196786,0.37650602409638556,0.13654618473895583,0.20582329317269077,0.0050200803212851405,0.15701692970000825,0.10174626013709598,0.024039834376683146,0.37462326915826943,0.14173129752221256,0.18759405234974014,0.013248356755990594
Sample_796,0.2728184553660983,0.010030090270812437,0.12036108324974924,0.1213640922768305,0.19257773319959878,0.02106318956870612,0.26178535606820463,0.25622139924975595,0.028039407190545543,0.1136074221979457,0.11075986111269803,0.1961218987596586,0.02329051861618309,0.271959492873213
Sample_106,0.2587763289869609,0.3921765295887663,0.009027081243731194,0.0,0.20762286860581744,0.11033099297893681,0.022066198595787363,0.2409405542926546,0.41107835582274077,0.013240948683201354,0.0034176521665803023,0.20123883422543906,0.11046219316584689,0.019621461643537043
Sample_871,0.055220883534136546,0.3333333333333333,0.03112449799196787,0.14156626506024098,0.10240963855421686,0.33634538152610444,0.0,0.04586467135688743,0.2696403999400782,0.027062785237489256,0.14256582072029106,0.09571271034960861,0.314969382018327,0.006256586370455897
Sample_349,0.11947791164658635,0.01104417670682731,0.002008032128514056,0.071285140562249,0.028112449799196786,0.7620481927710844,0.006024096385542169,0.1274065005913497,0.018694197414973336,0.010014632427383686,0.07492441197490848,0.0390247310687456,0.6925822514144263,0.006442095026951804
Sample_483,0.08525576730190572,0.020060180541624874,0.022066198595787363,0.10832497492477432,0.30090270812437314,0.4373119358074223,0.026078234704112337,0.08634724543738215,0.017417749526090622,0.020491624405852667,0.12433961273391733,0.3029077570521451,0.4256781791200238,0.022817831724588275
Sample_573,0.08132530120481928,0.03815261044176707,0.0,0.08734939759036145,0.6817269076305221,0.09036144578313253,0.02108433734939759,0.07713143665200878,0.03906099506700347,0.006264293081002144,0.08199254347387908,0.666463713687393,0.08397346673026189,0.021128847606134503
Sample_396,0.03815261044176707,0.3353413654618474,0.01104417670682731,0.01104417670682731,0.48694779116465864,0.09036144578313253,0.02710843373493976,0.03528102119695815,0.33994040744143345,0.016799929916764173,0.013290116289379712,0.47049317280216557,0.08043789301227029,0.019970267077094705
Sample_198,0.4959839357429719,0.21887550200803213,0.012048192771084338,0.17369477911646586,0.0823293172690763,0.012048192771084338,0.0050200803212851405,0.47903389840340876,0.22196282875935172,0.02037182545481713,0.17333043985588342,0.07454310644260745,0.012673658169752256,0.010926671760015797
Sample_797,0.36810431293881646,0.23771313941825475,0.14844533600802406,0.12337011033099297,0.07723169508525576,0.037111334002006016,0.00802407221664995,0.37106392593415893,0.23401181042468747,0.14671579958239264,0.1273241733465579,0.07071139589092922,0.03746500252332349,0.010923272523304295
Sample_181,0.0,0.04012036108324975,0.02106318956870612,0.1464393179538616,0.07622868605817452,0.7031093279839519,0.013039117352056168,0.001626861335907333,0.052438666484847324,0.02750102895881707,0.1701885780403555,0.08119162994192018,0.6558874805819166,0.009308824563666933
Sample_270,0.024120603015075376,0.14271356783919598,0.02814070351758794,0.2150753768844221,0.4492462311557789,0.12361809045226131,0.017085427135678392,0.02596207606637569,0.17281063637955887,0.022281424719478086,0.20509393915757285,0.4497608550025175,0.10742416615747918,0.01666690251701789
Sample_520,0.012048192771084338,0.2359437751004016,0.0,0.2520080321285141,0.02108433734939759,0.4578313253012048,0.02108433734939759,0.018303125740663496,0.19816374465852374,0.0023435914124683237,0.2556127293193014,0.02050226458691373,0.435245810767352,0.023784539162945772
Sample_511,0.19979919678714858,0.3614457831325301,0.014056224899598393,0.2389558232931727,0.08132530120481928,0.07931726907630522,0.025100401606425703,0.17400171870366818,0.34171791893289294,0.016063565646130283,0.23556464527010962,0.09003459144458417,0.08166224432318231,0.024805397923522755
Sample_388,0.30060120240480964,0.12625250501002003,0.004008016032064128,0.25551102204408815,0.10220440881763528,0.18637274549098196,0.025050100200400802,0.31402690749227496,0.10931008442260355,0.005218220805201609,0.24184197615425787,0.1151059975508532,0.17380202083791502,0.028921589797247172
Sample_996,0.030120481927710843,0.10441767068273092,0.08333333333333333,0.24899598393574296,0.20983935742971888,0.06124497991967871,0.2620481927710843,0.030225954195481467,0.0990812531117337,0.08292976801670793,0.25131433964102157,0.22279376244904717,0.061471246423381816,0.2445812981751594
Sample_15,0.0,0.22367101303911735,0.0,0.38615847542627885,0.20260782347041123,0.17051153460381144,0.017051153460381142,0.0026173756023006468,0.20768184969730025,0.0063481773567344866,0.40954534878057025,0.19822675957703664,0.16004349236699278,0.015536996619065024
Sample_842,0.4046184738955823,0.18875502008032127,0.019076305220883535,0.040160642570281124,0.1536144578313253,0.10040160642570281,0.09337349397590361,0.4203354865163146,0.19980186151971668,0.016039685544911118,0.03947369478144558,0.14985248389346276,0.09836999283148434,0.0761267949126652
Sample_485,0.01706827309236948,0.11847389558232932,0.029116465863453816,0.714859437751004,0.060240963855421686,0.045180722891566265,0.015060240963855422,0.014515006736575914,0.10804470236834714,0.022169835479421873,0.7038983888196082,0.05617759348251891,0.04706878976812818,0.007237014522543993
Sample_608,0.12537612838515547,0.5396188565697091,0.029087261785356068,0.04914744232698094,0.10932798395185557,0.13039117352056168,0.017051153460381142,0.11092280393821616,0.5373660268202429,0.024667015090262295,0.046591783968710505,0.10524283852182335,0.1387834845286538,0.02054070334428209
Sample_312,0.04208416833667335,0.187374749498998,0.01002004008016032,0.03406813627254509,0.45991983967935873,0.24649298597194388,0.02004008016032064,0.036290799910339185,0.20209634258913864,0.01181257300943475,0.03516184354013734,0.46625528001019617,0.22768222010214967,0.02070094083860413
Sample_121,0.2321608040201005,0.21206030150753769,0.016080402010050253,0.14371859296482412,0.2723618090452261,0.11256281407035176,0.011055276381909548,0.24630732991217766,0.21618275777061544,0.013301555578848833,0.1390440669148057,0.2630053892655764,0.10969587402684965,0.012463026531126393
Sample_558,0.3704819277108434,0.07630522088353414,0.01606425702811245,0.071285140562249,0.03413654618473896,0.40763052208835343,0.024096385542168676,0.37736161229186566,0.047653020300840815,0.01214804007932249,0.07717679210737742,0.03727453210238321,0.4068827933086708,0.02304679970991394
Sample_850,0.07630522088353414,0.0823293172690763,0.29518072289156627,0.2791164658634538,0.12248995983935743,0.05220883534136546,0.09236947791164658,0.08275293463674376,0.049321821051072086,0.23840795310763746,0.2648353988872082,0.12479582695001608,0.07617348714000537,0.0715198013269683
Sample_887,0.004012036108324975,0.05416248746238716,0.0010030090270812437,0.13941825476429287,0.13139418254764293,0.13841524573721165,0.5315947843530592,0.008962454148286393,0.07501805970906196,0.006120103574492358,0.15355935147614502,0.1375767921948602,0.1398343557612175,0.4593664005696686
Sample_267,0.24899598393574296,0.35642570281124497,0.020080321285140562,0.07329317269076305,0.2289156626506024,0.05220883534136546,0.020080321285140562,0.2520411445281207,0.32794110152331113,0.021742138624463857,0.06866422885682665,0.21839165580083286,0.04782104156290559,0.015512166624684064
Sample_798,0.2150753768844221,0.19597989949748743,0.15376884422110554,0.21206030150753769,0.06934673366834171,0.020100502512562814,0.13366834170854272,0.1979741539214875,0.18843611791278594,0.15971707008979297,0.21426881210418028,0.05808081759162749,0.01533401408662964,0.1197881330047159
