,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.058174523570712136,0.004012036108324975,0.40521564694082246,0.26078234704112335,0.16649949849548645,0.07522567703109329,0.03009027081243731,0.0587516598319831,0.03187449441793349,0.3751405863247848,0.2392842333280641,0.17269857118817267,0.0822443571284174,0.04000609778064449
Sample_695,0.5155466399197592,0.1624874623871615,0.0732196589769308,0.13941825476429287,0.07823470411233702,0.023069207622868605,0.00802407221664995,0.5037381796887587,0.16705075349860551,0.07564541071497438,0.13158698277177044,0.07457732403855186,0.022461988161076293,0.024939361126262688
Sample_799,0.3721163490471414,0.18054162487462388,0.020060180541624874,0.2688064192577733,0.05015045135406219,0.06820461384152457,0.04012036108324975,0.35095537262917137,0.18848232162560835,0.017303257306336695,0.2656916578969865,0.05420399042419642,0.07646880616680489,0.04689459395089602
Sample_148,0.002008032128514056,0.2570281124497992,0.02710843373493976,0.4046184738955823,0.0,0.28112449799196787,0.028112449799196786,0.005556856806068186,0.2616199350866938,0.019047012163306717,0.3941366788838999,0.005579309145625612,0.2750819548419287,0.025443485000918045
Sample_859,0.17185929648241205,0.03819095477386935,0.12864321608040202,0.034170854271356785,0.30954773869346736,0.28542713567839195,0.032160804020100506,0.17558941654785645,0.05246129914607958,0.11667179044345723,0.035237971643481705,0.3121530618834141,0.26460293077438335,0.038486736820280344
Sample_447,0.3433734939759036,0.21485943775100402,0.012048192771084338,0.10542168674698796,0.1636546184738956,0.142570281124498,0.018072289156626505,0.3376754816379014,0.19021968440390719,0.01177944826851135,0.10280820107572501,0.15860942731854802,0.1433719257745024,0.01884564201723545
Sample_635,0.22367101303911735,0.1624874623871615,0.023069207622868605,0.1354062186559679,0.029087261785356068,0.4112337011033099,0.015045135406218655,0.21680413839115553,0.1753258469317759,0.02361466570854639,0.12946170456538306,0.03186101357234377,0.4106984948074792,0.009105108546274563
Sample_128,0.3865461847389558,0.1355421686746988,0.007028112449799197,0.04919678714859438,0.21686746987951808,0.19678714859437751,0.008032128514056224,0.3811030999320404,0.14343192367833388,0.011872142813895233,0.045765168700092985,0.20958478814059497,0.19278642595421241,0.008789077210966664
Sample_813,0.13239719157472418,0.1374122367101304,0.08124373119358075,0.2296890672016048,0.003009027081243731,0.00802407221664995,0.4082246740220662,0.13251979238500253,0.17263015220318226,0.0783760351989952,0.2144696006577237,0.006656752168996185,0.006976878019428631,0.3618719665608
Sample_439,0.4497991967871486,0.178714859437751,0.01706827309236948,0.02108433734939759,0.23393574297188754,0.09136546184738956,0.008032128514056224,0.4405509887734634,0.16956255585343707,0.0134423886472467,0.024719353597245794,0.2373224318122298,0.10065486467022278,0.013747416646154417
Sample_748,0.04116465863453815,0.0783132530120482,0.03413654618473896,0.018072289156626505,0.45883534136546184,0.21987951807228914,0.1495983935742972,0.04081480340023769,0.046756213844902625,0.04008303000130141,0.021269772818295625,0.4553785457269726,0.22338468769323072,0.17231294651505916
Sample_529,0.09829488465396188,0.028084252758274825,0.0,0.22668004012036108,0.014042126379137413,0.6208625877632898,0.012036108324974924,0.09395337698536167,0.028988973088732675,0.00372184271565459,0.21074527020769437,0.01775399890798221,0.5901515777076317,0.01421658855265208
Sample_559,0.5512048192771084,0.02610441767068273,0.028112449799196786,0.06626506024096386,0.1706827309236948,0.13253012048192772,0.025100401606425703,0.5459098274571813,0.027726488691056483,0.03568575922000077,0.06316641518115822,0.16969389019444298,0.1268326245891374,0.027760066833946478
Sample_593,0.467935871743487,0.04809619238476954,0.02404809619238477,0.017034068136272545,0.13026052104208416,0.2865731462925852,0.026052104208416832,0.4769891351150758,0.038196827577107254,0.0236811886615366,0.02362781692922295,0.14733143992114897,0.26950172504993014,0.020671866745978186
Sample_500,0.35240963855421686,0.10742971887550201,0.001004016064257028,0.06726907630522089,0.20783132530120482,0.2429718875502008,0.02108433734939759,0.3458238563974926,0.12127616575320342,0.006486470636928404,0.0671903473106548,0.1877351674881288,0.23597229549010829,0.020049865620910077
Sample_506,0.0802407221664995,0.34804413239719156,0.014042126379137413,0.0641925777331996,0.22166499498495487,0.2597793380140421,0.012036108324974924,0.0705380370892693,0.3584490775200937,0.018471074827187354,0.07285274127105026,0.21074101427404737,0.2559352005500549,0.013012854468297034
Sample_46,0.0,0.13239719157472418,0.017051153460381142,0.728184553660983,0.11735205616850551,0.0,0.0050150451354062184,0.002958350635944884,0.14287534176165065,0.01738357696862026,0.7023733106788507,0.12294179158367846,0.004554624950989591,0.00691300342026562
Sample_21,0.6058174523570712,0.19859578736208625,0.006018054162487462,0.0,0.09528585757271815,0.07422266800401203,0.020060180541624874,0.5835070412060528,0.19025747724121228,0.006372352151782449,0.00322369288257414,0.09844124670238992,0.06531856380323045,0.01907447246833605
Sample_307,0.20361083249749248,0.119358074222668,0.011033099297893681,0.13239719157472418,0.5025075225677031,0.012036108324974924,0.01905717151454363,0.20347816947847783,0.09659682939687594,0.0072759011105759976,0.13329023498866904,0.49287338155191085,0.016511145278412614,0.019111687021786034
Sample_63,0.0,0.01104417670682731,0.018072289156626505,0.6355421686746988,0.12449799196787148,0.20281124497991967,0.008032128514056224,0.0033220926380337417,0.008600068799656368,0.021653971054622866,0.6174804656304035,0.11866283360625197,0.20860720781824135,0.009079382031020804
Sample_619,0.3002008032128514,0.23795180722891565,0.028112449799196786,0.0963855421686747,0.15963855421686746,0.17269076305220885,0.0050200803212851405,0.2799638040986095,0.2510603096480758,0.020372382078390844,0.11028597084530348,0.1494670474979739,0.17112847105292436,0.017722014778722414
Sample_796,0.477432296890672,0.09127382146439318,0.0010030090270812437,0.08425275827482448,0.07021063189568706,0.08124373119358075,0.1945837512537613,0.4781263347694086,0.08698027598354985,0.003755772573818127,0.07965109453227888,0.07062271201025822,0.08162727305238344,0.19893941092210923
Sample_106,0.0,0.22668004012036108,0.009027081243731194,0.034102306920762285,0.4934804413239719,0.21464393179538616,0.022066198595787363,0.0032459077876489197,0.19477074974777386,0.009636989075531786,0.03635747281456771,0.4785149767920399,0.214167689858152,0.01780854220074269
Sample_871,0.08944723618090453,0.49246231155778897,0.023115577889447236,0.10954773869346733,0.009045226130653266,0.10954773869346733,0.16683417085427135,0.09719560333166137,0.49737346896073237,0.018880397878632674,0.09426645045581551,0.013443689408784503,0.10464391258773872,0.1741964773766348
Sample_349,0.29819277108433734,0.20582329317269077,0.002008032128514056,0.15160642570281124,0.16666666666666666,0.16967871485943775,0.006024096385542169,0.2958517755926554,0.19565757150147545,0.004800807655653239,0.15225646138967155,0.1729601864561177,0.16917826138632294,0.00929493601810374
Sample_483,0.062186559679037114,0.11434302908726178,0.022066198595787363,0.18054162487462388,0.5817452357071213,0.013039117352056168,0.026078234704112337,0.06487682373790266,0.11322261137402258,0.023403757132057827,0.18593481221812247,0.5771351086250227,0.01437941847188867,0.019935394384940498
Sample_573,0.10832497492477432,0.43329989969909727,0.0,0.23771313941825475,0.03811434302908726,0.16148445336008024,0.02106318956870612,0.09607866530609949,0.41893892039797015,0.0045805688988674875,0.228488981985514,0.04280775231088239,0.15316675375040087,0.01636700606894101
Sample_396,0.07035175879396985,0.27738693467336684,0.011055276381909548,0.39195979899497485,0.033165829145728645,0.18894472361809045,0.027135678391959798,0.07073664347274976,0.2832886828108664,0.007380000135291169,0.3780295136910083,0.04777233147579554,0.16933163049352296,0.016341413113727356
Sample_198,0.591182364729459,0.19839679358717435,0.012024048096192385,0.004008016032064128,0.0,0.18937875751503006,0.00501002004008016,0.5937479114440681,0.18689990530564282,0.012053943231825721,0.004157514646478997,0.004985439586943313,0.1740706320074105,0.0078049417016809895
Sample_797,0.10230692076228685,0.1123370110330993,0.2246740220661986,0.18655967903711135,0.03009027081243731,0.09628886659979939,0.2477432296890672,0.09572167071717083,0.13348231579479392,0.21809132847794316,0.1748383635505818,0.02849726462423881,0.0883536572141313,0.24327246078110654
Sample_181,0.0,0.23570712136409228,0.02106318956870612,0.009027081243731194,0.3069207622868606,0.41424272818455365,0.013039117352056168,0.003566822585997741,0.22601561874101442,0.01756592208981431,0.007217106350263777,0.3160180202979273,0.4083157894752306,0.021300720459751774
Sample_270,0.10742971887550201,0.002008032128514056,0.028112449799196786,0.7399598393574297,0.07530120481927711,0.030120481927710843,0.01706827309236948,0.11526326539438828,0.013894146644600279,0.029018757121115967,0.6903241620514432,0.08433194565915589,0.039679739516473383,0.008559948751230173
Sample_520,0.1214859437751004,0.02208835341365462,0.0,0.3785140562248996,0.1606425702811245,0.2961847389558233,0.02108433734939759,0.1255677216922582,0.03370711846581539,0.003650991592940557,0.3710014078849194,0.1515557363903036,0.2884612470814517,0.013338368542284153
Sample_511,0.2868605817452357,0.013039117352056168,0.014042126379137413,0.022066198595787363,0.30792377131394183,0.33099297893681046,0.025075225677031094,0.28157951050797664,0.020342203241324915,0.015317200627863561,0.021456290275281512,0.30610914432747316,0.3257843522521483,0.022921837350917396
