,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.39618856569709127,0.13039117352056168,0.1995987963891675,0.02708124373119358,0.04012036108324975,0.029087261785356068,0.17753259779338015,0.3839799043004382,0.12727372927860728,0.21396170213549817,0.0291902753333154,0.04132428757949432,0.03195291733825203,0.1723171840343946
Sample_695,0.022066198595787363,0.09127382146439318,0.18054162487462388,0.10431293881644935,0.29187562688064195,0.037111334002006016,0.2728184553660983,0.024423189570070294,0.08075742154097329,0.17754646618778153,0.11158306661171498,0.2992116990783314,0.03944462271367678,0.26703353429745164
Sample_799,0.2150753768844221,0.02814070351758794,0.05125628140703518,0.05025125628140704,0.38994974874371857,0.20804020100502513,0.05728643216080402,0.22450557564273743,0.015077932680117137,0.06005317748297875,0.05392874406569167,0.3632527281704553,0.16979925161236567,0.04040250113158783
Sample_148,0.4383149448345035,0.18355065195586762,0.02708124373119358,0.1444332998996991,0.09929789368104312,0.07923771313941826,0.028084252758274825,0.4307378285626933,0.18413198406138964,0.02330481248555801,0.1570163436098857,0.09926404775177868,0.07754602754431235,0.022104598938524515
Sample_859,0.11646586345381527,0.23694779116465864,0.05421686746987952,0.04417670682730924,0.10542168674698796,0.06927710843373494,0.37349397590361444,0.11747579731913842,0.222539197373837,0.054789164630612695,0.0513969308046237,0.10034888376820275,0.07627310179800054,0.3771769243055849
Sample_447,0.160481444332999,0.36108324974924777,0.012036108324974924,0.2176529588766299,0.06018054162487462,0.17051153460381144,0.01805416248746239,0.15552525898620165,0.3679217327547473,0.015808822436650584,0.2226330996312885,0.055647929638453886,0.16852627854851696,0.013936878004141014
Sample_635,0.19658976930792377,0.2848545636910732,0.023069207622868605,0.2858575727181545,0.1715145436308927,0.023069207622868605,0.015045135406218655,0.1727266821766537,0.26541202042698603,0.02504278931551617,0.2853532348049881,0.17757190249075505,0.024424783576651028,0.014158032342104691
Sample_128,0.07522567703109329,0.21163490471414242,0.007021063189568706,0.0320962888665998,0.6028084252758275,0.06318956870611836,0.00802407221664995,0.06930784456769161,0.20181144859091943,0.00565146733416825,0.03691439757474124,0.5872346957398057,0.06681895227813874,0.009101701899501038
Sample_813,0.06720160481444333,0.06519558676028084,0.08525576730190572,0.4182547642928786,0.07923771313941826,0.10330992978936811,0.1815446339017051,0.07889330663336235,0.07800047935045676,0.08608084589372957,0.44282128656273306,0.08154690087325166,0.08374185506352105,0.14891532562294565
Sample_439,0.13855421686746988,0.12048192771084337,0.01706827309236948,0.4066265060240964,0.27309236947791166,0.03614457831325301,0.008032128514056224,0.14232652749779098,0.09530075916860972,0.01685614303948879,0.3820594466118239,0.2718633537127289,0.03344300032638732,0.013738506274287052
Sample_748,0.14457831325301204,0.014056224899598393,0.21586345381526104,0.035140562248995984,0.1465863453815261,0.3654618473895582,0.0783132530120482,0.1434532017984255,0.02906930733545385,0.23438770173003895,0.027618916811006994,0.14532030548230845,0.36160332754497887,0.058547239297787365
Sample_529,0.10140562248995984,0.03112449799196787,0.0,0.22690763052208834,0.3373493975903614,0.29116465863453816,0.012048192771084338,0.0884434440793353,0.016339380061755057,0.0053458584122115195,0.24681865103230313,0.32985987676461603,0.2859996680374156,0.013819531892474136
Sample_559,0.19597989949748743,0.18592964824120603,0.02814070351758794,0.044221105527638194,0.09246231155778895,0.42814070351758793,0.02512562814070352,0.18616322635460303,0.15834330903875254,0.020817340541263905,0.042035317401895415,0.093061405084771,0.42072067107972333,0.02166684697713285
Sample_593,0.11634904714142427,0.22567703109327983,0.024072216649949848,0.2978936810431294,0.0050150451354062184,0.3049147442326981,0.026078234704112337,0.11179971772002836,0.24544598612001234,0.021617481672535074,0.29922707951952954,0.003555226161839953,0.2990889503804813,0.01926555842557349
Sample_500,0.08826479438314945,0.05015045135406219,0.0010030090270812437,0.003009027081243731,0.4764292878635908,0.3600802407221665,0.02106318956870612,0.09641101898710099,0.04485638694625056,0.005333103533048545,0.005150364090473203,0.47941234170418384,0.3490618553664254,0.019774929372517427
Sample_506,0.1424272818455366,0.09027081243731194,0.014042126379137413,0.2858575727181545,0.22868605817452356,0.22668004012036108,0.012036108324974924,0.1416457381326604,0.057870823063214887,0.011242029823747819,0.2760601511332851,0.22747150793034895,0.2185309647877786,0.012092868798597672
Sample_46,0.03911735205616851,0.5757271815446339,0.017051153460381142,0.0,0.0020060180541624875,0.36108324974924777,0.0050150451354062184,0.05042399332140884,0.590124667043419,0.01740471023694613,0.0027037679329611633,0.009418671288829587,0.31856628607912446,0.0113579040973107
