,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.028084252758274825,0.16349047141424272,0.30090270812437314,0.12437311935807423,0.14844533600802406,0.1624874623871615,0.07221664994984955,0.02977955380943681,0.16753515732518948,0.29584776180216904,0.12889276439321434,0.14829430021865125,0.17254675985348944,0.05710370259784952
Sample_695,0.12036108324974924,0.012036108324974924,0.15446339017051153,0.18756268806419257,0.03610832497492478,0.4844533600802407,0.0050150451354062184,0.1256198696343021,0.013657086996490101,0.15208257301993902,0.19344243471575875,0.03669244259114167,0.46894626731928946,0.009559325723079107
Sample_799,0.10441767068273092,0.10140562248995984,0.028112449799196786,0.3614457831325301,0.09437751004016064,0.12449799196787148,0.1857429718875502,0.1089074142708871,0.12224310003503815,0.021250811322502793,0.37543538074001864,0.08455167846993956,0.12246278549078896,0.16514882967082467
Sample_148,0.28986960882647944,0.13139418254764293,0.02708124373119358,0.42326980942828485,0.10030090270812438,0.0,0.028084252758274825,0.2938664926566265,0.12082226057996948,0.02640790895812309,0.41693387472727667,0.09284347732397903,0.007346603533191715,0.016830242157835712
Sample_859,0.1566265060240964,0.16666666666666666,0.071285140562249,0.0030120481927710845,0.20381526104417672,0.20080321285140562,0.19779116465863453,0.17016785683842395,0.14814186946931876,0.07145457378431772,0.00325556816516634,0.1992598583684791,0.20829431801068463,0.19942595536360946
Sample_447,0.09127382146439318,0.15546639919759278,0.012036108324974924,0.44132397191574724,0.21664994984954863,0.06519558676028084,0.01805416248746239,0.0972117973687867,0.12846762281346596,0.01147032891746604,0.4603146229949107,0.20751822272079662,0.06381549793063931,0.015528403109092863
Sample_635,0.533066132264529,0.18236472945891782,0.023046092184368736,0.16332665330661322,0.07214428857715431,0.011022044088176353,0.01503006012024048,0.530511898503645,0.16444790559726613,0.02266378716598043,0.16602606920079543,0.061666007467541424,0.009671039544618721,0.010076212794957995
Sample_128,0.36810431293881646,0.3430290872617854,0.007021063189568706,0.25376128385155466,0.020060180541624874,0.0,0.00802407221664995,0.3563184523302033,0.2918822795968763,0.00763108301215538,0.2438322416093873,0.016236772877848304,0.004250246681768047,0.01160408838670002
Sample_813,0.07114228456913828,0.11723446893787576,0.07014028056112225,0.1492985971943888,0.24649298597194388,0.312625250501002,0.033066132264529056,0.07347348697023735,0.10206713524040627,0.07971652970833377,0.14606340803376114,0.24836338837640237,0.3262333741527137,0.024082677518145322
Sample_439,0.09738955823293173,0.2469879518072289,0.01706827309236948,0.1686746987951807,0.31827309236947793,0.14357429718875503,0.008032128514056224,0.09574390999810693,0.2047051250159549,0.02100842915712912,0.17802324882764375,0.3178070189035659,0.1425471770975537,0.01464043248482011
Sample_748,0.2948846539618857,0.31093279839518556,0.04513540621865597,0.04012036108324975,0.2748244734202608,0.013039117352056168,0.02106318956870612,0.3025796827729976,0.30084719466600285,0.04321733614341354,0.04597890756781969,0.2782529153380644,0.013928255400751481,0.015195708110950439
Sample_529,0.3614457831325301,0.32429718875502006,0.0,0.013052208835341365,0.023092369477911646,0.2660642570281124,0.012048192771084338,0.35056506679964566,0.32615601919428666,0.0009114892174459754,0.020062760528073823,0.026114508477720132,0.25354241874221883,0.01788070830471984
Sample_559,0.013039117352056168,0.20962888665997995,0.028084252758274825,0.5767301905717152,0.14142427281845538,0.006018054162487462,0.025075225677031094,0.011554702014611984,0.25274746091406175,0.02457537251581057,0.5463075872119137,0.13681790714561748,0.0083160112625548,0.01687162043430496
Sample_593,0.05110220440881764,0.027054108216432865,0.02404809619238477,0.39478957915831664,0.22945891783567135,0.24749498997995992,0.026052104208416832,0.04601827798153083,0.020321103160361346,0.022784235191449915,0.42031165620988825,0.2383808889956363,0.22417921975090288,0.019455074275779808
Sample_500,0.033099297893681046,0.6529588766298897,0.0010030090270812437,0.06118355065195587,0.013039117352056168,0.2176529588766299,0.02106318956870612,0.03844157979192153,0.5893006226978387,0.011479895927091784,0.06377888730702536,0.013941741383415663,0.2180837285286207,0.021320510050748077
