,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.20962888665997995,0.0,0.13941825476429287,0.03811434302908726,0.3340020060180542,0.1855566700100301,0.09327983951855567,0.1826460283911506,0.020288864460224803,0.1430440914064396,0.033707196202621206,0.33366801131125395,0.16736657157677948,0.11927923665153028
Sample_695,0.20481927710843373,0.013052208835341365,0.07931726907630522,0.39357429718875503,0.17670682730923695,0.04116465863453815,0.09136546184738956,0.2138171374288327,0.023503531151989217,0.0811273243797163,0.390361285971984,0.1790030917918483,0.03775787613705716,0.07442975313857228
Sample_799,0.014056224899598393,0.4307228915662651,0.23795180722891565,0.023092369477911646,0.04116465863453815,0.07730923694779117,0.1757028112449799,0.013954169233234242,0.4501665276242006,0.21004177194535542,0.018466213847615928,0.03426450578819447,0.07494983776290358,0.19815697379849556
Sample_148,0.2567703109327984,0.1424272818455366,0.02708124373119358,0.017051153460381142,0.033099297893681046,0.4954864593781344,0.028084252758274825,0.28060615608435197,0.1477134738804384,0.02997028897133458,0.013528465857478791,0.033420513503132326,0.4712135705794647,0.023547531123799127
Sample_859,0.07923771313941826,0.0712136409227683,0.16850551654964896,0.04914744232698094,0.22567703109327983,0.2136409227683049,0.19257773319959878,0.07932312604405752,0.09554567365086912,0.18354247533905438,0.05102652850051675,0.21940924755718236,0.19271874029249583,0.17843420861582415
Sample_447,0.2978936810431294,0.02708124373119358,0.012036108324974924,0.4002006018054162,0.025075225677031094,0.21965897693079237,0.01805416248746239,0.34525123279761505,0.013597326565854653,0.01381664694483196,0.37743052537371613,0.02545821885899499,0.19558096521605045,0.012837067310830135
Sample_635,0.050200803212851405,0.20481927710843373,0.023092369477911646,0.4598393574297189,0.05622489959839357,0.19076305220883535,0.015060240963855422,0.049016614082349946,0.1842950539425824,0.021044988923721208,0.462846142667274,0.042068627519858695,0.1794460601556202,0.024045531873335947
Sample_128,0.0,0.3406813627254509,0.0070140280561122245,0.1523046092184369,0.3557114228456914,0.13627254509018036,0.008016032064128256,0.004001068794893135,0.33733785986114606,0.005513334558586189,0.14819836680617024,0.3599322030757166,0.13016515564909223,0.014852011254395645
Sample_813,0.0,0.3393574297188755,0.1214859437751004,0.2429718875502008,0.02610441767068273,0.04417670682730924,0.22590361445783133,0.00300898516369003,0.30535974213028927,0.1371929995053959,0.2478554174459498,0.026724045358680237,0.0372421897841146,0.24261662061188013
Sample_439,0.4347389558232932,0.15562248995983935,0.01706827309236948,0.19377510040160642,0.025100401606425703,0.16566265060240964,0.008032128514056224,0.4089488215260344,0.15432754784619798,0.015714159142638417,0.18826805839348396,0.027774433661408155,0.15835936977857154,0.008384056113137297
Sample_748,0.22668004012036108,0.04312938816449348,0.05315947843530592,0.06318956870611836,0.26479438314944836,0.1905717151454363,0.1584754262788365,0.2299907213878484,0.05851553409573567,0.06051915746610395,0.06735787331266531,0.26798135371885506,0.19078311543811993,0.12485224458067147
Sample_529,0.020080321285140562,0.17771084337349397,0.0,0.4899598393574297,0.06726907630522089,0.23293172690763053,0.012048192771084338,0.023765770262843926,0.1270965395880199,0.00839612170934245,0.5086593177499661,0.06819954070300736,0.23124937150185232,0.012124530445812897
Sample_559,0.12864321608040202,0.38994974874371857,0.02814070351758794,0.3075376884422111,0.022110552763819097,0.09849246231155778,0.02512562814070352,0.12053400112585312,0.3817538005048551,0.0228693192302839,0.3221751915568161,0.019857170604917106,0.0965865099299916,0.018400604495611216
Sample_593,0.10030090270812438,0.22367101303911735,0.024072216649949848,0.25175526579739216,0.04714142427281846,0.32698094282848544,0.026078234704112337,0.09013957761540765,0.22266643177784104,0.023308168701212578,0.23420120879193623,0.04437933475261881,0.3334504492246119,0.015363321985467398
Sample_500,0.13152610441767068,0.09839357429718876,0.001004016064257028,0.07630522088353414,0.5903614457831325,0.08132530120481928,0.02108433734939759,0.12569674395531982,0.09401911604139779,0.00629621467898422,0.078374529473202,0.5937606061419765,0.08053843045331269,0.016478625501060457
Sample_506,0.5100401606425703,0.024096385542168676,0.014056224899598393,0.025100401606425703,0.4026104417670683,0.012048192771084338,0.012048192771084338,0.4824198393001678,0.03595955078417765,0.013748315329216571,0.024525285049541424,0.3916033133681215,0.014513338946100995,0.01699316008052027
Sample_46,0.3704819277108434,0.18373493975903615,0.01706827309236948,0.16265060240963855,0.22991967871485944,0.03112449799196787,0.0050200803212851405,0.381117247191953,0.17556300644894746,0.014194782655354435,0.16207453800572263,0.22306332918255076,0.033253961679524005,0.01073313483594765
Sample_21,0.0,0.16132264529058116,0.006012024048096192,0.07615230460921844,0.624248496993988,0.11222444889779559,0.02004008016032064,0.004401146972022339,0.15819562727627162,0.007391475124180197,0.08623414486695964,0.618607263143057,0.11224748977015168,0.012922852847357632
Sample_307,0.26961770623742454,0.5472837022132797,0.011066398390342052,0.03219315895372234,0.05432595573440644,0.06639839034205232,0.019114688128772636,0.25968848510171316,0.5583179119407806,0.011331578902522042,0.03211789368802196,0.04848308272713772,0.07209136188588737,0.01796968575393718
Sample_63,0.4497991967871486,0.08433734939759036,0.018072289156626505,0.30220883534136544,0.030120481927710843,0.10742971887550201,0.008032128514056224,0.43156080805672586,0.0908225527336742,0.02383971627516102,0.29326745988024744,0.027984037985459752,0.09654722879300921,0.00732968084312486
Sample_619,0.1623246492985972,0.37074148296593185,0.028056112224448898,0.0781563126252505,0.17835671342685372,0.17735470941883769,0.00501002004008016,0.17205769420549222,0.36544273834628427,0.019961194750837883,0.07627659992240379,0.1771326186903217,0.17317620532896646,0.015952948755693638
Sample_796,0.08132530120481928,0.02610441767068273,0.2520080321285141,0.4919678714859438,0.025100401606425703,0.09839357429718876,0.025100401606425703,0.08194345446361881,0.031600663392513655,0.26008842040273,0.49304772639378747,0.022277185893041958,0.09255369739010491,0.018488852064203195
Sample_106,0.0,0.050100200400801605,0.009018036072144289,0.14128256513026052,0.6332665330661322,0.14428857715430862,0.022044088176352707,0.0038642421488770074,0.05400569274921645,0.014537679615858529,0.1350808775163647,0.6294237599807045,0.14202086773134184,0.012364002372333137
Sample_871,0.26706827309236947,0.03815261044176707,0.05823293172690763,0.14558232931726908,0.007028112449799197,0.178714859437751,0.30522088353413657,0.25234828940152687,0.05300262173322567,0.05736128317582732,0.15027726229677574,0.006322757045594305,0.16303234151696358,0.31765544483008656
Sample_349,0.0050200803212851405,0.16967871485943775,0.002008032128514056,0.5732931726907631,0.1566265060240964,0.08734939759036145,0.006024096385542169,0.005068246103854247,0.15212603402209945,0.006852078504520086,0.5721426410054798,0.15239688249288394,0.07583321297812645,0.011632552621459907
Sample_483,0.2948846539618857,0.1815446339017051,0.022066198595787363,0.2888665997993982,0.08224674022066199,0.10431293881644935,0.026078234704112337,0.2762532948349878,0.16020594361962948,0.014746255493290011,0.298597609916474,0.083152694301875,0.09816754067906869,0.021989377131521468
Sample_573,0.549748743718593,0.11959798994974874,0.0,0.2150753768844221,0.07537688442211055,0.019095477386934675,0.021105527638190954,0.5217541074990969,0.11671006334658078,0.005308055683576277,0.21262332433516337,0.07873306466767327,0.030436407539370932,0.01751050853196701
Sample_396,0.04924623115577889,0.023115577889447236,0.011055276381909548,0.05025125628140704,0.714572864321608,0.12462311557788945,0.027135678391959798,0.057031365006770536,0.01569214234370966,0.013596796303591934,0.051305093383896196,0.6996435253956458,0.12006177246492829,0.022025956396752835
Sample_198,0.07021063189568706,0.2547642928786359,0.012036108324974924,0.4373119358074223,0.19658976930792377,0.024072216649949848,0.0050150451354062184,0.06680545864799171,0.2339869504841766,0.017399663708196296,0.44360500209255044,0.17905817340928526,0.022738709781455396,0.007789813795975837
Sample_797,0.17771084337349397,0.12248995983935743,0.15863453815261044,0.11847389558232932,0.03413654618473896,0.28413654618473894,0.10441767068273092,0.1731756212199482,0.1188792708527591,0.1600171654254014,0.11576823654248866,0.035381859646726944,0.3002470219940635,0.09653082431861229
Sample_181,0.1716867469879518,0.6014056224899599,0.02108433734939759,0.0,0.0642570281124498,0.1285140562248996,0.013052208835341365,0.16460991470101094,0.571252423343665,0.0229345527431139,0.0028065058378665586,0.07026368882683683,0.12083911674407775,0.014917644910328796
Sample_270,0.04317269076305221,0.10642570281124498,0.028112449799196786,0.02108433734939759,0.5301204819277109,0.2540160642570281,0.01706827309236948,0.04972038826499358,0.11748378409753588,0.025158527505034854,0.020726925999446113,0.5235853701084471,0.24514964722499444,0.01817535679954808
Sample_520,0.08835341365461848,0.013052208835341365,0.0,0.11244979919678715,0.4789156626506024,0.286144578313253,0.02108433734939759,0.09272238508671674,0.022634674680576505,0.004558844503320443,0.10872626288514528,0.4850287446881938,0.2650564082780597,0.019453101428550744
Sample_511,0.050200803212851405,0.08634538152610442,0.014056224899598393,0.572289156626506,0.0,0.2520080321285141,0.025100401606425703,0.05475109230009743,0.0907668882239672,0.011553277650906028,0.5567063305838186,0.003535489151701766,0.25851246547536794,0.02417445661414089
Sample_388,0.05811623246492986,0.5511022044088176,0.004008016032064128,0.24549098196392785,0.03907815631262525,0.07715430861723446,0.025050100200400802,0.056599628043414514,0.5094138410375804,0.004293789980210051,0.24414003673196358,0.032182314034361004,0.0778787194729284,0.031652870772719784
Sample_996,0.1283851554663992,0.4172517552657974,0.17753259779338015,0.03911735205616851,0.1995987963891675,0.03610832497492478,0.0020060180541624875,0.11696236900665133,0.4082571915702107,0.19484087524828556,0.03587316313753461,0.1892902491675684,0.03819478658534177,0.016581365284407613
Sample_15,0.40220661985957873,0.0,0.0,0.2176529588766299,0.24674022066198595,0.11634904714142427,0.017051153460381142,0.3875350652063684,0.007601674504695778,0.005560832861848703,0.21343579442263907,0.24892726128755494,0.11848363239613427,0.01845573932075911
Sample_842,0.12951807228915663,0.001004016064257028,0.1144578313253012,0.46987951807228917,0.16666666666666666,0.001004016064257028,0.11746987951807229,0.12512809170510641,0.021231484860555292,0.11408250092488377,0.47587062091812893,0.16461111517517332,0.009877197019262002,0.08919898939689039
Sample_485,0.018090452261306532,0.019095477386934675,0.02914572864321608,0.8030150753768844,0.08341708542713568,0.032160804020100506,0.01507537688442211,0.024470017747684696,0.023829358989210698,0.019958642883500907,0.7506365486204742,0.090514147850666,0.02651984107831136,0.013550909039214775
Sample_608,0.13253012048192772,0.0893574297188755,0.029116465863453816,0.02108433734939759,0.5381526104417671,0.17269076305220885,0.01706827309236948,0.12011249868968092,0.08534250369107811,0.03145155385502936,0.025328519203875778,0.5352070691309736,0.18288282452023066,0.019675030909131638
Sample_312,0.014056224899598393,0.08032128514056225,0.010040160642570281,0.5271084337349398,0.2931726907630522,0.055220883534136546,0.020080321285140562,0.014082128792882505,0.07579370909366785,0.011512079076133146,0.5224324003004678,0.2768526708396402,0.03677521484930783,0.022380740859276386
Sample_121,0.3463855421686747,0.006024096385542169,0.01606425702811245,0.321285140562249,0.22991967871485944,0.06927710843373494,0.01104417670682731,0.33518728656797764,0.013152823566672099,0.01709329204392368,0.31088788209857876,0.2480532552678846,0.06125273261434275,0.014372727840620715
Sample_558,0.13152610441767068,0.04618473895582329,0.01606425702811245,0.0853413654618474,0.5,0.19678714859437751,0.024096385542168676,0.13593535577839985,0.04769532339870222,0.022862261003415648,0.08676423554545726,0.5077988512230348,0.17930597240980778,0.019638000641182648
Sample_850,0.0641925777331996,0.10832497492477432,0.17251755265797392,0.27181544633901705,0.2587763289869609,0.05215646940822467,0.07221664994984955,0.06464842746596562,0.11338692726717321,0.1527308549611909,0.28736290173650214,0.24815873303796482,0.0635340428163293,0.07017811271487405
Sample_887,0.01104417670682731,0.21385542168674698,0.2961847389558233,0.08433734939759036,0.05923694779116466,0.33032128514056225,0.0050200803212851405,0.017331196241399525,0.23082113087297698,0.26989667160615394,0.07549368451913752,0.05754338402991036,0.3385525356371942,0.010361397093227524
Sample_267,0.5,0.0050200803212851405,0.020080321285140562,0.09136546184738956,0.10240963855421686,0.26104417670682734,0.020080321285140562,0.482112045907709,0.017189731091320968,0.021078498117229116,0.08546486478608545,0.09932263734471007,0.25484872058699487,0.02530551646569271
Sample_798,0.18355065195586762,0.14844533600802406,0.21664994984954863,0.10932798395185557,0.18455366098294884,0.1334002006018054,0.024072216649949848,0.1946616434186833,0.1508321336180573,0.21391493117996974,0.09810959592636559,0.18063036711936611,0.13849064964867774,0.023360679088880273
Sample_329,0.04819277108433735,0.1646586345381526,0.0030120481927710845,0.06325301204819277,0.4206827309236948,0.2751004016064257,0.025100401606425703,0.046666615149761205,0.1627247876643168,0.008294165119978218,0.06929683659892238,0.4174439784987838,0.27314967850752486,0.022423938460712813
Sample_604,0.39959839357429716,0.1355421686746988,0.024096385542168676,0.10240963855421686,0.0391566265060241,0.2751004016064257,0.024096385542168676,0.3836737193194599,0.1338777713273299,0.018321012765587036,0.11383346485254782,0.0397465016992725,0.27815517808652884,0.0213820238356491
Sample_496,0.5678391959798995,0.1487437185929648,0.01507537688442211,0.062311557788944726,0.02613065326633166,0.17788944723618091,0.0020100502512562816,0.559456825328247,0.14042518876448565,0.014608240327271291,0.06642907967120584,0.027915441871827807,0.18500666157926257,0.006158562457699687
Sample_865,0.5085255767301906,0.19157472417251756,0.08625877632898696,0.07422266800401203,0.1123370110330993,0.006018054162487462,0.02106318956870612,0.4780544198621678,0.19442705599131718,0.10293501380247216,0.08437505196579208,0.10903605668850277,0.008809951927205312,0.022362449762542678
Sample_392,0.2678034102306921,0.238716148445336,0.012036108324974924,0.09628886659979939,0.3329989969909729,0.05015045135406219,0.0020060180541624875,0.2541902087468133,0.2730184682244356,0.013983111732976523,0.08771851334178551,0.31208998008480265,0.04650768548590271,0.01249203238328371
Sample_816,0.2535070140280561,0.02004008016032064,0.056112224448897796,0.24649298597194388,0.20440881763527055,0.17034068136272545,0.04909819639278557,0.2515504305837317,0.05027733774835219,0.033370202462294135,0.2484949573336142,0.20125648941743282,0.1647409343582125,0.03717441799834927
Sample_59,0.14142427281845538,0.36108324974924777,0.028084252758274825,0.11634904714142427,0.1584754262788365,0.17953861584754263,0.015045135406218655,0.13679738554708373,0.3286801276310124,0.02785220745248179,0.11900606269476369,0.16267047450601155,0.16756917975081592,0.016234586165974264
Sample_144,0.07915831663326653,0.0,0.02404809619238477,0.5060120240480962,0.20240480961923848,0.1843687374749499,0.004008016032064128,0.08358599351860273,0.016105001905107944,0.01714619982994228,0.5006209363525108,0.19541568817290444,0.1787097540067411,0.008416426214190784
Sample_201,0.21063189568706117,0.275827482447342,0.009027081243731194,0.42126379137412234,0.05616850551654965,0.014042126379137413,0.013039117352056168,0.21513061439544684,0.26385886955999904,0.010752877420860861,0.41387350829944813,0.06366565478755726,0.013533679428871655,0.019184796107816246
Sample_645,0.07931726907630522,0.20682730923694778,0.0,0.0,0.5893574297188755,0.11345381526104417,0.01104417670682731,0.07616690363755821,0.18900417694403704,0.004941227690457107,0.0035950184978272835,0.5996543612339703,0.09905864663403777,0.011518344969779439
Sample_515,0.23694779116465864,0.09337349397590361,0.02108433734939759,0.02610441767068273,0.03815261044176707,0.5562248995983936,0.028112449799196786,0.24950308198560786,0.11995300640673817,0.020099365722107496,0.026454352806980233,0.034215413341078874,0.5212624332626171,0.0285123464748704
Sample_404,0.05321285140562249,0.04116465863453815,0.008032128514056224,0.2319277108433735,0.4919678714859438,0.15562248995983935,0.018072289156626505,0.05423341640881973,0.03375499702928583,0.012450679338994151,0.22454878831645195,0.4805459925067583,0.14379306656769994,0.012419598478343478
Sample_33,0.13139418254764293,0.0,0.029087261785356068,0.3319959879638917,0.34503510531594783,0.160481444332999,0.0020060180541624875,0.12221542873143311,0.014448502802247914,0.022174923138412097,0.32591007839660163,0.35138746328075815,0.14426559834285263,0.006485640803105838
Sample_896,0.46993987975951906,0.01903807615230461,0.04308617234468938,0.045090180360721446,0.17835671342685372,0.2374749498997996,0.0070140280561122245,0.4591006372450742,0.012483475890379885,0.027020954738461934,0.05175704333387179,0.19599787108295166,0.21184720810021357,0.016721623618304544
Sample_524,0.3430290872617854,0.1424272818455366,0.014042126379137413,0.0732196589769308,0.35005015045135407,0.07723169508525576,0.0,0.33411097490966807,0.1404160414488216,0.01676825698122831,0.07141217837691796,0.354851670926978,0.07381199720598204,0.008628880150403914
Sample_317,0.08032128514056225,0.22791164658634538,0.01706827309236948,0.12048192771084337,0.2560240963855422,0.29518072289156627,0.0030120481927710845,0.08654636849507719,0.20907686818445276,0.02094470789847953,0.1159651690361423,0.26730694055948395,0.28974941068419,0.007670551994497313
Sample_492,0.20080321285140562,0.07228915662650602,0.006024096385542169,0.03112449799196787,0.4006024096385542,0.2640562248995984,0.025100401606425703,0.1885983887180415,0.05777963634622504,0.009914845760880727,0.03340907345427991,0.40105858849637,0.2663724706472706,0.022935524314845586
Sample_528,0.004012036108324975,0.925777331995988,0.02106318956870612,0.017051153460381142,0.0050150451354062184,0.011033099297893681,0.0160481444332999,0.008375705812470019,0.7736766718616856,0.026140481140156404,0.018434510799801965,0.0052769587987088725,0.020449752440158696,0.026417179964307324
Sample_215,0.18072289156626506,0.03714859437751004,0.015060240963855422,0.20582329317269077,0.29116465863453816,0.25100401606425704,0.019076305220883535,0.17073682213532682,0.0170985468420838,0.014073452993972894,0.20650262293135646,0.2895680924959878,0.24717783270960142,0.014841628276773032
Sample_727,0.19076305220883535,0.07228915662650602,0.24096385542168675,0.04618473895582329,0.07630522088353414,0.13654618473895583,0.23694779116465864,0.19171951135415,0.09380995290660046,0.22556487344724852,0.044112316671461316,0.07063900827797773,0.14189120574455513,0.23226313159800702
Sample_530,0.05015045135406219,0.40722166499498497,0.015045135406218655,0.279839518555667,0.062186559679037114,0.1855566700100301,0.0,0.050242499719057324,0.3883828198219284,0.018014872736539064,0.29974884850520794,0.06228053593984301,0.17563943647700006,0.005690986800424307
Sample_974,0.05917753259779338,0.00802407221664995,0.3229689067201605,0.10832497492477432,0.10030090270812438,0.18655967903711135,0.21464393179538616,0.0575026245403679,0.024093590111043,0.3340481556757718,0.09399688795282593,0.10198039745090459,0.17950212869958546,0.20887621556950126
Sample_271,0.3172690763052209,0.09939759036144578,0.020080321285140562,0.08032128514056225,0.22991967871485944,0.25301204819277107,0.0,0.33856126342032267,0.08046460357856551,0.019303930981755854,0.07735014997475631,0.22711872909785827,0.25023995985948166,0.006961363087259781
Sample_713,0.20281124497991967,0.013052208835341365,0.018072289156626505,0.04919678714859438,0.22590361445783133,0.04317269076305221,0.44779116465863456,0.2042618376490565,0.026081535651511244,0.023994433825585918,0.054127925693210774,0.24317193295955664,0.05168884328753817,0.3911953643362225
Sample_819,0.28815261044176704,0.01706827309236948,0.20481927710843373,0.08433734939759036,0.20783132530120482,0.18473895582329317,0.013052208835341365,0.28513640882258723,0.04873424349305401,0.19578582321599367,0.07532686783648893,0.20321744057635843,0.17863326421039172,0.01316595184512608
Sample_653,0.24473420260782347,0.19859578736208625,0.18655967903711135,0.11835506519558676,0.0802407221664995,0.08926780341023069,0.08224674022066199,0.2355590738466515,0.22059982640221318,0.17090516492938257,0.12738744805314228,0.07850829657069992,0.09229137193603591,0.061526734419694966
