,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.029087261785356068,0.04613841524573721,0.728184553660983,0.017051153460381142,0.08425275827482448,0.04312938816449348,0.05215646940822467,0.031225111505910473,0.08060818210772037,0.6001187370519067,0.022343077324693955,0.07501938694224414,0.057304747336784354,0.08870857911586821
Sample_695,0.43775100401606426,0.03714859437751004,0.09839357429718876,0.0823293172690763,0.32630522088353414,0.013052208835341365,0.0050200803212851405,0.44105963393807845,0.02496201440655637,0.10367175988924776,0.08229745849160885,0.3134023071397299,0.02014691003875351,0.014459916096025179
Sample_799,0.119358074222668,0.08726178535606821,0.19157472417251756,0.13139418254764293,0.24573721163490472,0.06118355065195587,0.16349047141424272,0.11302311589227944,0.12565077305454553,0.20449546956589376,0.12011766497317573,0.2354739867309608,0.061713893816454285,0.13952509596669066
Sample_148,0.3520561685055166,0.23570712136409228,0.02708124373119358,0.0,0.007021063189568706,0.35005015045135407,0.028084252758274825,0.35908356271651326,0.2556606598510369,0.017004400726840556,0.0022997807755750655,0.006189756782706474,0.3321476899018065,0.02761414924552129
Sample_859,0.16649949849548645,0.08425275827482448,0.3350050150451354,0.1283851554663992,0.1374122367101304,0.031093279839518557,0.11735205616850551,0.16492046264130217,0.09037106976414973,0.3005479052955646,0.12489072904515369,0.1479710131913745,0.046156093736611135,0.10047139443663736
Sample_447,0.3785140562248996,0.1144578313253012,0.012048192771084338,0.2971887550200803,0.11345381526104417,0.06626506024096386,0.018072289156626505,0.33333307160819414,0.1008466813989257,0.019493776723325966,0.30660442939914345,0.11946000618198366,0.0659806429468806,0.016826604257950097
Sample_635,0.04012036108324975,0.2938816449348044,0.023069207622868605,0.2587763289869609,0.20160481444332998,0.1675025075225677,0.015045135406218655,0.0369895355601078,0.3154760700233536,0.023849790529854677,0.25113750736598517,0.19302421502058892,0.1679090919635098,0.011613789536600158
Sample_128,0.0,0.006018054162487462,0.007021063189568706,0.006018054162487462,0.05115346038114343,0.921765295887663,0.00802407221664995,0.0031410480858182384,0.0188467877411299,0.012920246724449967,0.009825959508837237,0.046980835078880186,0.7902103362329772,0.020233807085114644
Sample_813,0.23647294589178355,0.06513026052104208,0.18937875751503006,0.18236472945891782,0.05911823647294589,0.21442885771543085,0.0531062124248497,0.23737881139518976,0.06520281102534468,0.20068244420483697,0.17799231775675337,0.06440034028460116,0.2149829461949161,0.03936032913835799
Sample_439,0.21987951807228914,0.5230923694779116,0.01706827309236948,0.014056224899598393,0.11546184738955824,0.10240963855421686,0.008032128514056224,0.23591487550975587,0.5014126482759996,0.015248740016432246,0.013368230916871771,0.10215277597914522,0.09852914786555231,0.007485039448575616
Sample_748,0.2921686746987952,0.05823293172690763,0.3092369477911647,0.03815261044176707,0.06626506024096386,0.08634538152610442,0.1495983935742972,0.30664378557264177,0.04463308601328183,0.32219083034554247,0.03821823517486564,0.07467867221306711,0.08581976853072679,0.12781562214987455
Sample_529,0.4182547642928786,0.19658976930792377,0.0,0.21063189568706117,0.1424272818455366,0.020060180541624874,0.012036108324974924,0.4074825439046536,0.206894033966907,0.004639302043783845,0.2067663565324717,0.13619357875886978,0.02156576545745706,0.016458419335857243
Sample_559,0.18875502008032127,0.5240963855421686,0.028112449799196786,0.07028112449799197,0.05622489959839357,0.10742971887550201,0.025100401606425703,0.20542577372267848,0.506012294803972,0.02178760947680763,0.0644049233628236,0.060080718477917114,0.108238376698172,0.012923374383897386
Sample_593,0.15130260521042085,0.3637274549098196,0.02404809619238477,0.021042084168336674,0.16933867735470942,0.24448897795591182,0.026052104208416832,0.14414653125673482,0.298299301617986,0.02182060886118484,0.020774057828897335,0.1671487949849678,0.23460415890620578,0.02486865918336365
Sample_500,0.08726178535606821,0.4222668004012036,0.0010030090270812437,0.033099297893681046,0.004012036108324975,0.4312938816449348,0.02106318956870612,0.10028913227215296,0.38639887109414317,0.0015289278533380485,0.028549436211846524,0.004940749395956107,0.42173811094154706,0.010350974536798315
Sample_506,0.2768304914744233,0.08224674022066199,0.014042126379137413,0.07622868605817452,0.27883650952858574,0.2597793380140421,0.012036108324974924,0.2709398561318288,0.0819936339375029,0.012077378584286666,0.08052264199941944,0.27789519514616534,0.2502032694634414,0.010778253176321072
Sample_46,0.0020060180541624875,0.21464393179538616,0.017051153460381142,0.3640922768304915,0.12236710130391174,0.2748244734202608,0.0050150451354062184,0.004888419026656646,0.21335020450589526,0.016735375419719898,0.3534775135273888,0.13501728208955321,0.2542630555331354,0.013796192425210706
Sample_21,0.17051153460381144,0.033099297893681046,0.006018054162487462,0.07823470411233702,0.2477432296890672,0.44433299899699097,0.020060180541624874,0.18222034553527905,0.024070505375935598,0.006540064669196201,0.08112280185795613,0.25993665133534216,0.42708055237485376,0.019029078851437013
Sample_307,0.10150753768844221,0.6432160804020101,0.011055276381909548,0.018090452261306532,0.053266331658291456,0.15376884422110554,0.019095477386934675,0.10464959332372714,0.6448339940420432,0.010303200438025704,0.02205547826331799,0.04753678848638204,0.15100375343453892,0.0196171920119651
Sample_63,0.28786359077231694,0.12738214643931794,0.01805416248746239,0.0,0.26278836509528586,0.2958876629889669,0.00802407221664995,0.2787202091711972,0.11424336938149636,0.019867233428865445,0.0033828359677610864,0.2524374514899073,0.31355206642403166,0.01779683413674098
Sample_619,0.2901606425702811,0.4799196787148594,0.028112449799196786,0.02208835341365462,0.01104417670682731,0.1636546184738956,0.0050200803212851405,0.2834833958336674,0.4415344306549606,0.020329823674008457,0.02283137430916498,0.011902891524017512,0.15575124474146199,0.021322134532861876
Sample_796,0.04618473895582329,0.002008032128514056,0.12248995983935743,0.3142570281124498,0.3714859437751004,0.009036144578313253,0.13453815261044177,0.03763736603421951,0.03323642309774006,0.12048699633292353,0.30273532066728914,0.3705319381546159,0.011124343170281005,0.11548368779201613
Sample_106,0.5642570281124498,0.008032128514056224,0.009036144578313253,0.0,0.30522088353413657,0.09136546184738956,0.02208835341365462,0.5506756453568096,0.0170743681033007,0.004368841244401061,0.002214842973807442,0.3053986696096817,0.08689702875499374,0.013896022855500267
Sample_871,0.0712136409227683,0.009027081243731194,0.04012036108324975,0.30992978936810434,0.19157472417251756,0.09829488465396188,0.279839518555667,0.0677565518491038,0.04260540479873243,0.04032749324746877,0.3110843523382115,0.18936245007850655,0.09537323559868643,0.25349051208929047
Sample_349,0.04513540621865597,0.728184553660983,0.0020060180541624875,0.044132397191574725,0.1514543630892678,0.023069207622868605,0.006018054162487462,0.04088789243186726,0.6677875073094862,0.010624948410178782,0.041355969953608546,0.1462452952104953,0.023604747235853617,0.008367223168311944
Sample_483,0.4308617234468938,0.12424849699398798,0.022044088176352707,0.187374749498998,0.07515030060120241,0.1342685370741483,0.026052104208416832,0.41367724773995534,0.1351977368723332,0.019770459713675213,0.1696116883075746,0.08322350825490112,0.1445062486017471,0.030708023304580317
Sample_573,0.22868605817452356,0.03911735205616851,0.0,0.0160481444332999,0.36810431293881646,0.32698094282848544,0.02106318956870612,0.21825584415207444,0.03996823060535979,0.0033274748017714136,0.017788808205137334,0.3867921647054242,0.3119587219394735,0.020257010687146332
