,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.25576730190571717,0.0050150451354062184,0.22166499498495487,0.07522567703109329,0.013039117352056168,0.4102306920762287,0.01905717151454363,0.2529200050685155,0.022783477135599528,0.21977897128020885,0.07414493200892758,0.017942381011614966,0.39742165420538705,0.015008579289746271
Sample_695,0.04714142427281846,0.05115346038114343,0.15947843530591777,0.18856569709127383,0.05717151454363089,0.01805416248746239,0.47843530591775324,0.06252689910071824,0.06599049636805236,0.14012681501492313,0.20137246677202392,0.06089753781104051,0.017407628741755124,0.4516781561914869
Sample_799,0.12738214643931794,0.04513540621865597,0.17753259779338015,0.17452357071213642,0.19358074222668004,0.20661985957873621,0.07522567703109329,0.13012000452210368,0.039427166548072504,0.15499906615644718,0.17273367457339248,0.18854964242205272,0.22569260261880264,0.08122194735379965
Sample_148,0.29989969909729186,0.14844533600802406,0.02708124373119358,0.320962888665998,0.12938816449348045,0.04613841524573721,0.028084252758274825,0.2869856666262725,0.1696039827002434,0.021986140215993738,0.3158344076684062,0.12307587889513026,0.04240476462014522,0.01968256521715878
Sample_859,0.41708542713567837,0.21105527638190955,0.006030150753768844,0.13266331658291458,0.005025125628140704,0.04623115577889447,0.18190954773869347,0.39384974350539625,0.22450293668813986,0.008913697578692509,0.12312623078721498,0.006759656754620795,0.04389819523598252,0.19894953944995297
Sample_447,0.21464393179538616,0.3691073219658977,0.012036108324974924,0.11033099297893681,0.2246740220661986,0.05115346038114343,0.01805416248746239,0.20230433493557268,0.34370807108967827,0.018998938765624997,0.10159836147989901,0.22799801018538804,0.05568020884413055,0.017759360993126326
Sample_635,0.20783132530120482,0.001004016064257028,0.023092369477911646,0.07028112449799197,0.10943775100401607,0.5732931726907631,0.015060240963855422,0.21897421604393746,0.02437587196590273,0.02031928489967417,0.06554272619224703,0.10759021539573976,0.5374005802074548,0.015953853869337536
Sample_128,0.17853560682046138,0.3370110330992979,0.007021063189568706,0.44132397191574724,0.004012036108324975,0.024072216649949848,0.00802407221664995,0.17709628586563134,0.28003973510602537,0.012010067404423152,0.4340282605153501,0.010941544479952908,0.022931112319001544,0.016347496493695452
Sample_813,0.06018054162487462,0.058174523570712136,0.18856569709127383,0.08224674022066199,0.05115346038114343,0.5426278836509528,0.017051153460381142,0.0559208050874258,0.06963136943973773,0.1774012159307366,0.08523381458468303,0.057294688417035465,0.5349360249410904,0.019582081599291087
Sample_439,0.014042126379137413,0.4724172517552658,0.017051153460381142,0.041123370110330994,0.07823470411233702,0.3691073219658977,0.00802407221664995,0.017800484404912165,0.4608962934610494,0.020857659599907343,0.04636767660177751,0.07871127095275741,0.35936350022578045,0.016003114753815658
Sample_748,0.09939759036144578,0.06124497991967871,0.023092369477911646,0.4246987951807229,0.015060240963855422,0.12951807228915663,0.2469879518072289,0.09128131249818996,0.09713652536575096,0.02446384729818682,0.4268457345160439,0.016888853184539435,0.12478733896250849,0.21859638817478047
Sample_529,0.05923694779116466,0.3855421686746988,0.0,0.10040160642570281,0.3614457831325301,0.08132530120481928,0.012048192771084338,0.05477500792674702,0.36221325568056345,0.006107833686831551,0.10675117786804816,0.36128093556974705,0.07762627168913844,0.012550005750644402
Sample_559,0.22088353413654618,0.014056224899598393,0.028112449799196786,0.01104417670682731,0.2680722891566265,0.4327309236947791,0.025100401606425703,0.23901736211950345,0.022013055546821602,0.022085089070843802,0.010364839163972933,0.2680318426292423,0.41568002405854326,0.022807787411072644
Sample_593,0.24473420260782347,0.03811434302908726,0.024072216649949848,0.0732196589769308,0.12337011033099297,0.4704112337011033,0.026078234704112337,0.23822766280937224,0.059653299155779105,0.026105389707193546,0.0771655234683048,0.13034644385812663,0.4447702815531855,0.02373139944803822
Sample_500,0.14357429718875503,0.12449799196787148,0.001004016064257028,0.009036144578313253,0.3493975903614458,0.3514056224899598,0.02108433734939759,0.15181032342236372,0.1331418287695037,0.003976984245222256,0.010335347741380452,0.35004786447501707,0.33748193177570185,0.013205719570810782
Sample_506,0.6539618856569709,0.10732196589769308,0.014042126379137413,0.10932798395185557,0.08224674022066199,0.02106318956870612,0.012036108324974924,0.6122726834894824,0.09725470727600248,0.008133012694471076,0.1076298236826079,0.08165486267189626,0.02174783948652305,0.010119546012967266
Sample_46,0.0,0.2821285140562249,0.01706827309236948,0.1827309236947791,0.33032128514056225,0.1827309236947791,0.0050200803212851405,0.0032392117059158506,0.24469661091918735,0.015136265962391137,0.1822985958280942,0.3430018942608516,0.18474118985795576,0.014946819564107029
Sample_21,0.0,0.6012024048096193,0.006012024048096192,0.08917835671342686,0.21743486973947895,0.06613226452905811,0.02004008016032064,0.0030497286724736725,0.5539162980782179,0.012596299604755792,0.08524086180209023,0.2129322584730768,0.06504525945297673,0.02126412445769556
Sample_307,0.19779116465863453,0.2459839357429719,0.01104417670682731,0.12449799196787148,0.35943775100401604,0.04216867469879518,0.019076305220883535,0.1968295205576136,0.23670855273183036,0.012104650516260994,0.12742342871998613,0.3492330076011779,0.04647404070225186,0.01683271001862207
Sample_63,0.10631895687061184,0.3329989969909729,0.01805416248746239,0.2316950852557673,0.1905717151454363,0.1123370110330993,0.00802407221664995,0.11369706825250184,0.3138168628589188,0.019535398149235224,0.2326407231903492,0.19615121602469937,0.11536872355752552,0.008790007966770095
Sample_619,0.04212637913741224,0.08425275827482448,0.028084252758274825,0.0,0.35907723169508526,0.48144433299899697,0.0050150451354062184,0.0389515977960532,0.0839416792252145,0.024041986919399246,0.0029519615486460326,0.3702846289644769,0.46798398840990546,0.011844157136304429
Sample_796,0.35542168674698793,0.07329317269076305,0.20281124497991967,0.028112449799196786,0.21887550200803213,0.045180722891566265,0.07630522088353414,0.34926476969020526,0.07952005255945997,0.18051803474899492,0.032358202383133756,0.20645988013740127,0.056269107029991355,0.09560995345081345
Sample_106,0.11634904714142427,0.27181544633901705,0.009027081243731194,0.07622868605817452,0.5045135406218656,0.0,0.022066198595787363,0.12411800690517343,0.2629344550605598,0.006022296094416276,0.06896821152752944,0.4891137724670078,0.004895363319648711,0.0313065852356501
Sample_871,0.04909819639278557,0.06913827655310621,0.3286573146292585,0.12124248496993988,0.08316633266533066,0.24949899799599198,0.09919839679358718,0.047853444949467326,0.0550637016543649,0.33869106368548896,0.115540172951947,0.07845179965616207,0.266032792581528,0.09836702452104178
Sample_349,0.12738214643931794,0.33901705115346037,0.0020060180541624875,0.21464393179538616,0.05416248746238716,0.2567703109327984,0.006018054162487462,0.13501741047189178,0.31975803298683836,0.007057024444468851,0.20873905573632556,0.060601005684344254,0.25754126189362603,0.011286208782504947
Sample_483,0.18655967903711135,0.283851554663992,0.022066198595787363,0.11434302908726178,0.09929789368104312,0.2678034102306921,0.026078234704112337,0.19598053323389217,0.3002366099123618,0.01813851463874412,0.11048543119934194,0.10097776416827829,0.25590487591280686,0.018276270934574974
Sample_573,0.12951807228915663,0.14759036144578314,0.0,0.11244979919678715,0.49497991967871485,0.09437751004016064,0.02108433734939759,0.12370850966479298,0.1725889614948514,0.005724218493968721,0.105233555417628,0.47883990530487497,0.08558743407648285,0.02831741554740103
Sample_396,0.12550200803212852,0.49698795180722893,0.01104417670682731,0.12349397590361445,0.11646586345381527,0.09939759036144578,0.02710843373493976,0.12871606233079336,0.4867826044971221,0.015954367265799713,0.11353534875841396,0.12002845838697063,0.09739043351663797,0.02292905297594817
Sample_198,0.31763527054108215,0.5661322645290581,0.012024048096192385,0.07314629258517034,0.0,0.026052104208416832,0.00501002004008016,0.3125286607814328,0.557497009585079,0.011221149127400337,0.07344836254631927,0.004966940418195747,0.029368334159172265,0.010969543382400682
Sample_797,0.10140562248995984,0.31626506024096385,0.06224899598393574,0.23092369477911648,0.1536144578313253,0.11546184738955824,0.020080321285140562,0.11050413764537538,0.26019781642365425,0.06451803335626632,0.23995584843644088,0.15365730881738926,0.11249125975252389,0.022836971889405963
Sample_181,0.06820461384152457,0.0,0.02106318956870612,0.3119358074222668,0.36108324974924777,0.2246740220661986,0.013039117352056168,0.0731057820050333,0.008552285066718863,0.017222125892131467,0.2995897418677123,0.3615012246344941,0.22986384148248962,0.010164999051420235
Sample_270,0.10130391173520562,0.13440320962888666,0.028084252758274825,0.0802407221664995,0.3600802407221665,0.27883650952858574,0.017051153460381142,0.10281230039853065,0.15066751566737802,0.027387731810670564,0.07621990417494086,0.3491062129667478,0.2650183003620923,0.011591393756615085
Sample_520,0.023115577889447236,0.09849246231155778,0.0,0.8180904522613065,0.016080402010050253,0.023115577889447236,0.021105527638190954,0.031006234714056096,0.057842535761596,0.009642995776248924,0.7155157558982478,0.02518654090729555,0.025476682349437823,0.011432811619711334
Sample_511,0.03510531594784353,0.017051153460381142,0.014042126379137413,0.1584754262788365,0.07522567703109329,0.675025075225677,0.025075225677031094,0.03725131340074807,0.03395950790493137,0.011644990323542726,0.16657946027064588,0.07754495834771268,0.6269991342415142,0.02381452277684478
Sample_388,0.24473420260782347,0.10531594784353059,0.004012036108324975,0.041123370110330994,0.35005015045135407,0.2296890672016048,0.025075225677031094,0.2511153872334335,0.09415327966354262,0.008286143116390077,0.04214341280969381,0.3630411409564759,0.22124571717469416,0.020014919045769988
Sample_996,0.4172517552657974,0.01805416248746239,0.05616850551654965,0.08926780341023069,0.007021063189568706,0.05315947843530592,0.35907723169508526,0.41119952579176483,0.04452069867293988,0.059126421423491976,0.08962528188347728,0.008453686355223101,0.05619869032438843,0.33087569554871454
Sample_15,0.6930792377131394,0.0,0.0,0.020060180541624874,0.16549648946840523,0.10431293881644935,0.017051153460381142,0.6660941165028167,0.003335412335340826,0.005348586109847953,0.022823841093099272,0.16336298532785437,0.12058324959507136,0.018451809035969394
