,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.16666666666666666,0.05421686746987952,0.10040160642570281,0.04116465863453815,0.3152610441767068,0.2620481927710843,0.060240963855421686,0.1819794035158301,0.0594121666853126,0.10868090610269258,0.042567992805577166,0.30936403873661406,0.24787092348833503,0.050124568665638344
Sample_695,0.0030120481927710845,0.13453815261044177,0.4166666666666667,0.03112449799196787,0.2248995983935743,0.1746987951807229,0.015060240963855422,0.006953261511158364,0.11508213961799647,0.42776860523990945,0.03350180266429892,0.22162646541186728,0.18438346309845383,0.010684262456315674
Sample_799,0.060240963855421686,0.12751004016064257,0.006024096385542169,0.019076305220883535,0.2359437751004016,0.29518072289156627,0.2560240963855422,0.056157928522784985,0.1342690731843703,0.012999889709393133,0.017022409597702685,0.2267642360512162,0.2776223314575568,0.2751641314769758
Sample_148,0.4353059177532598,0.08224674022066199,0.02708124373119358,0.3420260782347041,0.0,0.08525576730190572,0.028084252758274825,0.4548546533519973,0.09701382785415338,0.023553001283664953,0.32422013238697495,0.0031970271661112496,0.07931729714279384,0.017844060814304237
Sample_859,0.060240963855421686,0.13253012048192772,0.013052208835341365,0.49899598393574296,0.27309236947791166,0.0030120481927710845,0.019076305220883535,0.061114358000047074,0.14393875205135945,0.012169496427344087,0.4944677798100925,0.26307677184299455,0.01137170199737236,0.01386113987078996
Sample_447,0.004016064257028112,0.10542168674698796,0.012048192771084338,0.29518072289156627,0.5632530120481928,0.002008032128514056,0.018072289156626505,0.0060137047082810475,0.09989754960606848,0.01024086274270118,0.3123527243442744,0.5412544651120639,0.009388347899704162,0.013667280267380972
Sample_635,0.07114228456913828,0.13527054108216433,0.023046092184368736,0.09819639278557114,0.4188376753507014,0.23847695390781562,0.01503006012024048,0.07370080338516083,0.1325471155926939,0.020786770962024772,0.095926997410066,0.42246636493924417,0.2411697542389623,0.013402193471848045
Sample_128,0.0,0.1213640922768305,0.007021063189568706,0.058174523570712136,0.3801404212637914,0.42527582748244735,0.00802407221664995,0.004207291158585333,0.11211489339282384,0.016241855095124016,0.05574758630943505,0.3797683584145072,0.42617434776220897,0.005745667867315618
Sample_813,0.2271356783919598,0.2562814070351759,0.2623115577889447,0.07738693467336684,0.03819095477386935,0.005025125628140704,0.13366834170854272,0.19728732730320023,0.2758962228743274,0.26516491151690885,0.08307048809791594,0.0442150688580368,0.01585994542867159,0.11850603592093908
Sample_439,0.3299899699097292,0.13139418254764293,0.017051153460381142,0.06118355065195587,0.1765295887662989,0.275827482447342,0.00802407221664995,0.343403690640891,0.10302066629124268,0.018942721522804667,0.06334087322322571,0.17167039483365887,0.2550604082674344,0.01034113604641802
Sample_748,0.015045135406218655,0.22567703109327983,0.02106318956870612,0.15747241725175526,0.1815446339017051,0.041123370110330994,0.35807422266800404,0.016847923858513348,0.24941703585239372,0.026407954958395225,0.16220572935050062,0.19003568612853464,0.039568483512649286,0.3138507435587716
Sample_529,0.3971915747241725,0.04914744232698094,0.0,0.04312938816449348,0.09528585757271815,0.40320962888665995,0.012036108324974924,0.39638209473037384,0.059623409672735744,0.004904012748503634,0.040365111996288325,0.09106087178474777,0.3914897272951971,0.016174771772153783
Sample_559,0.03313253012048193,0.7309236947791165,0.028112449799196786,0.0572289156626506,0.071285140562249,0.05421686746987952,0.025100401606425703,0.03757889136977223,0.683779844198379,0.03188880057189586,0.047239975757462145,0.0735328364903204,0.05050389394715909,0.04599931872622428
Sample_593,0.5371485943775101,0.13052208835341367,0.024096385542168676,0.1144578313253012,0.13453815261044177,0.03313253012048193,0.02610441767068273,0.50473582919073,0.09672084555069924,0.024016031121734647,0.11965617621334754,0.12385637149940705,0.031089366070341306,0.0221822811609764
Sample_500,0.11534603811434303,0.10832497492477432,0.0010030090270812437,0.5667001003009027,0.17953861584754263,0.00802407221664995,0.02106318956870612,0.11435160329205432,0.0898770948685861,0.008236376761003857,0.5537591275976275,0.1820430261390285,0.0187172907412827,0.019366371898896444
Sample_506,0.42613065326633165,0.04522613065326633,0.01407035175879397,0.4130653266331658,0.044221105527638194,0.04522613065326633,0.012060301507537688,0.4080500810352122,0.04065414889025052,0.014799089298952848,0.4038844662709404,0.034735480848046625,0.043058986506333455,0.017280513781427
Sample_46,0.2740963855421687,0.26907630522088355,0.01706827309236948,0.12248995983935743,0.22389558232931728,0.08835341365461848,0.0050200803212851405,0.2562162796479736,0.2621570541172527,0.011463891904980955,0.12317571527864267,0.2280753545560681,0.08931169534256064,0.010581483801265727
Sample_21,0.37011033099297896,0.28786359077231694,0.006018054162487462,0.07221664994984955,0.24373119358074222,0.0,0.020060180541624874,0.35258978288678,0.266014315391316,0.009200345356917036,0.07237619767833837,0.23565804035784174,0.003464654744605691,0.02682071772921717
Sample_307,0.14056224899598393,0.22690763052208834,0.01104417670682731,0.10943775100401607,0.3674698795180723,0.12550200803212852,0.019076305220883535,0.13024733253468632,0.23144201005681006,0.016431055519980663,0.1051829263987054,0.34833069424377483,0.11606745115283018,0.015911198576902645
Sample_63,0.10631895687061184,0.15045135406218657,0.01805416248746239,0.4633901705115346,0.10130391173520562,0.15245737211634905,0.00802407221664995,0.10633681973491155,0.10970159591047968,0.018642680344190032,0.4585622456451058,0.09489648010211471,0.15522225886594526,0.013052997399283395
Sample_619,0.23069207622868607,0.0732196589769308,0.028084252758274825,0.0010030090270812437,0.31795386158475425,0.3440320962888666,0.0050150451354062184,0.21507625798834196,0.06132043559135558,0.026814361496437646,0.005210018070822185,0.3314737737968176,0.35025441251961326,0.003975554743638806
Sample_796,0.11546184738955824,0.1746987951807229,0.02610441767068273,0.18674698795180722,0.08734939759036145,0.05421686746987952,0.35542168674698793,0.12121219819710666,0.1955776161059357,0.02457837850811365,0.19357832801775837,0.09021101169929456,0.05514364547052459,0.31969882200126626
Sample_106,0.0,0.32028112449799195,0.009036144578313253,0.04819277108433735,0.5471887550200804,0.05321285140562249,0.02208835341365462,0.0039986926550126065,0.3158912767734717,0.010960908161117137,0.05062654431506379,0.5477376238679793,0.05103769126883699,0.01974726295851845
Sample_871,0.34704112337011034,0.003009027081243731,0.3229689067201605,0.10431293881644935,0.03610832497492478,0.1534603811434303,0.033099297893681046,0.36416460524019323,0.014697538030439107,0.3028252598528944,0.1038710416989969,0.04363587453585346,0.14864515509865783,0.022160525542965173
Sample_349,0.08634538152610442,0.06325301204819277,0.002008032128514056,0.3092369477911647,0.006024096385542169,0.5271084337349398,0.006024096385542169,0.08097551967494684,0.06543410357561553,0.009149004589464852,0.3103679001315852,0.007837246931401701,0.5183812200829013,0.007855005014084445
