,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.020080321285140562,0.01104417670682731,0.5040160642570282,0.0030120481927710845,0.1746987951807229,0.12751004016064257,0.15963855421686746,0.02401359015878709,0.02382756104165209,0.4621054811861064,0.0030613724945343997,0.17264723502151694,0.1349405467825237,0.1794042133148794
Sample_695,0.24899598393574296,0.2660642570281124,0.05220883534136546,0.1395582329317269,0.008032128514056224,0.2520080321285141,0.03313253012048193,0.2521370335190919,0.23671333844072842,0.0646745988306563,0.14805233665892248,0.007083970885149802,0.24549981543979013,0.0341426137034523
Sample_799,0.2821285140562249,0.10140562248995984,0.0050200803212851405,0.17971887550200802,0.3132530120481928,0.0783132530120482,0.040160642570281124,0.26107357294137007,0.08650387703317568,0.01029061901831745,0.18567533802184255,0.30664708887577374,0.06711901798779912,0.030025626581907026
Sample_148,0.04012036108324975,0.3550651955867603,0.02708124373119358,0.04212637913741224,0.47342026078234706,0.034102306920762285,0.028084252758274825,0.038056781204240074,0.31141408505523266,0.03010536579691919,0.045949458976065984,0.4281484480119075,0.0323593569596773,0.01913945061948593
Sample_859,0.3256513026052104,0.07214428857715431,0.15430861723446893,0.218436873747495,0.09118236472945891,0.12024048096192384,0.018036072144288578,0.32793150851977765,0.08363059720966427,0.15796503344712703,0.21643338809946022,0.0783981102489471,0.11683413095231625,0.01880723152270759
Sample_447,0.19759277833500502,0.11434302908726178,0.012036108324974924,0.44132397191574724,0.03610832497492478,0.18054162487462388,0.01805416248746239,0.19679578883661444,0.08775709059264147,0.012043407744285046,0.4447924547619677,0.033455800520922556,0.1788505994515793,0.011772565524719033
Sample_635,0.286144578313253,0.03313253012048193,0.023092369477911646,0.030120481927710843,0.5471887550200804,0.06526104417670683,0.015060240963855422,0.27798827564865464,0.0368343192741754,0.02217719619108538,0.028501989867564147,0.5342519351531225,0.0677797985921343,0.010691105143016879
Sample_128,0.18254764292878636,0.13139418254764293,0.007021063189568706,0.2337011033099298,0.0,0.4373119358074223,0.00802407221664995,0.16886551641621317,0.1258121452443195,0.010183970855175918,0.23371721936376078,0.007488149856243465,0.44377077586486874,0.01016222239941845
Sample_813,0.31155778894472363,0.0592964824120603,0.3246231155778894,0.18592964824120603,0.011055276381909548,0.019095477386934675,0.08844221105527639,0.31485605966883207,0.054757667891083224,0.28816713355735607,0.19149622680469908,0.009075745301638214,0.024961369729527595,0.09725755314627638
Sample_439,0.2337011033099298,0.4062186559679037,0.017051153460381142,0.18455366098294884,0.022066198595787363,0.1283851554663992,0.00802407221664995,0.2353896796160707,0.42353004620962326,0.005320110779374507,0.17951481526851273,0.019447556394705055,0.1255021403883219,0.011295651343391808
Sample_748,0.37650602409638556,0.19176706827309237,0.04216867469879518,0.04116465863453815,0.03614457831325301,0.2971887550200803,0.015060240963855422,0.3801329844620693,0.19904060773975873,0.027699348329854958,0.038822747049212875,0.04109070681063248,0.300423319338361,0.010010804039408377
Sample_529,0.24373119358074222,0.6148445336008024,0.0,0.026078234704112337,0.06118355065195587,0.04212637913741224,0.012036108324974924,0.23083617969276907,0.6210411295975383,0.002994107665391301,0.029302313919025717,0.0552947725084327,0.04334506798483223,0.017186428632010826
Sample_559,0.39095477386934674,0.06532663316582915,0.02814070351758794,0.13768844221105528,0.22110552763819097,0.13165829145728644,0.02512562814070352,0.39097307350309,0.05414633687839985,0.029415575654008062,0.14297025021346635,0.21311967314469876,0.13913711993250985,0.030237970673827243
Sample_593,0.0732196589769308,0.12637913741223672,0.024072216649949848,0.37612838515546637,0.041123370110330994,0.3329989969909729,0.026078234704112337,0.0776369263878052,0.15542351192389642,0.017636174854223897,0.3555425336480983,0.03468223417345451,0.32512438762204643,0.025443361267145977
Sample_500,0.18236472945891782,0.2374749498997996,0.001002004008016032,0.09519038076152304,0.16933867735470942,0.2935871743486974,0.021042084168336674,0.17947023701410073,0.2343232938765697,0.0031717791817346434,0.09350973905905016,0.16624728478530207,0.2912915696368608,0.02000151936098395
Sample_506,0.35642570281124497,0.3273092369477912,0.014056224899598393,0.1576305220883534,0.07630522088353414,0.05622489959839357,0.012048192771084338,0.3653642151873342,0.31895738322036815,0.021684797299414547,0.149687031654784,0.06994121530627546,0.0559292792762697,0.018436078055554007
Sample_46,0.0,0.8595787362086259,0.017051153460381142,0.037111334002006016,0.034102306920762285,0.04714142427281846,0.0050150451354062184,0.00364112924221647,0.7728051140547112,0.02383651558921379,0.045488209953049606,0.03341313624630309,0.04281122359134801,0.014628397693880016
Sample_21,0.2781124497991968,0.28313253012048195,0.006024096385542169,0.06726907630522089,0.2389558232931727,0.10642570281124498,0.020080321285140562,0.2811544790147205,0.2866736745784442,0.006246801264731002,0.06455498629628856,0.22894121426971886,0.10558423926227671,0.0173585377666212
Sample_307,0.0802407221664995,0.5215646940822467,0.011033099297893681,0.3119358074222668,0.0010030090270812437,0.055165496489468405,0.01905717151454363,0.08294209643968777,0.5010587137531068,0.013906258063413534,0.3024580765018531,0.006503174043093307,0.05753929915204488,0.03559238204680066
Sample_63,0.0,0.07028112449799197,0.018072289156626505,0.32228915662650603,0.30220883534136544,0.2791164658634538,0.008032128514056224,0.0033363601360457164,0.062253077870333594,0.022022601265857818,0.3145047276445555,0.3051390564264705,0.2772867794170963,0.015457397239640744
Sample_619,0.39117352056168503,0.12437311935807423,0.028084252758274825,0.055165496489468405,0.010030090270812437,0.38615847542627885,0.0050150451354062184,0.38972306832817044,0.11529569213489634,0.021192019904352707,0.05101683412832294,0.009216447572239824,0.3903248131549046,0.008726969624908144
Sample_796,0.12951807228915663,0.4387550200803213,0.09538152610441768,0.0572289156626506,0.04317269076305221,0.11345381526104417,0.12248995983935743,0.1260175652806758,0.4209755328816159,0.09996610801062318,0.05996141278296908,0.03631183322529023,0.11209034800954124,0.14467719980928465
Sample_106,0.015060240963855422,0.7841365461847389,0.009036144578313253,0.015060240963855422,0.15461847389558234,0.0,0.02208835341365462,0.015622700986750154,0.7123902504106704,0.01724914888805922,0.016538121025247828,0.14816588819414558,0.0045110998470403564,0.03918336140773488
Sample_871,0.30220883534136544,0.02610441767068273,0.06726907630522089,0.0572289156626506,0.28112449799196787,0.19578313253012047,0.07028112449799197,0.2912282052515495,0.041202915795391655,0.0764757000833342,0.0638074864115026,0.2614524040288912,0.1904658762105612,0.07536741221876954
Sample_349,0.3457286432160804,0.011055276381909548,0.0020100502512562816,0.49246231155778897,0.06030150753768844,0.08241206030150754,0.006030150753768844,0.35063702098642374,0.011438408778470181,0.0037225081523858893,0.47225485515200527,0.0723891726724173,0.08187002935822335,0.007688004900074175
