,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.05220883534136546,0.2540160642570281,0.25,0.02710843373493976,0.11947791164658635,0.24497991967871485,0.05220883534136546,0.05727265268723657,0.27467660370361485,0.25208861163205565,0.029348983043469033,0.11211909027258235,0.23299489574940088,0.04149916291164064
Sample_695,0.2768304914744233,0.0020060180541624875,0.21865596790371114,0.16950852557673018,0.275827482447342,0.009027081243731194,0.048144433299899696,0.289608462135434,0.014369296392889072,0.19375560601684694,0.16849685206108586,0.2767614691892487,0.011345778229271002,0.029337603345783923
Sample_799,0.07429718875502007,0.05823293172690763,0.2540160642570281,0.14357429718875503,0.023092369477911646,0.4036144578313253,0.04317269076305221,0.07274292082286084,0.05608265658366758,0.26127533355450117,0.14563576757989607,0.024548291647099083,0.385626272976411,0.054088756835564085
Sample_148,0.01805416248746239,0.160481444332999,0.02708124373119358,0.0,0.600802407221665,0.16549648946840523,0.028084252758274825,0.022094114163070975,0.18595015314921695,0.029739161840380505,0.0028717397701729062,0.5812282280569365,0.1584036386118271,0.01971296440839499
Sample_859,0.0050200803212851405,0.12048192771084337,0.33032128514056225,0.09538152610441768,0.33232931726907633,0.07630522088353414,0.040160642570281124,0.008620167830944301,0.13195253671497337,0.29302821471094853,0.09594655601094082,0.3379272636304128,0.07386991479757254,0.02039955289464381
Sample_447,0.020060180541624874,0.7251755265797393,0.012036108324974924,0.0050150451354062184,0.13640922768304914,0.08324974924774323,0.01805416248746239,0.026532791138156892,0.6654957712857494,0.00682789489240593,0.008273414798798878,0.13679374605767056,0.0877402925921144,0.0320126379105686
Sample_635,0.343687374749499,0.1623246492985972,0.023046092184368736,0.21342685370741482,0.18637274549098196,0.056112224448897796,0.01503006012024048,0.3380204981107255,0.14095351946278917,0.02004884695223386,0.20633148888657746,0.18668090235734616,0.06745854748183334,0.013269060972585234
Sample_128,0.2768304914744233,0.160481444332999,0.007021063189568706,0.00802407221664995,0.06318956870611836,0.4764292878635908,0.00802407221664995,0.27008941622325827,0.15430156991302654,0.011569047926045746,0.008917693453687158,0.06248531056846309,0.47729279675852393,0.015344165156995042
Sample_813,0.41624874623871616,0.30190571715145437,0.0160481444332999,0.15045135406218657,0.06118355065195587,0.0050150451354062184,0.04914744232698094,0.4343287107531628,0.2992623612573666,0.008733971080203743,0.15605861084657638,0.06400452898035121,0.00489971772592442,0.032712099356414955
Sample_439,0.14056224899598393,0.22188755020080322,0.01706827309236948,0.39357429718875503,0.19578313253012047,0.023092369477911646,0.008032128514056224,0.14906049919604403,0.20463260735225425,0.022021225130978882,0.4016528212515161,0.19661181400134856,0.01931093898511131,0.00671009408274668
Sample_748,0.045090180360721446,0.11022044088176353,0.19238476953907815,0.24348697394789579,0.03807615230460922,0.3376753507014028,0.033066132264529056,0.043532643535563784,0.10585520623175258,0.19352916414948107,0.24290489449917418,0.03974271667342788,0.34221560141891416,0.032219773491686414
Sample_529,0.16649949849548645,0.440320962888666,0.0,0.09528585757271815,0.13039117352056168,0.15546639919759278,0.012036108324974924,0.14697720870150172,0.3961687548221843,0.004437870487387046,0.08349600327986638,0.12473821120178336,0.1609103526952213,0.012320859710045462
Sample_559,0.01706827309236948,0.5883534136546185,0.028112449799196786,0.17269076305220885,0.029116465863453816,0.1395582329317269,0.025100401606425703,0.021915258893694084,0.5760713233137331,0.022659168671672798,0.1616298518695424,0.031920412346637256,0.1448052238953163,0.040998761009403986
Sample_593,0.033099297893681046,0.08224674022066199,0.024072216649949848,0.4242728184553661,0.3640922768304915,0.04613841524573721,0.026078234704112337,0.03738668522541022,0.07895040675386943,0.02054454643753277,0.43625997729760085,0.3599793999306798,0.041521215872413954,0.025357768482492993
Sample_500,0.09929789368104312,0.21163490471414242,0.0010030090270812437,0.5255767301905717,0.1334002006018054,0.00802407221664995,0.02106318956870612,0.09911601637432692,0.21545475616137727,0.010021084951895768,0.5099857238043675,0.14245818412502861,0.009994927127634064,0.012969307455369816
Sample_506,0.19879518072289157,0.10642570281124498,0.014056224899598393,0.05823293172690763,0.11546184738955824,0.49497991967871485,0.012048192771084338,0.19407353377380007,0.08642180657017473,0.01755855714977378,0.05622906353913627,0.10840742560001217,0.48547713852055074,0.009075569666193571
Sample_46,0.36472945891783565,0.13527054108216433,0.017034068136272545,0.11723446893787576,0.36072144288577157,0.0,0.00501002004008016,0.35329015223081883,0.13430451236732704,0.016885850109079188,0.11542456377067999,0.32893577628878323,0.0071827750759851485,0.0113957342093528
Sample_21,0.5055055055055055,0.055055055055055056,0.006006006006006006,0.14414414414414414,0.0,0.26926926926926925,0.02002002002002002,0.4868605027964142,0.06974465912155511,0.009901842434340745,0.15841218454939823,0.0038942877586461686,0.2563997324989549,0.014786790840690829
Sample_307,0.2781124497991968,0.09738955823293173,0.01104417670682731,0.14457831325301204,0.1857429718875502,0.2640562248995984,0.019076305220883535,0.2734312099754925,0.11070068038231366,0.01797902168581414,0.13968282440442423,0.1684629206819255,0.259207709232306,0.016899476836875135
Sample_63,0.4543630892678034,0.27883650952858574,0.01805416248746239,0.006018054162487462,0.003009027081243731,0.2316950852557673,0.00802407221664995,0.42480494280602493,0.3154276119382703,0.023619768418330286,0.003175567591772847,0.0052441751676946344,0.22372332977757936,0.004004604300327686
Sample_619,0.12550200803212852,0.5903614457831325,0.028112449799196786,0.0893574297188755,0.07630522088353414,0.0853413654618474,0.0050200803212851405,0.11860841249427606,0.5773886888462603,0.02112643906155737,0.09035140087286568,0.08170833588523502,0.09570150799704097,0.01511521484276459
Sample_796,0.1676706827309237,0.024096385542168676,0.22088353413654618,0.1144578313253012,0.4467871485943775,0.0050200803212851405,0.02108433734939759,0.16395516172294727,0.0336388201835045,0.20817425350781854,0.11098670170067175,0.4455770975348377,0.012083096295190787,0.014716317014018186
Sample_106,0.11334002006018054,0.04613841524573721,0.009027081243731194,0.12637913741223672,0.5045135406218656,0.17853560682046138,0.022066198595787363,0.11647235038588358,0.05550854793589746,0.007507189318937802,0.12971272922847335,0.5037014898021721,0.16965180783675407,0.017445885491881606
Sample_871,0.08743718592964825,0.2804020100502513,0.35678391959798994,0.01407035175879397,0.01407035175879397,0.13869346733668342,0.10854271356783919,0.07678657824482851,0.2890781174274709,0.33208332041890815,0.009372977140765355,0.014049650089814012,0.13287555099829013,0.1457538056799229
Sample_349,0.024072216649949848,0.21263791374122368,0.0020060180541624875,0.20561685055165496,0.04012036108324975,0.5095285857572718,0.006018054162487462,0.026353823963772272,0.19423151243470452,0.007561284046985048,0.199993337655344,0.03541352506476498,0.48600406997189816,0.009476194049808657
Sample_483,0.7935871743486974,0.031062124248496994,0.022044088176352707,0.004008016032064128,0.09418837675350701,0.02905811623246493,0.026052104208416832,0.7012395647417184,0.054564349960283934,0.02506737980234128,0.005550196415311125,0.08711897231564746,0.030686392319815306,0.023711000550588095
Sample_573,0.06224899598393574,0.01706827309236948,0.0,0.006024096385542169,0.8142570281124498,0.07931726907630522,0.02108433734939759,0.06026758685542272,0.026593352045823047,0.006534119653231628,0.01444534449482897,0.6913993637942675,0.08722951174332931,0.029661176239817517
Sample_396,0.05917753259779338,0.04613841524573721,0.011033099297893681,0.20762286860581744,0.0712136409227683,0.5777331995987964,0.02708124373119358,0.06378205428702789,0.057277494543456466,0.014920376561497507,0.20855428884384167,0.07332544176002999,0.549022316374299,0.02401341548079218
Sample_198,0.19257773319959878,0.0,0.012036108324974924,0.05215646940822467,0.24072216649949849,0.4974924774322969,0.0050150451354062184,0.19974319844550223,0.005560096465126723,0.013345039954379684,0.043566100491671124,0.23518000464658906,0.45917409806180326,0.005417993838737048
Sample_797,0.21263791374122368,0.07622868605817452,0.1675025075225677,0.06519558676028084,0.09127382146439318,0.09327983951855567,0.2938816449348044,0.23584413722170489,0.05313475034972369,0.16915732961299085,0.06516330740278778,0.08611938177996586,0.09957066054089592,0.29101043309193103
Sample_181,0.1576305220883534,0.09738955823293173,0.02108433734939759,0.0,0.31827309236947793,0.392570281124498,0.013052208835341365,0.15299819254396288,0.08133854331470747,0.019227625054080717,0.002942382743205542,0.32991444827094785,0.38809574577582434,0.017730705449050227
Sample_270,0.008032128514056224,0.03112449799196787,0.028112449799196786,0.6375502008032129,0.25502008032128515,0.023092369477911646,0.01706827309236948,0.010304638825262412,0.03905988006564555,0.02026186929245974,0.6238959887515129,0.23669812202280688,0.02383650823952807,0.008952704836153735
Sample_520,0.014056224899598393,0.11244979919678715,0.0,0.1214859437751004,0.4568273092369478,0.2740963855421687,0.02108433734939759,0.013117522207913812,0.10209730278727802,0.004539602743239404,0.12268015909119456,0.4457794202579001,0.27158808626826,0.012763303166216024
Sample_511,0.4684052156469408,0.07923771313941826,0.014042126379137413,0.044132397191574725,0.3520561685055166,0.017051153460381142,0.025075225677031094,0.4552192157491303,0.10120511158364773,0.016408140778456023,0.038506796917019866,0.344836354798591,0.018982613635026298,0.024841766538128723
Sample_388,0.3112449799196787,0.13755020080321284,0.004016064257028112,0.060240963855421686,0.19578313253012047,0.2660642570281124,0.025100401606425703,0.31237639971283865,0.15096442203283508,0.005269552128911457,0.05127515227231472,0.19820784666168215,0.23575200195397977,0.022875575947239216
Sample_996,0.018036072144288578,0.17034068136272545,0.011022044088176353,0.34468937875751504,0.19839679358717435,0.17034068136272545,0.0871743486973948,0.020055888210883974,0.16305448376423787,0.009390737403400566,0.3553123506055854,0.1912027078218581,0.15694637695621036,0.10403745523782387
Sample_15,0.17352056168505517,0.0,0.0,0.2136409227683049,0.5777331995987964,0.01805416248746239,0.017051153460381142,0.1860164050301898,0.008148698902529384,0.008206286166951751,0.21039203009723706,0.548214194768323,0.017517156065074053,0.021505228969694996
Sample_842,0.27710843373493976,0.07630522088353414,0.1676706827309237,0.020080321285140562,0.3002008032128514,0.12248995983935743,0.03614457831325301,0.2974100933927065,0.07580279123548861,0.191146411198644,0.01633289854157586,0.28896484596916705,0.11291151462110187,0.017431445041316045
Sample_485,0.1123370110330993,0.5606820461384152,0.029087261785356068,0.10431293881644935,0.08726178535606821,0.09127382146439318,0.015045135406218655,0.11389242142637172,0.5510049352119399,0.02209050325688475,0.10481275707434129,0.08326163562170415,0.09938187395465664,0.013910500242492956
Sample_608,0.025100401606425703,0.08333333333333333,0.029116465863453816,0.21686746987951808,0.4598393574297189,0.1686746987951807,0.01706827309236948,0.023334935365070548,0.09728482052481888,0.027815523016593298,0.221717238058877,0.4306734717015981,0.17656753442876746,0.017789041831129237
Sample_312,0.015060240963855422,0.09136546184738956,0.010040160642570281,0.5100401606425703,0.19377510040160642,0.15963855421686746,0.020080321285140562,0.014168994418760551,0.05207716169551806,0.013909172744519544,0.49712992096156944,0.19621110285543622,0.16099074433393074,0.018768260320233113
Sample_121,0.09939759036144578,0.0,0.01606425702811245,0.12951807228915663,0.6244979919678715,0.11947791164658635,0.01104417670682731,0.09391786259711138,0.012747965081610602,0.013485037769967312,0.1275516532484946,0.6151694123988448,0.11729800874172533,0.010202526916266462
Sample_558,0.0320962888665998,0.4744232698094283,0.0160481444332999,0.05616850551654965,0.23671013039117353,0.160481444332999,0.024072216649949848,0.029650977577089656,0.4451394109546615,0.01987502248321423,0.05978572301528715,0.24228589388097768,0.14402343906178725,0.022762365552062975
Sample_850,0.12763819095477386,0.09447236180904522,0.13768844221105528,0.021105527638190954,0.05025125628140704,0.06633165829145729,0.5025125628140703,0.12495331302604859,0.15825606840979412,0.14510563473414853,0.027797032011823024,0.059468461200886925,0.07997719124834032,0.4044422993689585
Sample_887,0.16549648946840523,0.10932798395185557,0.06519558676028084,0.09729187562688064,0.0020060180541624875,0.09829488465396188,0.46238716148445336,0.17533418377497526,0.10409971612981558,0.08973345395702555,0.10812933994787426,0.0027010016908936697,0.127277361150632,0.3927249433487837
Sample_267,0.160481444332999,0.15245737211634905,0.020060180541624874,0.04212637913741224,0.19658976930792377,0.4082246740220662,0.020060180541624874,0.13967886455513712,0.16049821657473523,0.01708602680525939,0.038235504889410174,0.2012032819964263,0.39916015116722225,0.018479814131706383
Sample_798,0.4046184738955823,0.29819277108433734,0.06224899598393574,0.06325301204819277,0.02610441767068273,0.11144578313253012,0.03413654618473896,0.4154158275119735,0.27846205383119205,0.071875983443939,0.0680200019211494,0.024883579198505725,0.1044492750612528,0.03689327903198769
Sample_329,0.05923694779116466,0.01706827309236948,0.0030120481927710845,0.39156626506024095,0.22289156626506024,0.28112449799196787,0.025100401606425703,0.06396206722462705,0.03224671016316055,0.00828099251839204,0.3837300269156689,0.20417802523019957,0.2664837479815313,0.016856543212912304
Sample_604,0.08132530120481928,0.05823293172690763,0.024096385542168676,0.05120481927710843,0.6104417670682731,0.15060240963855423,0.024096385542168676,0.08352169713785877,0.06359726217984533,0.020947918425251323,0.05287156149789879,0.6089959769264109,0.15135422412726776,0.018711359705467074
Sample_496,0.11847389558232932,0.012048192771084338,0.015060240963855422,0.22690763052208834,0.5020080321285141,0.12349397590361445,0.002008032128514056,0.10632055352328851,0.021737722644799083,0.017463521587699274,0.23676617850968784,0.4949395230814191,0.11683361209692249,0.005938888556183619
Sample_865,0.16265060240963855,0.05321285140562249,0.23694779116465864,0.12349397590361445,0.21285140562248997,0.028112449799196786,0.1827309236947791,0.16582501490205692,0.04349817042163721,0.2517321584267383,0.12424991125635934,0.227870111316754,0.03302291800567318,0.14632747119723685
Sample_392,0.18856569709127383,0.31995987963891676,0.012036108324974924,0.25275827482447344,0.04513540621865597,0.17953861584754263,0.0020060180541624875,0.16740810289027583,0.3080180115253797,0.01676665591653983,0.2531682042071213,0.048739911902404925,0.19590490369853555,0.009994209859742696
Sample_816,0.2818455366098295,0.03911735205616851,0.003009027081243731,0.05616850551654965,0.08124373119358075,0.11033099297893681,0.4282848545636911,0.31611644595282495,0.03348186587241176,0.006822169453697675,0.06690631034067342,0.08584279047855883,0.11132218092057315,0.3497012909203588
Sample_59,0.004012036108324975,0.4242728184553661,0.028084252758274825,0.22166499498495487,0.3069207622868606,0.0,0.015045135406218655,0.007926836384058954,0.40372539738315527,0.01843732852721982,0.22986382299192867,0.3224648879906679,0.004964609767339535,0.012617116955629875
Sample_144,0.38615847542627885,0.2246740220661986,0.024072216649949848,0.2778335005015045,0.08324974924774323,0.0,0.004012036108324975,0.3675312872444855,0.24561337482647852,0.02335554050621522,0.26425030864314614,0.08414214602736872,0.006575682170451122,0.008531660581854748
Sample_201,0.04317269076305221,0.009036144578313253,0.009036144578313253,0.6234939759036144,0.2660642570281124,0.03614457831325301,0.013052208835341365,0.04399252398820584,0.020245217078264467,0.00969700363177233,0.6014194510984194,0.26162506047942924,0.03497758661959874,0.008980523129295294
Sample_645,0.06720160481444333,0.05115346038114343,0.0,0.5977933801404213,0.2156469408224674,0.05717151454363089,0.011033099297893681,0.057916378257605525,0.03148207816156462,0.009931732037922754,0.6173482104255051,0.20892919196101026,0.050116424114784314,0.011898988130884634
Sample_515,0.09136546184738956,0.12650602409638553,0.02108433734939759,0.3865461847389558,0.14457831325301204,0.20180722891566266,0.028112449799196786,0.07499465797610635,0.12234247107147804,0.02358050671835188,0.3776742381582374,0.14686932587854537,0.19774272162535791,0.022378351764245397
