,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.13855421686746988,0.06626506024096386,0.05321285140562249,0.2359437751004016,0.2560240963855422,0.22690763052208834,0.023092369477911646,0.14911078306133105,0.04631837281323466,0.06276238302771761,0.21571132901133824,0.26443414237488466,0.21673649184888624,0.016493959915175126
Sample_695,0.43775100401606426,0.1144578313253012,0.05120481927710843,0.11546184738955824,0.18473895582329317,0.008032128514056224,0.08835341365461848,0.41782413996012124,0.11951494196667856,0.05148061298440842,0.10982866509755847,0.19093463419209247,0.013268382003122834,0.0748197915646378
Sample_799,0.14558232931726908,0.16666666666666666,0.21385542168674698,0.28714859437751006,0.0030120481927710845,0.15863453815261044,0.025100401606425703,0.13913005238421294,0.13999986483182508,0.22226255302349637,0.2783924661810071,0.008269745764088744,0.16419446216466296,0.027883409311510777
Sample_148,0.24674022066198595,0.10732196589769308,0.02708124373119358,0.28786359077231694,0.06720160481444333,0.23570712136409228,0.028084252758274825,0.2653661077090436,0.08620487491321263,0.02244690741116819,0.3002192671950398,0.06612649861345572,0.23603404957077423,0.023602294587305797
Sample_859,0.2321608040201005,0.14271356783919598,0.08040201005025126,0.1728643216080402,0.24623115577889448,0.054271356783919596,0.07135678391959799,0.2175014488427463,0.17551622011875395,0.07155581962939572,0.17025192293336724,0.24980557006755785,0.04421288810716101,0.04822061505770839
Sample_447,0.23417085427135678,0.20301507537688443,0.012060301507537688,0.15678391959798996,0.33668341708542715,0.03919597989949749,0.018090452261306532,0.22166501314650122,0.1757581827946859,0.0086844855902758,0.1554792852396935,0.3328644927155665,0.03180285158480567,0.016028085254165048
Sample_635,0.26078234704112335,0.07823470411233702,0.023069207622868605,0.3600802407221665,0.05115346038114343,0.21163490471414242,0.015045135406218655,0.2651527679098046,0.07327294858995234,0.022442175937762987,0.3439945949602668,0.06051534469798401,0.20197668740183722,0.016920497711648917
Sample_128,0.0,0.1495983935742972,0.007028112449799197,0.35642570281124497,0.0823293172690763,0.3965863453815261,0.008032128514056224,0.004367275045837355,0.12074127227632839,0.008488334569135465,0.35841618692423943,0.08519438169325286,0.37909447454068995,0.010800516357073875
Sample_813,0.018072289156626505,0.2520080321285141,0.10642570281124498,0.07028112449799197,0.01104417670682731,0.05823293172690763,0.4839357429718876,0.023516394299085305,0.289359402023784,0.09574573054754121,0.07273561692926177,0.012942714161148278,0.05708273906283703,0.44861740297634234
Sample_439,0.17185929648241205,0.1507537688442211,0.017085427135678392,0.14472361809045226,0.062311557788944726,0.4452261306532663,0.008040201005025126,0.16585096581781034,0.13342745883571497,0.017842036027936437,0.15076475894089325,0.06461942842020282,0.44870036814668407,0.018794983810758236
Sample_748,0.017051153460381142,0.25075225677031093,0.031093279839518557,0.21263791374122368,0.034102306920762285,0.02106318956870612,0.43329989969909727,0.028036803007755816,0.2855980309694896,0.02882034568974773,0.22511325331770543,0.03579777920473586,0.020010337603441994,0.37662345020712346
Sample_529,0.07221664994984955,0.6659979939819458,0.0,0.11334002006018054,0.04613841524573721,0.09027081243731194,0.012036108324974924,0.08385492742190899,0.6444555560814198,0.011090611703879547,0.10578617463256956,0.042517125965295915,0.0825877165300972,0.017398761452610555
Sample_559,0.14156626506024098,0.32429718875502006,0.028112449799196786,0.37751004016064255,0.07028112449799197,0.03313253012048193,0.025100401606425703,0.1394176847780265,0.3401303771570379,0.02557024708289597,0.3545423669999435,0.0756327396740109,0.033194047033199454,0.01599046576023851
Sample_593,0.3430290872617854,0.055165496489468405,0.024072216649949848,0.031093279839518557,0.2337011033099298,0.2868605817452357,0.026078234704112337,0.34645787124307237,0.04642959514157865,0.022621563285031402,0.033913374287497786,0.2530929242213169,0.28247237271496783,0.015012299106535041
Sample_500,0.3413654618473896,0.10943775100401607,0.001004016064257028,0.2971887550200803,0.006024096385542169,0.22389558232931728,0.02108433734939759,0.3518477652645302,0.08896460142689404,0.004264993743100198,0.29821311151557234,0.003603243185902234,0.2221701561666884,0.024686265196968257
Sample_506,0.27710843373493976,0.018072289156626505,0.014056224899598393,0.5281124497991968,0.0853413654618474,0.06526104417670683,0.012048192771084338,0.27055237381870506,0.016952753737503816,0.014593373311284392,0.5450387222686818,0.07952575834705237,0.061527480155850515,0.011809538360922099
Sample_46,0.05917753259779338,0.0,0.017051153460381142,0.11033099297893681,0.2246740220661986,0.5837512537612839,0.0050150451354062184,0.059106557484757294,0.0035785281916439326,0.018914674044821937,0.11701671248116165,0.22780471230191218,0.5613737370050126,0.005104656403706878
Sample_21,0.04513540621865597,0.06720160481444333,0.006018054162487462,0.18254764292878636,0.05015045135406219,0.6288866599799399,0.020060180541624874,0.05415656767110541,0.06279614792832769,0.013840513828554108,0.19348479743769645,0.05086265226428311,0.5811586400426331,0.014704208763826745
Sample_307,0.06619859578736209,0.04212637913741224,0.011033099297893681,0.4463390170511535,0.33901705115346037,0.07622868605817452,0.01905717151454363,0.07556239138236062,0.05682733356469497,0.006930317851007918,0.4265531077518071,0.35269502280905474,0.06641323043293944,0.015018596208135055
Sample_63,0.09236947791164658,0.06325301204819277,0.018072289156626505,0.5522088353413654,0.24799196787148595,0.018072289156626505,0.008032128514056224,0.08775834842839023,0.039369297248016855,0.017018975934180353,0.5289839178213849,0.24993439971152207,0.016227750780988558,0.011604362304121957
Sample_619,0.034170854271356785,0.5296482412060302,0.02814070351758794,0.01306532663316583,0.16884422110552763,0.22110552763819097,0.005025125628140704,0.039013093556075185,0.48985362801000526,0.025836597856269173,0.014799101088215347,0.167325066524065,0.21105295645919353,0.006371913539891107
Sample_796,0.2928786359077232,0.1464393179538616,0.05315947843530592,0.238716148445336,0.03811434302908726,0.20361083249749248,0.02708124373119358,0.2973779337141802,0.1251173869459103,0.05321135964392048,0.21698382585847162,0.040756582276891475,0.19983014372762206,0.018678487142577888
Sample_106,0.2226680040120361,0.567703109327984,0.009027081243731194,0.17352056168505517,0.0,0.0050150451354062184,0.022066198595787363,0.2054655470553152,0.525242848332983,0.010909271373198665,0.1748021498485422,0.003988394136825359,0.006907262722725919,0.07268452653040972
Sample_871,0.13941825476429287,0.07221664994984955,0.21063189568706117,0.0641925777331996,0.34804413239719156,0.013039117352056168,0.15245737211634905,0.1403417809627532,0.07707798498024995,0.21107094302123627,0.06261661498507612,0.31626069068273593,0.020833881374423845,0.17179810399352458
Sample_349,0.49147442326980945,0.18856569709127383,0.0020060180541624875,0.05717151454363089,0.24473420260782347,0.010030090270812437,0.006018054162487462,0.44623075589772226,0.21322007335321128,0.0045283798197339985,0.05837226922524032,0.24341487750744928,0.010311696873717215,0.00794807599047013
Sample_483,0.25551102204408815,0.531062124248497,0.022044088176352707,0.009018036072144289,0.11623246492985972,0.04008016032064128,0.026052104208416832,0.2738931944936546,0.46016899316886267,0.02279297156340588,0.012004463092231155,0.10731752262107959,0.041784859218544385,0.02269147275965628
Sample_573,0.05717151454363089,0.49047141424272817,0.0,0.00802407221664995,0.30992978936810434,0.11334002006018054,0.02106318956870612,0.053672071704685305,0.4819474970861475,0.003934698026376513,0.00937984719517231,0.30952874418265175,0.10663012092929183,0.022883305596942446
Sample_396,0.5210843373493976,0.19076305220883535,0.01104417670682731,0.04919678714859438,0.04417670682730924,0.1566265060240964,0.02710843373493976,0.5408807350857713,0.17918985859541522,0.013725904055191902,0.04625570817933176,0.043925911538662515,0.15145958372461585,0.0245622988210115
Sample_198,0.037111334002006016,0.3550651955867603,0.012036108324974924,0.1534603811434303,0.4373119358074223,0.0,0.0050150451354062184,0.032923316560937006,0.3457303672775791,0.01526022609010291,0.1401671959758108,0.4238808622802711,0.004280694579737385,0.011928212759959323
Sample_797,0.2086258776328987,0.15446339017051153,0.06118355065195587,0.06619859578736209,0.09327983951855567,0.1815446339017051,0.23470411233701102,0.2120995588867933,0.19800269896689995,0.045659094876800324,0.05883411082716417,0.08117385278873883,0.1622765353280327,0.24195414832557074
Sample_181,0.5055276381909548,0.0020100502512562816,0.021105527638190954,0.05226130653266332,0.22311557788944725,0.1829145728643216,0.01306532663316583,0.46941241929921196,0.007501256270757047,0.013150692796695727,0.055366551675400694,0.24001651316529513,0.17271467810646776,0.012677823478348203
Sample_270,0.17251755265797392,0.022066198595787363,0.028084252758274825,0.22166499498495487,0.20260782347041123,0.33600802407221664,0.017051153460381142,0.164512910189948,0.03251920984856773,0.027512314811245376,0.22455043715176642,0.2081368560459723,0.3252700252122939,0.01749824674020622
Sample_520,0.17670682730923695,0.19076305220883535,0.0,0.007028112449799197,0.33433734939759036,0.2700803212851406,0.02108433734939759,0.18194432164866325,0.16219097728566664,0.0029486428547290566,0.00845676032114997,0.3458358371663082,0.2623964236029582,0.017123494229339637
Sample_511,0.5240963855421686,0.23795180722891565,0.014056224899598393,0.1465863453815261,0.0,0.05220883534136546,0.025100401606425703,0.5033231039460823,0.20223436636041173,0.021536437197834137,0.1581558321432806,0.0031202928017498776,0.06015988539232143,0.017613147233825566
Sample_388,0.3496993987975952,0.09919839679358718,0.004008016032064128,0.13827655310621242,0.35070140280561124,0.033066132264529056,0.025050100200400802,0.3445519165569719,0.11479052008936931,0.008577926980910543,0.14880595391509358,0.319012968515994,0.03856369918483229,0.02432640077821787
Sample_996,0.001002004008016032,0.05811623246492986,0.31162324649298595,0.29759519038076154,0.13627254509018036,0.03907815631262525,0.156312625250501,0.0032409686485985953,0.044907853763528065,0.28623407155528574,0.29862985307166906,0.13562549352852535,0.05799563556979555,0.15410236766653815
Sample_15,0.35606820461384153,0.12236710130391174,0.0,0.21263791374122368,0.031093279839518557,0.26078234704112335,0.017051153460381142,0.3569245784510412,0.12840386598419432,0.003206567890710378,0.20341002966352933,0.034814612073662946,0.25663936708216945,0.015726776503817805
Sample_842,0.24497991967871485,0.2459839357429719,0.010040160642570281,0.050200803212851405,0.13654618473895583,0.22791164658634538,0.08433734939759036,0.24501993364162744,0.20948640469533183,0.014735151596480069,0.05900557246482957,0.13398034784823534,0.21439551172633076,0.08552129739629707
Sample_485,0.025075225677031094,0.07622868605817452,0.029087261785356068,0.041123370110330994,0.10230692076228685,0.7111334002006018,0.015045135406218655,0.03151635920110028,0.04176251942215399,0.03456302443598176,0.03959730079444777,0.11312499846481641,0.6742723306623492,0.01272422106444007
Sample_608,0.06018054162487462,0.05717151454363089,0.029087261785356068,0.5526579739217653,0.18254764292878636,0.10130391173520562,0.017051153460381142,0.0635812944187029,0.04368480543531827,0.021686664345010858,0.5433132929269224,0.17403341072462628,0.10741314382063295,0.014438668411462546
Sample_312,0.08726178535606821,0.2868605817452357,0.010030090270812437,0.27181544633901705,0.00802407221664995,0.3159478435305918,0.020060180541624874,0.085675481585494,0.2645097955993826,0.010482562141629133,0.267594504574373,0.011832175522260133,0.29205853762281,0.0236890712959
Sample_121,0.2884422110552764,0.09748743718592964,0.016080402010050253,0.12763819095477386,0.20301507537688443,0.2562814070351759,0.011055276381909548,0.2856051329757312,0.08531918200401772,0.013512599152048032,0.13565913686548473,0.1891496226658061,0.2397933802480402,0.014503432443375501
Sample_558,0.12637913741223672,0.6629889669007021,0.0160481444332999,0.09929789368104312,0.06118355065195587,0.010030090270812437,0.024072216649949848,0.12407898203222345,0.5807947982960231,0.01541257081615493,0.10348364737046979,0.06179623569105402,0.013594177361734038,0.024058438073797237
Sample_850,0.4373119358074223,0.38214643931795383,0.05917753259779338,0.0,0.029087261785356068,0.026078234704112337,0.06619859578736209,0.4325897222747624,0.38906114929652474,0.05397935688702953,0.0024672274794288367,0.029978984050663172,0.02860420200321014,0.06331935800838114
Sample_887,0.19678714859437751,0.015060240963855422,0.19678714859437751,0.13052208835341367,0.16265060240963855,0.14759036144578314,0.15060240963855423,0.20108776978205947,0.01955218133603429,0.2031275478051217,0.13408132848900436,0.16940127374782982,0.14414568169248265,0.11970937992902528
Sample_267,0.03811434302908726,0.6639919759277834,0.020060180541624874,0.029087261785356068,0.08425275827482448,0.1444332998996991,0.020060180541624874,0.04288597791424321,0.6217427894605421,0.009254381107036273,0.029885782483093253,0.0782333848528613,0.12051760584018154,0.05242065953331388
Sample_798,0.1636546184738956,0.3032128514056225,0.1716867469879518,0.03413654618473896,0.11144578313253012,0.06325301204819277,0.15261044176706828,0.15358339127331522,0.27344727150464515,0.2039559970240816,0.031172268830077822,0.11616530921623919,0.0596593956545444,0.16201636649709655
Sample_329,0.04216867469879518,0.019076305220883535,0.0030120481927710845,0.25903614457831325,0.5953815261044176,0.05622489959839357,0.025100401606425703,0.0368884562549705,0.018898306325904883,0.011057769326405469,0.2632980623850425,0.6066991281116612,0.03990849687788604,0.013113439690934146
Sample_604,0.04208416833667335,0.16032064128256512,0.02404809619238477,0.19238476953907815,0.12124248496993988,0.43587174348697394,0.02404809619238477,0.04122956460836575,0.1282904516583677,0.02134056686521754,0.2052419419399449,0.11999192679851549,0.4402118025278577,0.02187425668035838
Sample_496,0.14744232698094284,0.11334002006018054,0.015045135406218655,0.09327983951855567,0.18956870611835505,0.43931795386158473,0.0020060180541624875,0.1511218331958542,0.12917249782991264,0.02117499612591363,0.09343275617540549,0.18451327287457456,0.4142879593860582,0.006296684412281188
Sample_865,0.037111334002006016,0.033099297893681046,0.15245737211634905,0.014042126379137413,0.1815446339017051,0.02106318956870612,0.5606820461384152,0.042366624465122724,0.04452621811219961,0.18631855785228948,0.014619910631533912,0.19513968933100317,0.030799533523881394,0.48492253086400455
Sample_392,0.12537612838515547,0.23971915747241726,0.012036108324974924,0.02708124373119358,0.477432296890672,0.11634904714142427,0.0020060180541624875,0.13278179035986576,0.22064684633443915,0.01617557396941259,0.03372683743970155,0.4596705336906227,0.11471634755512572,0.00816761057347332
