,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.33801404212637914,0.05115346038114343,0.05315947843530592,0.24974924774322968,0.11133400200601805,0.13139418254764293,0.06519558676028084,0.3152977062594161,0.04343146013226684,0.0458826969517874,0.23860335728507692,0.11493364064665226,0.1337336155260314,0.05625551488733785
Sample_695,0.12036108324974924,0.029087261785356068,0.10030090270812438,0.11133400200601805,0.1213640922768305,0.007021063189568706,0.5105315947843531,0.11626170470228586,0.08029946555116356,0.1113939918324999,0.11249325007581647,0.12551956942878145,0.007590484577739734,0.4165676196640921
Sample_799,0.29889669007021064,0.09929789368104312,0.026078234704112337,0.1123370110330993,0.3530591775325978,0.01805416248746239,0.09227683049147442,0.2915728220105466,0.11437233665295042,0.02396357955530277,0.10846446220227228,0.3366350141561841,0.021441237656140467,0.07588726118054481
Sample_148,0.4172517552657974,0.3430290872617854,0.02708124373119358,0.006018054162487462,0.17853560682046138,0.0,0.028084252758274825,0.4039917072201891,0.32514334269616485,0.020426819130718053,0.005784256983958236,0.17193259253621349,0.002518948771627967,0.020000204634232476
Sample_859,0.13239719157472418,0.16649949849548645,0.07622868605817452,0.014042126379137413,0.10230692076228685,0.47342026078234706,0.03510531594784353,0.13612614409966564,0.12293614401444809,0.09599346625590974,0.014605388070759999,0.09737560667495554,0.47557686333796123,0.05738638754629999
Sample_447,0.32196589769307926,0.07823470411233702,0.012036108324974924,0.014042126379137413,0.14343029087261785,0.41223671013039115,0.01805416248746239,0.3531213569613639,0.066800002103816,0.02171004930371566,0.012957514962702303,0.13424341966063186,0.3846808543560895,0.0182909674760232
Sample_635,0.012048192771084338,0.606425702811245,0.023092369477911646,0.25903614457831325,0.009036144578313253,0.07530120481927711,0.015060240963855422,0.01582667654047476,0.5451956477296431,0.015248993700927152,0.2666835899109836,0.00957390968785135,0.06908991877785692,0.017923166659156945
Sample_128,0.21163490471414242,0.5115346038114343,0.007021063189568706,0.0,0.08324974924774323,0.17853560682046138,0.00802407221664995,0.19663023614250769,0.4889595122150783,0.01376914442738855,0.0024451048149231576,0.08322206094815988,0.1917040443322993,0.013849668131846094
Sample_813,0.08734939759036145,0.10341365461847389,0.4929718875502008,0.10441767068273092,0.04618473895582329,0.14759036144578314,0.018072289156626505,0.07333255130099164,0.11527376281414334,0.46715146640493016,0.10771530318798557,0.049570392827902245,0.16638661846537828,0.020569904998668835
Sample_439,0.22088353413654618,0.2429718875502008,0.01706827309236948,0.31626506024096385,0.11947791164658635,0.07530120481927711,0.008032128514056224,0.21269117298853613,0.2304017003111376,0.020186964924797136,0.32182248105099703,0.11795736953627106,0.08418672809110284,0.012753583097158232
Sample_748,0.4463390170511535,0.022066198595787363,0.160481444332999,0.06519558676028084,0.0,0.09528585757271815,0.21063189568706117,0.46568379489655204,0.039605184912988464,0.13546517244319853,0.06364266103228061,0.003342356726770469,0.09270172858775241,0.19955910140045743
Sample_529,0.3433734939759036,0.2459839357429719,0.0,0.10642570281124498,0.06526104417670683,0.22690763052208834,0.012048192771084338,0.3246955347925457,0.27304701783344226,0.001216126475066691,0.10664627482622469,0.059453030352655034,0.2257037502462241,0.009238265473841606
Sample_559,0.39156626506024095,0.285140562248996,0.028112449799196786,0.08433734939759036,0.08835341365461848,0.09738955823293173,0.025100401606425703,0.3813752886946062,0.27814000232609715,0.02483289814963887,0.08546889939269627,0.09027712425877324,0.10301502737394332,0.01861689563673538
Sample_593,0.5336008024072216,0.22367101303911735,0.024072216649949848,0.06820461384152457,0.0641925777331996,0.06018054162487462,0.026078234704112337,0.5345535114458132,0.2220575728620896,0.030562456883520887,0.07253808301700394,0.06154521196796917,0.06332904430934508,0.014538245479152499
Sample_500,0.17452357071213642,0.2547642928786359,0.0010030090270812437,0.26479438314944836,0.024072216649949848,0.2597793380140421,0.02106318956870612,0.16583857748912506,0.23808439213925053,0.002758801746003627,0.2904108869684726,0.020587348862367176,0.26072661605039454,0.021593376744386408
Sample_506,0.09337349397590361,0.13152610441767068,0.014056224899598393,0.0823293172690763,0.5110441767068273,0.15562248995983935,0.012048192771084338,0.08490614667794234,0.11936481323966926,0.024282814927570447,0.07853996188209958,0.5003475082748791,0.15803204088700948,0.012934033297923737
Sample_46,0.0,0.03009027081243731,0.017051153460381142,0.29689067201604813,0.49247743229689067,0.1584754262788365,0.0050150451354062184,0.005352868167980136,0.02183154645558699,0.01583709502571229,0.2785438479213644,0.49995920951479156,0.16680364040980286,0.011671792504761679
Sample_21,0.2905811623246493,0.08817635270541083,0.006012024048096192,0.23146292585170342,0.0,0.3637274549098196,0.02004008016032064,0.29784240959123925,0.0722646504408987,0.007258319154407898,0.2406445041798489,0.0036495664456910174,0.3405980104960456,0.03318066867139716
Sample_307,0.13165829145728644,0.14974874371859295,0.011055276381909548,0.23819095477386934,0.16683417085427135,0.2834170854271357,0.019095477386934675,0.12573965013094318,0.15975679199117085,0.009557994958826565,0.22412435931362296,0.17076744432156554,0.29886639256208375,0.011187366721787185
Sample_63,0.1905717151454363,0.05015045135406219,0.01805416248746239,0.1123370110330993,0.4453360080240722,0.17552657973921765,0.00802407221664995,0.18364455498297694,0.04854341434247854,0.014302740531661896,0.10885221019600763,0.45176406357287924,0.18659291659230795,0.006300099781687913
Sample_619,0.2156469408224674,0.12738214643931794,0.028084252758274825,0.19358074222668004,0.020060180541624874,0.4102306920762287,0.0050150451354062184,0.2048154436702565,0.12498011975551182,0.02550566953667795,0.19454483795548716,0.025242215344359525,0.408299039818089,0.011922522612122892
Sample_796,0.05717151454363089,0.0641925777331996,0.08124373119358075,0.07221664994984955,0.05717151454363089,0.4663991975927783,0.20160481444332998,0.05909534755474857,0.05747385258802523,0.0816713938579753,0.0728020194950322,0.07247844421168631,0.47209660496572664,0.18438233732680578
Sample_106,0.10832497492477432,0.0,0.009027081243731194,0.2156469408224674,0.07923771313941826,0.5656970912738215,0.022066198595787363,0.10891182136089142,0.015813770987589702,0.018549645215293585,0.21426031508388188,0.07120637822415117,0.5404309929691818,0.030827076159010435
Sample_871,0.005025125628140704,0.28542713567839195,0.01306532663316583,0.06834170854271357,0.342713567839196,0.09246231155778895,0.192964824120603,0.007769586248399645,0.24202117604899362,0.02171031187773098,0.06495451093496063,0.3426321310697427,0.0852678668663611,0.21702056482764226
Sample_349,0.2821285140562249,0.11847389558232932,0.002008032128514056,0.14357429718875503,0.26305220883534136,0.18473895582329317,0.006024096385542169,0.31227956012333746,0.10794399100003503,0.00461472099460852,0.14264179424427534,0.23791419107096043,0.18721844849715766,0.0073872940696256195
Sample_483,0.35943775100401604,0.071285140562249,0.02208835341365462,0.3704819277108434,0.06726907630522089,0.08333333333333333,0.02610441767068273,0.37573435253345017,0.05710484846138198,0.018866129285789172,0.3665347921903655,0.07405445104788579,0.08752062290876174,0.020184803572365576
Sample_573,0.013039117352056168,0.06920762286860582,0.0,0.16549648946840523,0.15446339017051153,0.5767301905717152,0.02106318956870612,0.016228654154160745,0.04856697350147009,0.0021150448230817928,0.17188820369922544,0.16318599756375263,0.5694650861951841,0.0239521196927037
Sample_396,0.2600401606425703,0.5060240963855421,0.01104417670682731,0.05120481927710843,0.03614457831325301,0.10843373493975904,0.02710843373493976,0.22102748606369785,0.4830430153951441,0.021450780341708078,0.04924060537083807,0.041389888751495664,0.12706189186578706,0.026848011981855605
Sample_198,0.022066198595787363,0.7873620862587764,0.012036108324974924,0.05315947843530592,0.058174523570712136,0.062186559679037114,0.0050150451354062184,0.01941184596891551,0.6817457893488742,0.012280813035335668,0.04843747470226785,0.059953724983493974,0.07027240247568407,0.012794728774427883
Sample_797,0.1123370110330993,0.5566700100300903,0.03510531594784353,0.08826479438314945,0.04714142427281846,0.12938816449348045,0.031093279839518557,0.111314853109255,0.5209287617990824,0.026375602983028202,0.07539494041175238,0.04949883134703778,0.1253961425924315,0.028393147284818895
Sample_181,0.19558676028084251,0.1995987963891675,0.02106318956870612,0.324974924774323,0.015045135406218655,0.23069207622868607,0.013039117352056168,0.19806003759232674,0.17760660405892137,0.022510343644146714,0.3406092171609577,0.019715844620778283,0.22391831980057153,0.016454592322157506
Sample_270,0.0572289156626506,0.16666666666666666,0.028112449799196786,0.20080321285140562,0.15562248995983935,0.3744979919678715,0.01706827309236948,0.06286426110230466,0.16692659100480065,0.020630816867404707,0.2033446449477333,0.14567724361191864,0.3780188760504965,0.02253756641534154
