,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.1933867735470942,0.2545090180360721,0.06713426853707415,0.3246492985971944,0.08617234468937876,0.03707414829659319,0.03707414829659319,0.18505587323681755,0.26554667388619124,0.055403289055641715,0.32281760970067946,0.09316282944498532,0.0229846547633822,0.042155493571645664
Sample_695,0.3714859437751004,0.09839357429718876,0.19076305220883535,0.04216867469879518,0.1576305220883534,0.09738955823293173,0.04216867469879518,0.3754767428617365,0.0973306121668246,0.17923053445351697,0.037367796964359844,0.15563389347535062,0.09017297717051134,0.04508858194197426
Sample_799,0.09437751004016064,0.018072289156626505,0.14056224899598393,0.045180722891566265,0.35843373493975905,0.3032128514056225,0.040160642570281124,0.091548883081686,0.03659800046754367,0.1304291616591402,0.042244811582172165,0.37278998275213354,0.2935649322930571,0.03282422816426746
Sample_148,0.0,0.04714142427281846,0.02708124373119358,0.08525576730190572,0.22567703109327983,0.5867602808425276,0.028084252758274825,0.0020050190954419866,0.029499542541666396,0.023679839462016086,0.07985270954873068,0.25488751357475264,0.5270994312031673,0.022089565390249116
Sample_859,0.2419678714859438,0.1355421686746988,0.025100401606425703,0.10341365461847389,0.12449799196787148,0.001004016064257028,0.3684738955823293,0.2646877973846253,0.12858204697068412,0.026264525221069302,0.10726176733945095,0.12975335951212255,0.003899436496619062,0.33955106707542887
Sample_447,0.21987951807228914,0.10341365461847389,0.012048192771084338,0.37751004016064255,0.01606425702811245,0.25301204819277107,0.018072289156626505,0.21567313808376776,0.10348318495132477,0.01568707307226286,0.4098410968241688,0.015345524174176301,0.23149748914089863,0.008472493753400975
Sample_635,0.12449799196787148,0.23694779116465864,0.023092369477911646,0.03714859437751004,0.536144578313253,0.02710843373493976,0.015060240963855422,0.13334880585521075,0.2019622676659541,0.030870747752976307,0.03656415036577344,0.5176996680556258,0.032975079835595375,0.021839300451301273
Sample_128,0.04718875502008032,0.0572289156626506,0.007028112449799197,0.5170682730923695,0.32228915662650603,0.04116465863453815,0.008032128514056224,0.049857799491961174,0.0366830325099813,0.00905824205971114,0.5229143753538383,0.3232570838569037,0.04315798276026995,0.013068611088996427
Sample_813,0.0964824120603015,0.4291457286432161,0.11457286432160804,0.01306532663316583,0.14472361809045226,0.08341708542713568,0.1185929648241206,0.09365156896698985,0.43025802019879145,0.09599466313346007,0.012882218418939639,0.13687390191196833,0.08476097532020783,0.1455786520496427
Sample_439,0.09729187562688064,0.13139418254764293,0.017051153460381142,0.5476429287863591,0.022066198595787363,0.1765295887662989,0.00802407221664995,0.09174249008998236,0.11900251281536339,0.014717120490117329,0.5711513099542201,0.026638391968991842,0.16037651686610932,0.012497145882256007
Sample_748,0.020080321285140562,0.05923694779116466,0.12048192771084337,0.5030120481927711,0.10341365461847389,0.1285140562248996,0.06526104417670683,0.021989364446205896,0.06676977510876492,0.1176073990685323,0.48010636855103855,0.10806283480549113,0.13963924533663755,0.06582501268332949
Sample_529,0.1593186372745491,0.09519038076152304,0.0,0.09719438877755511,0.4468937875751503,0.18937875751503006,0.012024048096192385,0.1741426866747711,0.10802154201590575,0.0038620805516562723,0.10213068999154126,0.42629677580523345,0.17401515825296884,0.01153106670792347
Sample_559,0.3849246231155779,0.2201005025125628,0.02814070351758794,0.2864321608040201,0.007035175879396985,0.04824120603015075,0.02512562814070352,0.346857289898685,0.2147669225073463,0.02438666247285612,0.2965524145948274,0.008149607316287109,0.05142178909677936,0.02195087735942019
Sample_593,0.21042084168336672,0.13927855711422846,0.02404809619238477,0.312625250501002,0.14128256513026052,0.1462925851703407,0.026052104208416832,0.23330275650617788,0.11726151379562574,0.0261914306331852,0.30461973071284304,0.13399694963233533,0.16033364316175772,0.024293975558075
