,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.055220883534136546,0.17369477911646586,0.05622489959839357,0.20180722891566266,0.3373493975903614,0.0572289156626506,0.11847389558232932,0.05758919520525783,0.19386910027610052,0.055869777123976366,0.20624997393376282,0.3260862901690208,0.05737996228640761,0.10295570100547398
Sample_695,0.015045135406218655,0.15646940822467403,0.18355065195586762,0.05917753259779338,0.2136409227683049,0.02106318956870612,0.3510531594784353,0.01544065670321179,0.16648097572063622,0.1835999266326193,0.06152307909640298,0.192388004975091,0.027630414714995496,0.35293694215704313
Sample_799,0.040160642570281124,0.35843373493975905,0.2961847389558233,0.10542168674698796,0.14357429718875503,0.05421686746987952,0.002008032128514056,0.04754780526912282,0.34317248163535136,0.2738224241548968,0.10374636535435951,0.14101467109058693,0.057520075242694445,0.013676757991984268
Sample_148,0.20060180541624875,0.0,0.02708124373119358,0.26479438314944836,0.06118355065195587,0.4182547642928786,0.028084252758274825,0.20078784268615432,0.010436357314257,0.02424638169820648,0.27829933972556464,0.06113241021363916,0.3979248764681948,0.02717279189398357
Sample_859,0.3366733466933868,0.05410821643286573,0.12224448897795591,0.11122244488977956,0.10521042084168336,0.1903807615230461,0.08016032064128256,0.3268470118955344,0.056891560493995574,0.13596309499464224,0.11559536975145132,0.10386538686690217,0.17980346381084072,0.06967322364910657
Sample_447,0.39959839357429716,0.04216867469879518,0.012048192771084338,0.17369477911646586,0.27309236947791166,0.08132530120481928,0.018072289156626505,0.3744118158669745,0.032759413017118114,0.017307128171374035,0.1796405692634824,0.27865495060175965,0.08273700186144778,0.013079572623605004
Sample_635,0.025075225677031094,0.6138415245737212,0.023069207622868605,0.09227683049147442,0.14343029087261785,0.08726178535606821,0.015045135406218655,0.024163700852756518,0.5880376418665887,0.02865593848400153,0.09707188065885124,0.13794450177521386,0.08289957758347165,0.017780815406105186
Sample_128,0.0802407221664995,0.13039117352056168,0.007021063189568706,0.36108324974924777,0.12437311935807423,0.2888665997993982,0.00802407221664995,0.07119254815274172,0.10154456511913158,0.006100609338269043,0.35219323682463777,0.1301250059729806,0.281086058528524,0.013432427778420018
Sample_813,0.12938816449348045,0.037111334002006016,0.14543630892678033,0.017051153460381142,0.20962888665997995,0.18054162487462388,0.28084252758274825,0.12441968789981994,0.04318133510539876,0.1308384667808719,0.017714671750076568,0.22866014660177536,0.1905941732427989,0.24239920616918686
Sample_439,0.29116465863453816,0.11044176706827309,0.01706827309236948,0.2620481927710843,0.10542168674698796,0.20582329317269077,0.008032128514056224,0.28012513931477856,0.10230631441564629,0.010488567110463103,0.2606718642350007,0.0959744124012522,0.1938417830948088,0.010861199706590599
