,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
Sample_1,0.0724346076458752,0.3541247484909456,0.0120724346076458,0.317907444668008,0.2253521126760563,0.0,0.0181086519114688,0.0688968258302494,0.3089369755715713,0.008749276778249255,0.302320274015473,0.22314090365769085,0.005095036159323119,0.02656850291342601,Sample_1,-0.00845985100195721
Sample_2,0.2690763052208835,0.1987951807228915,0.0281124497991967,0.036144578313253,0.2831325301204819,0.1586345381526104,0.0261044176706827,0.2671946206325622,0.18369297796671855,0.03234132152239189,0.04154747172072241,0.2820258337280336,0.1637915445033838,0.02940622992618767,Sample_2,-0.003301812255504969
Sample_3,0.0321931589537223,0.4647887323943662,0.0221327967806841,0.0,0.1750503018108652,0.2957746478873239,0.0100603621730382,0.032077765425340174,0.41814967486047694,0.020015183180913942,0.004180331651352416,0.1877473797347515,0.3131296025486068,0.013698190758327693,Sample_3,-0.003637828585289493
Sample_4,0.0,0.0422535211267605,0.0160965794768611,0.4728370221327967,0.4346076458752515,0.0201207243460764,0.0140845070422535,0.004539663283904443,0.03942977974483153,0.020068387886461106,0.4880079330689557,0.4128813392755635,0.01931439993587292,0.01575849680441075,Sample_4,-0.0016739897621572495
Sample_5,0.6104417670682731,0.253012048192771,0.002008032128514,0.0421686746987951,0.0662650602409638,0.0,0.0261044176706827,0.6005098657249871,0.28217426722057565,0.0018166287616520984,0.04829077735005286,0.0448329986157464,0.004375611134997749,0.017999851191988235,Sample_5,0.008104566478694467
Sample_6,0.2701612903225806,0.0282258064516129,0.0,0.1653225806451612,0.0,0.5342741935483871,0.002016129032258,0.28933214468896395,0.02706460705156222,0.0008682349444211204,0.17254610420423167,0.009075843605349266,0.4946082552085285,0.00650481029694329,Sample_6,-0.004488681264685291
Sample_7,0.3983903420523139,0.0744466800804829,0.0221327967806841,0.4084507042253521,0.0603621730382293,0.0120724346076458,0.0241448692152917,0.3987051115567501,0.05007830104820181,0.016717584888618468,0.4040468669034902,0.05760167266865967,0.016403344692241213,0.01694924287792163,Sample_7,0.0071956263373700695
Sample_8,0.1285140562248996,0.0321285140562249,0.0281124497991967,0.5220883534136547,0.2630522088353413,0.0,0.0261044176706827,0.11880747574865352,0.045256135294191514,0.02034342336473629,0.5204607755407737,0.2517965203372256,0.012482001321493583,0.011223114695286678,Sample_8,0.014881302975396023
Sample_9,0.282258064516129,0.2681451612903225,0.0120967741935483,0.0,0.3346774193548387,0.0806451612903225,0.0221774193548387,0.2780349586893351,0.28923965136806495,0.015148094610383467,0.0033076576799214072,0.3198571067643888,0.07790842416562632,0.01650410672228021,Sample_9,0.0056733126325584915
Sample_10,0.2600806451612903,0.0,0.002016129032258,0.0524193548387096,0.1350806451612903,0.5282258064516129,0.0221774193548387,0.2678959761449605,0.020865172987984165,0.010024720228649728,0.04586896305121417,0.12318355451385854,0.5199264146066811,0.012235198466651873,Sample_10,0.009942220888186828
Sample_11,0.380281690140845,0.0643863179074446,0.0040241448692152,0.2313883299798792,0.2414486921529175,0.0603621730382293,0.0181086519114688,0.3881174153167664,0.0560187715218996,0.008721133933471301,0.23036814699241556,0.22234239637190625,0.07285362293105585,0.006922130062542564,Sample_11,0.011186521848926236
Sample_12,0.3205645161290322,0.2076612903225806,0.0141129032258064,0.0987903225806451,0.0927419354838709,0.2379032258064516,0.0282258064516129,0.31021624298682343,0.26220663651923,0.016487878370868146,0.08615999985116757,0.08411625559673354,0.22321024088150385,0.01760274579367319,Sample_12,0.01062306065793971
Sample_13,0.1373737373737373,0.5313131313131313,0.006060606060606,0.0282828282828282,0.0202020202020202,0.2646464646464646,0.0121212121212121,0.1407918983693194,0.4653773765453661,0.008786304350497423,0.03261902234174561,0.016406249333041627,0.259742061267325,0.012090158295912536,Sample_13,3.1053825299564436e-05
Sample_14,0.1532258064516129,0.002016129032258,0.0120967741935483,0.5846774193548387,0.0584677419354838,0.1673387096774193,0.0221774193548387,0.1387746174697062,0.022908974531004118,0.009033835413615084,0.6033617447638273,0.05917807090529885,0.15395872785999318,0.012784029056555228,Sample_14,0.009393390298283472
Sample_15,0.0342052313883299,0.5171026156941649,0.0,0.0020120724346076,0.2736418511066398,0.1569416498993963,0.0160965794768611,0.035290317243895586,0.5046430542748958,0.004977683348121429,0.00359066342577767,0.2660325629844929,0.1638991430306728,0.021566575692143805,Sample_15,-0.005469996215282706
Sample_16,0.0201207243460764,0.4788732394366197,0.0181086519114688,0.1106639839034205,0.2655935613682093,0.0885311871227364,0.0181086519114688,0.020899617868677386,0.5145288354934,0.02332067566999464,0.09052594277932662,0.25783994843032376,0.08004122882988862,0.012843750928388933,Sample_16,0.005264900983079867
Sample_17,0.0100603621730382,0.5271629778672032,0.028169014084507,0.0140845070422535,0.3983903420523139,0.0040241448692152,0.0181086519114688,0.012710426556538043,0.5278939786811916,0.02471222512173659,0.013960903942823547,0.3878130698684817,0.007048449952012662,0.02586094587721568,Sample_17,-0.007752293965746879
Sample_18,0.0342052313883299,0.0442655935613682,0.0100603621730382,0.6740442655935613,0.0,0.2173038229376257,0.0201207243460764,0.03932587104481129,0.03935904837931319,0.006767706247530705,0.6779689244509657,0.004965953844583833,0.21160867936804376,0.020003816664751473,Sample_18,0.00011690768132492646
Sample_19,0.0402414486921529,0.2474849094567404,0.0201207243460764,0.4989939637826961,0.0201207243460764,0.1609657947686116,0.0120724346076458,0.05217657703737347,0.20268661952832828,0.02456731179301957,0.507651648726781,0.017266374681908617,0.16389737439577304,0.01584444217062105,Sample_19,-0.003772007562975249
Sample_20,0.0945674044265593,0.2696177062374245,0.0201207243460764,0.0160965794768611,0.0342052313883299,0.5653923541247485,0.0,0.08580860304897286,0.266688402142288,0.018701093584095947,0.02144697110565855,0.031054733735437427,0.5577005875391117,0.018599608844435615,Sample_20,-0.018599608844435615
Sample_21,0.3855421686746988,0.0,0.0060240963855421,0.180722891566265,0.3132530120481928,0.0943775100401606,0.0200803212851405,0.36258667020959817,0.01304913987928755,0.008842788051897492,0.19760516273215328,0.30800803895869605,0.09250563040887894,0.017402569759488524,Sample_21,0.002677751525651976
Sample_22,0.4012096774193548,0.0463709677419354,0.0080645161290322,0.1048387096774193,0.3165322580645161,0.1209677419354838,0.002016129032258,0.37353892176428827,0.036901627121439295,0.005095903953602747,0.10092293151834172,0.320986317924571,0.1429441636028322,0.007119313074158158,Sample_22,-0.005103184041900159
Sample_23,0.1955645161290322,0.3850806451612903,0.0161290322580645,0.0221774193548387,0.189516129032258,0.1814516129032258,0.0100806451612903,0.22275397047255988,0.35658082661282997,0.01738146625302345,0.030104160826469613,0.19140810649872947,0.17092492275005877,0.010846546586328751,Sample_23,-0.0007659014250384517
Sample_24,0.4778225806451613,0.1129032258064516,0.0282258064516129,0.2580645161290322,0.0483870967741935,0.0625,0.0120967741935483,0.4721664180527294,0.09624577209085505,0.015604000575808817,0.2599546833324873,0.04048005638248153,0.07028122869460655,0.01604068475007632,Sample_24,-0.00394391055652802
Sample_25,0.1391129032258064,0.1532258064516129,0.0060483870967741,0.3608870967741935,0.0161290322580645,0.3225806451612903,0.002016129032258,0.14230246584335926,0.15373952508972777,0.012631315869223688,0.33493073288410563,0.01672937002813123,0.297277001958338,0.011997264916840463,Sample_25,-0.009981135884582463
Sample_26,0.4949698189134809,0.0684104627766599,0.0181086519114688,0.2193158953722334,0.0301810865191146,0.1649899396378269,0.0040241448692152,0.4677872981210055,0.11194549129156091,0.024380809074028977,0.22319201637431718,0.028269563516011564,0.1388774790502348,0.0055473425728412434,Sample_26,-0.0015231977036260433
Sample_27,0.3326612903225806,0.4919354838709677,0.0120967741935483,0.0786290322580645,0.0362903225806451,0.0423387096774193,0.0060483870967741,0.3215836413814294,0.44566705434787696,0.00837789561311598,0.07590999239876414,0.02709921581887395,0.04755195410460808,0.021534045198325923,Sample_27,-0.015485658101551824
Sample_28,0.2278225806451612,0.3810483870967742,0.0040322580645161,0.2802419354838709,0.0806451612903225,0.0201612903225806,0.0060483870967741,0.21006735200186116,0.3428454412408355,0.006344089847719165,0.27328278712693077,0.07239404291569236,0.017818746115232903,0.009239056150399591,Sample_28,-0.0031906690536254913
Sample_29,0.0504032258064516,0.0161290322580645,0.0181451612903225,0.0564516129032258,0.5504032258064516,0.3064516129032258,0.002016129032258,0.053715554450594644,0.028507613103337857,0.019958508352933977,0.05839021889658566,0.5429686612587733,0.2892132777095025,0.007246166228272031,Sample_29,-0.005230037196014031
Sample_30,0.2977867203219316,0.4325955734406438,0.0040241448692152,0.0342052313883299,0.0663983903420523,0.1609657947686116,0.0040241448692152,0.3307178457360787,0.4059476091805832,0.005050491358611041,0.02715868896108713,0.05641188691774797,0.1635780359815437,0.01113544186434835,Sample_30,-0.007111296995133149
Sample_31,0.1471774193548387,0.3850806451612903,0.0241935483870967,0.1471774193548387,0.2762096774193548,0.0100806451612903,0.0100806451612903,0.14465159620163018,0.3506493581585755,0.026688443129974156,0.1436935586175948,0.27072150537400014,0.008336554205986993,0.015592158641786747,Sample_31,-0.005511513480496447
Sample_32,0.1365461847389558,0.1666666666666666,0.0240963855421686,0.3092369477911647,0.1184738955823293,0.2429718875502008,0.002008032128514,0.1453537956719623,0.16785483032395992,0.021106609041317156,0.31298702898818137,0.11661113300177774,0.21851779428105664,0.011088344288118838,Sample_32,-0.009080312159604838
Sample_33,0.0120967741935483,0.0907258064516129,0.3024193548387097,0.1310483870967742,0.0967741935483871,0.0685483870967741,0.2983870967741935,0.016559578825124835,0.10202057739617595,0.35092046369808627,0.13960334655230824,0.09262214192818673,0.06885204520156417,0.2135667954530528,Sample_33,0.08482030132114071
Sample_34,0.1733870967741935,0.0564516129032258,0.0241935483870967,0.1915322580645161,0.219758064516129,0.1633064516129032,0.1713709677419354,0.17511241340355288,0.032953151271560156,0.014231635089821672,0.20542342807251437,0.20839203481485763,0.15457753060686807,0.1473134074071695,Sample_34,0.024057560334765887
Sample_35,0.407258064516129,0.1008064516129032,0.0221774193548387,0.1129032258064516,0.1633064516129032,0.1209677419354838,0.0725806451612903,0.4037356415425781,0.10380448072817569,0.01827540540479195,0.09989011541230775,0.16281908765958175,0.1450002718129941,0.037634856297756925,Sample_35,0.034945788863533375
Sample_36,0.0261569416498993,0.0241448692152917,0.0583501006036217,0.0120724346076458,0.414486921529175,0.380281690140845,0.0845070422535211,0.026424817392644306,0.031647124747757646,0.03723786551888813,0.010526058913297155,0.42339433790761544,0.39835612997520425,0.07241366554459314,Sample_36,0.012093376708927961
Sample_37,0.1488933601609658,0.0160965794768611,0.1026156941649899,0.1710261569416499,0.2917505030181087,0.2334004024144869,0.0362173038229376,0.14966210975986743,0.016487338729680553,0.09324528686280696,0.17838524447178764,0.26822498298286146,0.27490340364307636,0.019091633549919496,Sample_37,0.017125670273018104
Sample_38,0.1673387096774193,0.2258064516129032,0.3286290322580645,0.0403225806451612,0.0524193548387096,0.0564516129032258,0.1290322580645161,0.18327885526196624,0.23613301433231307,0.3538568999758825,0.034027484608021255,0.05928236525225432,0.06670545895353386,0.06671592161602863,Sample_38,0.06231633644848747
Sample_39,0.0221774193548387,0.1048387096774193,0.1814516129032258,0.1693548387096774,0.2016129032258064,0.0685483870967741,0.252016129032258,0.02687097848272406,0.1023865043273907,0.20986586245862915,0.16572883528466822,0.21426049550141196,0.06157149006564642,0.19490446463463962,Sample_39,0.05711166439761839
Sample_40,0.1330645161290322,0.0705645161290322,0.1028225806451613,0.0685483870967741,0.4899193548387097,0.0665322580645161,0.0685483870967741,0.16061596906276338,0.05963640915932027,0.09033338528834464,0.0645175831247214,0.4941187418729423,0.06144722802352073,0.06933068346838718,Sample_40,-0.0007822963716130754
