,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
Sample_1,0.0688968258302494,0.3089369755715713,0.008749276778249255,0.302320274015473,0.22314090365769085,0.005095036159323119,0.02656850291342601
Sample_2,0.2671946206325622,0.18369297796671855,0.03234132152239189,0.04154747172072241,0.2820258337280336,0.1637915445033838,0.02940622992618767
Sample_3,0.032077765425340174,0.41814967486047694,0.020015183180913942,0.004180331651352416,0.1877473797347515,0.3131296025486068,0.013698190758327693
Sample_4,0.004539663283904443,0.03942977974483153,0.020068387886461106,0.4880079330689557,0.4128813392755635,0.01931439993587292,0.01575849680441075
Sample_5,0.6005098657249871,0.28217426722057565,0.0018166287616520984,0.04829077735005286,0.0448329986157464,0.004375611134997749,0.017999851191988235
Sample_6,0.28933214468896395,0.02706460705156222,0.0008682349444211204,0.17254610420423167,0.009075843605349266,0.4946082552085285,0.00650481029694329
Sample_7,0.3987051115567501,0.05007830104820181,0.016717584888618468,0.4040468669034902,0.05760167266865967,0.016403344692241213,0.01694924287792163
Sample_8,0.11880747574865352,0.045256135294191514,0.02034342336473629,0.5204607755407737,0.2517965203372256,0.012482001321493583,0.011223114695286678
Sample_9,0.2780349586893351,0.28923965136806495,0.015148094610383467,0.0033076576799214072,0.3198571067643888,0.07790842416562632,0.01650410672228021
Sample_10,0.2678959761449605,0.020865172987984165,0.010024720228649728,0.04586896305121417,0.12318355451385854,0.5199264146066811,0.012235198466651873
Sample_11,0.3881174153167664,0.0560187715218996,0.008721133933471301,0.23036814699241556,0.22234239637190625,0.07285362293105585,0.006922130062542564
Sample_12,0.31021624298682343,0.26220663651923,0.016487878370868146,0.08615999985116757,0.08411625559673354,0.22321024088150385,0.01760274579367319
Sample_13,0.1407918983693194,0.4653773765453661,0.008786304350497423,0.03261902234174561,0.016406249333041627,0.259742061267325,0.012090158295912536
Sample_14,0.1387746174697062,0.022908974531004118,0.009033835413615084,0.6033617447638273,0.05917807090529885,0.15395872785999318,0.012784029056555228
Sample_15,0.035290317243895586,0.5046430542748958,0.004977683348121429,0.00359066342577767,0.2660325629844929,0.1638991430306728,0.021566575692143805
Sample_16,0.020899617868677386,0.5145288354934,0.02332067566999464,0.09052594277932662,0.25783994843032376,0.08004122882988862,0.012843750928388933
Sample_17,0.012710426556538043,0.5278939786811916,0.02471222512173659,0.013960903942823547,0.3878130698684817,0.007048449952012662,0.02586094587721568
Sample_18,0.03932587104481129,0.03935904837931319,0.006767706247530705,0.6779689244509657,0.004965953844583833,0.21160867936804376,0.020003816664751473
Sample_19,0.05217657703737347,0.20268661952832828,0.02456731179301957,0.507651648726781,0.017266374681908617,0.16389737439577304,0.01584444217062105
Sample_20,0.08580860304897286,0.266688402142288,0.018701093584095947,0.02144697110565855,0.031054733735437427,0.5577005875391117,0.018599608844435615
Sample_21,0.36258667020959817,0.01304913987928755,0.008842788051897492,0.19760516273215328,0.30800803895869605,0.09250563040887894,0.017402569759488524
Sample_22,0.37353892176428827,0.036901627121439295,0.005095903953602747,0.10092293151834172,0.320986317924571,0.1429441636028322,0.007119313074158158
Sample_23,0.22275397047255988,0.35658082661282997,0.01738146625302345,0.030104160826469613,0.19140810649872947,0.17092492275005877,0.010846546586328751
Sample_24,0.4721664180527294,0.09624577209085505,0.015604000575808817,0.2599546833324873,0.04048005638248153,0.07028122869460655,0.01604068475007632
Sample_25,0.14230246584335926,0.15373952508972777,0.012631315869223688,0.33493073288410563,0.01672937002813123,0.297277001958338,0.011997264916840463
Sample_26,0.4677872981210055,0.11194549129156091,0.024380809074028977,0.22319201637431718,0.028269563516011564,0.1388774790502348,0.0055473425728412434
Sample_27,0.3215836413814294,0.44566705434787696,0.00837789561311598,0.07590999239876414,0.02709921581887395,0.04755195410460808,0.021534045198325923
Sample_28,0.21006735200186116,0.3428454412408355,0.006344089847719165,0.27328278712693077,0.07239404291569236,0.017818746115232903,0.009239056150399591
Sample_29,0.053715554450594644,0.028507613103337857,0.019958508352933977,0.05839021889658566,0.5429686612587733,0.2892132777095025,0.007246166228272031
Sample_30,0.3307178457360787,0.4059476091805832,0.005050491358611041,0.02715868896108713,0.05641188691774797,0.1635780359815437,0.01113544186434835
Sample_31,0.14465159620163018,0.3506493581585755,0.026688443129974156,0.1436935586175948,0.27072150537400014,0.008336554205986993,0.015592158641786747
Sample_32,0.1453537956719623,0.16785483032395992,0.021106609041317156,0.31298702898818137,0.11661113300177774,0.21851779428105664,0.011088344288118838
Sample_33,0.016559578825124835,0.10202057739617595,0.35092046369808627,0.13960334655230824,0.09262214192818673,0.06885204520156417,0.2135667954530528
Sample_34,0.17511241340355288,0.032953151271560156,0.014231635089821672,0.20542342807251437,0.20839203481485763,0.15457753060686807,0.1473134074071695
Sample_35,0.4037356415425781,0.10380448072817569,0.01827540540479195,0.09989011541230775,0.16281908765958175,0.1450002718129941,0.037634856297756925
Sample_36,0.026424817392644306,0.031647124747757646,0.03723786551888813,0.010526058913297155,0.42339433790761544,0.39835612997520425,0.07241366554459314
Sample_37,0.14966210975986743,0.016487338729680553,0.09324528686280696,0.17838524447178764,0.26822498298286146,0.27490340364307636,0.019091633549919496
Sample_38,0.18327885526196624,0.23613301433231307,0.3538568999758825,0.034027484608021255,0.05928236525225432,0.06670545895353386,0.06671592161602863
Sample_39,0.02687097848272406,0.1023865043273907,0.20986586245862915,0.16572883528466822,0.21426049550141196,0.06157149006564642,0.19490446463463962
Sample_40,0.16061596906276338,0.05963640915932027,0.09033338528834464,0.0645175831247214,0.4941187418729423,0.06144722802352073,0.06933068346838718
Sample_41,0.10656140374564352,0.0662137080468799,0.25435104302530287,0.25765593771720763,0.0070418607377824,0.009053172719023483,0.2917172604526351
Sample_42,0.6439249208602719,0.0653432426898374,0.0221082171978176,0.07505814118085885,0.039877870723014894,0.14363855643800538,0.010049050910194085
Sample_43,0.05817400030624688,0.3000158787650051,0.09180221952519883,0.019026431919494834,0.2692312558289252,0.0040625562674683246,0.2576876573876607
Sample_44,0.06754930402055218,0.3126212485505993,0.01262530339146573,0.18698400183280264,0.08875802241308535,0.22375015347788202,0.07559887876368876
Sample_45,0.017736039854691896,0.2522753341141058,0.2092113125429719,0.2282035756275294,0.22398062409946554,0.024860898370768526,0.04256456226507883
Sample_46,0.018820891843263025,0.20331879703237074,0.11828758366038983,0.1323566931130923,0.02268732718369897,0.12143748334476853,0.3830912238224166
Sample_47,0.07657999613804194,0.14938832293056356,0.0407244851463365,0.003069987524835922,0.14471252183309988,0.5609475698154268,0.02457711661169526
Sample_48,0.07781612576889213,0.09854285415585666,0.031114099040243405,0.07754770597016657,0.35984405331589864,0.15062513577591682,0.20451002597302564
Sample_49,0.05533739040194673,0.1590592898665454,0.2370225346190716,0.11164343930269525,0.2119829636695496,0.1069512516700282,0.11800313047016338
Sample_50,0.06625749717714711,0.1067397697991799,0.004232351783962602,0.23179353236056827,0.2522453186673591,0.00988065014819166,0.29814124010511767
