,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.040160642570281124,0.1757028112449799,0.0783132530120482,0.08433734939759036,0.09738955823293173,0.2931726907630522,0.23092369477911648,0.04120018967278639,0.17652015662795886,0.06889744263995201,0.07861187096830603,0.10145543922974405,0.28692602303058506,0.2463888778306675
Sample_695,0.06619859578736209,0.1334002006018054,0.024072216649949848,0.10230692076228685,0.275827482447342,0.029087261785356068,0.3691073219658977,0.06277464842053022,0.12569874977241946,0.029915159558628897,0.09725190607667858,0.29231837358746476,0.031729441621047794,0.33336823729451104
Sample_799,0.45481927710843373,0.10742971887550201,0.0321285140562249,0.1716867469879518,0.04116465863453815,0.08634538152610442,0.10642570281124498,0.454837841772299,0.07370676472395701,0.02773178205662268,0.1760590165901081,0.039482132018835894,0.08545654072433659,0.11933205875675755
Sample_148,0.06619859578736209,0.0,0.02708124373119358,0.5155466399197592,0.0010030090270812437,0.362086258776329,0.028084252758274825,0.07000265627040657,0.013944453152881068,0.02264906554321818,0.5066950844207847,0.0021760913171042303,0.3607114392246173,0.023821210070987905
Sample_859,0.1457286432160804,0.003015075376884422,0.20100502512562815,0.06532663316582915,0.04522613065326633,0.4723618090452261,0.06733668341708543,0.12006810562467739,0.019063223337199817,0.23110358687058824,0.04859677775282368,0.04353776376778222,0.4561983317207084,0.08143221092622019
Sample_447,0.03610832497492478,0.44232698094282846,0.012036108324974924,0.21464393179538616,0.26479438314944836,0.012036108324974924,0.01805416248746239,0.02963627124203452,0.4027598619244109,0.010741885137788778,0.19346408196272988,0.2577594521439252,0.008273693516081482,0.0245123506851715
Sample_635,0.03006012024048096,0.5601202404809619,0.023046092184368736,0.08817635270541083,0.026052104208416832,0.2575150300601202,0.01503006012024048,0.035822360892347895,0.5403666497618421,0.023196903887329517,0.079237352232202,0.027956930488453467,0.2409818657054924,0.02460553480771461
Sample_128,0.01805416248746239,0.847542627883651,0.007021063189568706,0.0,0.06820461384152457,0.05115346038114343,0.00802407221664995,0.02371055426109642,0.7094751385095122,0.0034281129909967817,0.0031769145728858836,0.07143497654944847,0.06185201909805387,0.009999765366279001
Sample_813,0.24373119358074222,0.06519558676028084,0.15446339017051153,0.13440320962888666,0.2668004012036108,0.06018054162487462,0.07522567703109329,0.2323686326693023,0.0869527635457519,0.14430978950259224,0.14357305673537576,0.24073914158701698,0.05210063287544933,0.09995598308451145
Sample_439,0.2319277108433735,0.007028112449799197,0.01706827309236948,0.3152610441767068,0.07630522088353414,0.34437751004016065,0.008032128514056224,0.21932616767851537,0.007681927959988496,0.019424779092575648,0.3293733315629405,0.06917674269197421,0.34479562492860427,0.010221426085401303
