,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
Sample_1,0.0724346076458752,0.3541247484909456,0.0120724346076458,0.317907444668008,0.2253521126760563,0.0,0.0181086519114688,0.0785199089153861,0.33419041927004434,0.00848007451191151,0.3113861831439243,0.2086719846710729,0.006637448698097171,0.019424361701514063,Sample_1,-0.0013157097900452636
Sample_2,0.2690763052208835,0.1987951807228915,0.0281124497991967,0.036144578313253,0.2831325301204819,0.1586345381526104,0.0261044176706827,0.27382939740538687,0.17019578983320383,0.02814957305199407,0.03899218293021089,0.283216054285226,0.17556393142402701,0.03005307106995129,Sample_2,-0.003948653399268587
Sample_3,0.0321931589537223,0.4647887323943662,0.0221327967806841,0.0,0.1750503018108652,0.2957746478873239,0.0100603621730382,0.03259185095458911,0.4393370198559865,0.019436734944514828,0.0031085338952864584,0.17801293364385876,0.3096966958193063,0.017816230886458253,Sample_3,-0.007755868713420053
Sample_4,0.0,0.0422535211267605,0.0160965794768611,0.4728370221327967,0.4346076458752515,0.0201207243460764,0.0140845070422535,0.006329041867092202,0.04265085743391481,0.019073736787567987,0.4599667901214874,0.42820968903558504,0.01980161574390142,0.019810291617780813,Sample_4,-0.005725784575527313
Sample_5,0.6104417670682731,0.253012048192771,0.002008032128514,0.0421686746987951,0.0662650602409638,0.0,0.0261044176706827,0.5970422754722319,0.27865801732778667,0.003613364232316307,0.050729279766651335,0.04620892067596069,0.005899379004401778,0.017848763520651345,Sample_5,0.008255654150031357
Sample_6,0.2701612903225806,0.0282258064516129,0.0,0.1653225806451612,0.0,0.5342741935483871,0.002016129032258,0.27944294801616937,0.035816497806766635,-0.00013125930393300702,0.16611456129959704,0.00899616918903594,0.5043915956754221,0.005369487316941989,Sample_6,-0.0033533582846839893
Sample_7,0.3983903420523139,0.0744466800804829,0.0221327967806841,0.4084507042253521,0.0603621730382293,0.0120724346076458,0.0241448692152917,0.377666032948169,0.059086766070006805,0.012798943930869191,0.41381522121408093,0.06224803613657852,0.014414934542275057,0.01653442192874496,Sample_7,0.0076104472865467405
Sample_8,0.1285140562248996,0.0321285140562249,0.0281124497991967,0.5220883534136547,0.2630522088353413,0.0,0.0261044176706827,0.11885497775291891,0.02973111859161059,0.019923664001199416,0.5379696400804955,0.25644438582299195,0.01479303927238678,0.013378953888052696,Sample_8,0.012725463782630005
Sample_9,0.282258064516129,0.2681451612903225,0.0120967741935483,0.0,0.3346774193548387,0.0806451612903225,0.0221774193548387,0.28161749880990244,0.30993998240471626,0.014471571734398506,0.003596521150086706,0.300197611056546,0.07379582122550565,0.01638099361884452,Sample_9,0.00579642573599418
Sample_10,0.2600806451612903,0.0,0.002016129032258,0.0524193548387096,0.1350806451612903,0.5282258064516129,0.0221774193548387,0.2632878105223216,0.020911668294123126,0.011861047622025056,0.048259351127307816,0.12447924832666314,0.5206044902164245,0.010596383891134787,Sample_10,0.011581035463703914
Sample_11,0.380281690140845,0.0643863179074446,0.0040241448692152,0.2313883299798792,0.2414486921529175,0.0603621730382293,0.0181086519114688,0.3739144415638055,0.0679302637279382,0.009793658992268839,0.22748530792238109,0.2146051191285879,0.07172573103432743,0.008595468487337169,Sample_11,0.00951318342413163
Sample_12,0.3205645161290322,0.2076612903225806,0.0141129032258064,0.0987903225806451,0.0927419354838709,0.2379032258064516,0.0282258064516129,0.3047590263396855,0.24681843433722828,0.017450956814633118,0.10591310913299569,0.09064293876364839,0.21723046443947247,0.017185070172336808,Sample_12,0.01104073627927609
Sample_13,0.1373737373737373,0.5313131313131313,0.006060606060606,0.0282828282828282,0.0202020202020202,0.2646464646464646,0.0121212121212121,0.14055511989984446,0.48173460467031354,0.007621329476502958,0.03090996886924675,0.0175742347135391,0.2930613124524431,0.014904088575101072,Sample_13,-0.0027828764538889716
Sample_14,0.1532258064516129,0.002016129032258,0.0120967741935483,0.5846774193548387,0.0584677419354838,0.1673387096774193,0.0221774193548387,0.14358727078145886,0.013562811336027322,0.009099813639804421,0.5805089773630444,0.0647470994416127,0.16407778542336798,0.02343976690739359,Sample_14,-0.0012623475525548912
Sample_15,0.0342052313883299,0.5171026156941649,0.0,0.0020120724346076,0.2736418511066398,0.1569416498993963,0.0160965794768611,0.03083335793072553,0.508537998015818,0.005924448420852196,0.0057871650982443314,0.2606506804675598,0.16420488330692254,0.024061466759877657,Sample_15,-0.007964887283016558
Sample_16,0.0201207243460764,0.4788732394366197,0.0181086519114688,0.1106639839034205,0.2655935613682093,0.0885311871227364,0.0181086519114688,0.020803322590312562,0.49138135884939577,0.025759283588168022,0.10530690017123304,0.256553963982416,0.08507322381393163,0.015121947004543052,Sample_16,0.002986704906925748
Sample_17,0.0100603621730382,0.5271629778672032,0.028169014084507,0.0140845070422535,0.3983903420523139,0.0040241448692152,0.0181086519114688,0.01257357645218314,0.5151301606717458,0.03044889018743735,0.013560751384814902,0.3744101986770345,0.004965477027828669,0.02247610159852722,Sample_17,-0.0043674496870584195
Sample_18,0.0342052313883299,0.0442655935613682,0.0100603621730382,0.6740442655935613,0.0,0.2173038229376257,0.0201207243460764,0.038479940250393946,0.03137368706705782,0.00940147001250893,0.6734530046916167,0.002893288089144824,0.2102860616464711,0.020347484137168678,Sample_18,-0.00022675979109227848
