,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
Sample_1,0.0785199089153861,0.33419041927004434,0.00848007451191151,0.3113861831439243,0.2086719846710729,0.006637448698097171,0.019424361701514063
Sample_2,0.27382939740538687,0.17019578983320383,0.02814957305199407,0.03899218293021089,0.283216054285226,0.17556393142402701,0.03005307106995129
Sample_3,0.03259185095458911,0.4393370198559865,0.019436734944514828,0.0031085338952864584,0.17801293364385876,0.3096966958193063,0.017816230886458253
Sample_4,0.006329041867092202,0.04265085743391481,0.019073736787567987,0.4599667901214874,0.42820968903558504,0.01980161574390142,0.019810291617780813
Sample_5,0.5970422754722319,0.27865801732778667,0.003613364232316307,0.050729279766651335,0.04620892067596069,0.005899379004401778,0.017848763520651345
Sample_6,0.27944294801616937,0.035816497806766635,-0.00013125930393300702,0.16611456129959704,0.00899616918903594,0.5043915956754221,0.005369487316941989
Sample_7,0.377666032948169,0.059086766070006805,0.012798943930869191,0.41381522121408093,0.06224803613657852,0.014414934542275057,0.01653442192874496
Sample_8,0.11885497775291891,0.02973111859161059,0.019923664001199416,0.5379696400804955,0.25644438582299195,0.01479303927238678,0.013378953888052696
Sample_9,0.28161749880990244,0.30993998240471626,0.014471571734398506,0.003596521150086706,0.300197611056546,0.07379582122550565,0.01638099361884452
Sample_10,0.2632878105223216,0.020911668294123126,0.011861047622025056,0.048259351127307816,0.12447924832666314,0.5206044902164245,0.010596383891134787
Sample_11,0.3739144415638055,0.0679302637279382,0.009793658992268839,0.22748530792238109,0.2146051191285879,0.07172573103432743,0.008595468487337169
Sample_12,0.3047590263396855,0.24681843433722828,0.017450956814633118,0.10591310913299569,0.09064293876364839,0.21723046443947247,0.017185070172336808
Sample_13,0.14055511989984446,0.48173460467031354,0.007621329476502958,0.03090996886924675,0.0175742347135391,0.2930613124524431,0.014904088575101072
Sample_14,0.14358727078145886,0.013562811336027322,0.009099813639804421,0.5805089773630444,0.0647470994416127,0.16407778542336798,0.02343976690739359
