,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.21708542713567838,0.12763819095477386,0.0864321608040201,0.2904522613065327,0.1748743718592965,0.027135678391959798,0.0763819095477387,0.2179379248550935,0.17998202379407194,0.08394069681956447,0.2807218281671108,0.17494311728131504,0.02379691036327825,0.03867749871956601
Sample_695,0.027135678391959798,0.3005025125628141,0.016080402010050253,0.06030150753768844,0.08743718592964825,0.3708542713567839,0.13768844221105528,0.03680521283711806,0.31425601310733237,0.014510152380114367,0.05872998301871301,0.08593513654675927,0.3412058309524477,0.1485576711575153
Sample_799,0.06934673366834171,0.054271356783919596,0.33668341708542715,0.024120603015075376,0.14974874371859295,0.01306532663316583,0.3527638190954774,0.06974760667038223,0.05211845541898719,0.34233754410134715,0.024506967618357935,0.15336660388266043,0.01689441109673222,0.34102841121153293
Sample_148,0.0,0.48897795591182364,0.027054108216432865,0.10020040080160321,0.1062124248496994,0.24949899799599198,0.028056112224448898,0.0029944823961962717,0.4996303739162987,0.020261503344827278,0.10536331805961491,0.09122060437193143,0.2563620015959824,0.024167716315148895
Sample_859,0.4779116465863454,0.0572289156626506,0.03714859437751004,0.06224899598393574,0.03313253012048193,0.0050200803212851405,0.3273092369477912,0.4915196988992488,0.07878328134112883,0.031120259604812274,0.060173980441932534,0.036320158540141555,0.006290372233133158,0.295792248939603
Sample_447,0.440320962888666,0.1945837512537613,0.012036108324974924,0.09327983951855567,0.12437311935807423,0.11735205616850551,0.01805416248746239,0.44106094249570177,0.18501163419535296,0.011134353844134772,0.09012509684746768,0.10393744535273114,0.11740675046666448,0.05132377679794699
Sample_635,0.19979919678714858,0.10341365461847389,0.023092369477911646,0.21285140562248997,0.24397590361445784,0.20180722891566266,0.015060240963855422,0.18405382592055386,0.11607750419659581,0.02273528505733906,0.21331381040882846,0.2507309552140353,0.19533119385984926,0.015988316470678096
Sample_128,0.09027081243731194,0.15245737211634905,0.007021063189568706,0.0,0.19558676028084251,0.5466399197592778,0.00802407221664995,0.09761555424031187,0.17169090111481455,0.008271552957797279,0.0026513500915310143,0.1988198498373922,0.5071778886049101,0.01377290315324311
Sample_813,0.16666666666666666,0.019076305220883535,0.19176706827309237,0.019076305220883535,0.26305220883534136,0.3172690763052209,0.023092369477911646,0.16550848698085452,0.01835752673462597,0.19528705371795957,0.021897940301539943,0.25491267104692505,0.32329827165373026,0.02073804956436478
Sample_439,0.06820461384152457,0.2818455366098295,0.017051153460381142,0.10431293881644935,0.3029087261785356,0.2176529588766299,0.00802407221664995,0.07104932571311852,0.2925964993501187,0.015853151852507515,0.09421271221572694,0.29895080173664623,0.21511492160202586,0.012222587529856185
Sample_748,0.053266331658291456,0.37386934673366834,0.1527638190954774,0.03919597989949749,0.11256281407035176,0.12160804020100502,0.14673366834170853,0.05580721360309731,0.38024499572668097,0.15079912351967684,0.043340012143667575,0.10589598626567527,0.11606113308558186,0.14785153565562015
Sample_529,0.07530120481927711,0.28112449799196787,0.0,0.09738955823293173,0.2419678714859438,0.2921686746987952,0.012048192771084338,0.06849394000615032,0.24820978126637833,0.007282576135687052,0.09727765258119242,0.25318454392592366,0.29872608953698454,0.015797327248314397
Sample_559,0.09538152610441768,0.0823293172690763,0.028112449799196786,0.16566265060240964,0.05823293172690763,0.5451807228915663,0.025100401606425703,0.09996333093470895,0.08648879736325563,0.02262566517959847,0.16876667551048155,0.06463239368074103,0.5350821123919666,0.017600807678450316
Sample_593,0.010030090270812437,0.05215646940822467,0.024072216649949848,0.24172517552657974,0.11033099297893681,0.5356068204613842,0.026078234704112337,0.01310938792553862,0.031351344687580614,0.020124349759227573,0.23870586957625284,0.09868820916810805,0.5438548092624927,0.020113150044038977
Sample_500,0.160481444332999,0.25075225677031093,0.0010030090270812437,0.12236710130391174,0.18355065195586762,0.26078234704112335,0.02106318956870612,0.1574142178357737,0.25494019552995073,0.007651080592973364,0.11967918624760353,0.19216607861679197,0.25242614600820923,0.015723095168697535
