,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
Sample_1,0.0724346076458752,0.3541247484909456,0.0120724346076458,0.317907444668008,0.2253521126760563,0.0,0.0181086519114688,0.008314566897727289,0.011539401707782719,0.00517082243017417,0.030011488509983822,0.014728455621408601,0.006519798374770927,0.015167181778197763,Sample_1,0.0029414701332710364
Sample_2,0.2690763052208835,0.1987951807228915,0.0281124497991967,0.036144578313253,0.2831325301204819,0.1586345381526104,0.0261044176706827,0.03374453216662985,0.01393757331071445,0.00517082243017417,0.004063762739626282,0.029648479359092348,0.01206386404049894,0.015125431018237184,Sample_2,0.010978986652445517
Sample_3,0.0321931589537223,0.4647887323943662,0.0221327967806841,0.0,0.1750503018108652,0.2957746478873239,0.0100603621730382,0.005546840809002935,0.034849777939390834,0.00517082243017417,0.0027261297663436755,0.018815364112073376,0.030626811492488103,0.015254269071829977,Sample_3,-0.005193906898791777
Sample_4,0.0,0.0422535211267605,0.0160965794768611,0.4728370221327967,0.4346076458752515,0.0201207243460764,0.0140845070422535,0.005027212001822247,0.011539401707782719,0.00517082243017417,0.033648775887185116,0.03148740472420439,0.006519798374770927,0.015301283693329467,Sample_4,-0.0012167766510759667
Sample_5,0.6104417670682731,0.253012048192771,0.002008032128514,0.0421686746987951,0.0662650602409638,0.0,0.0261044176706827,0.07635356624899488,0.013008309422580307,0.00517082243017417,0.0075473879696707534,0.012096783150850205,0.006519798374770927,0.01547267574166238,Sample_5,0.01063174192902032
Sample_6,0.2701612903225806,0.0282258064516129,0.0,0.1653225806451612,0.0,0.5342741935483871,0.002016129032258,0.034365811157045976,0.011453547162758797,0.00517082243017417,0.0191161971576732,0.012376288767157241,0.054333651396619845,0.015526676774983128,Sample_6,-0.013510547742725127
Sample_7,0.3983903420523139,0.0744466800804829,0.0221327967806841,0.4084507042253521,0.0603621730382293,0.0120724346076458,0.0241448692152917,0.035658516025111386,0.011539401707782719,0.00517082243017417,0.033771109597304436,0.012376288767157241,0.006519798374770927,0.015227173250342603,Sample_7,0.008917695964949098
Sample_8,0.1285140562248996,0.0321285140562249,0.0281124497991967,0.5220883534136547,0.2630522088353413,0.0,0.0261044176706827,0.009139791997281137,0.0114694142745097,0.00517082243017417,0.032452016327406824,0.013751444891433429,0.006519798374770927,0.01521093001715065,Sample_8,0.010893487653532052
Sample_9,0.282258064516129,0.2681451612903225,0.0120967741935483,0.0,0.3346774193548387,0.0806451612903225,0.0221774193548387,0.035406452952533835,0.015852890350033528,0.00517082243017417,0.0033300890134964297,0.0386315967292273,0.006613156630981152,0.015175225490313204,Sample_9,0.007002193864525497
Sample_10,0.2600806451612903,0.0,0.002016129032258,0.0524193548387096,0.1350806451612903,0.5282258064516129,0.0221774193548387,0.037175349138360854,0.012709789328301033,0.00517082243017417,0.007547678240453864,0.01568145511135991,0.06632857728289346,0.015548874952469881,Sample_10,0.006628544402368819
Sample_11,0.380281690140845,0.0643863179074446,0.0040241448692152,0.2313883299798792,0.2414486921529175,0.0603621730382293,0.0181086519114688,0.03652105330900927,0.010449470059912477,0.00517082243017417,0.020618271059099965,0.016528546079854125,0.006519798374770927,0.015303372461150103,Sample_11,0.0028052794503186963
Sample_12,0.3205645161290322,0.2076612903225806,0.0141129032258064,0.0987903225806451,0.0927419354838709,0.2379032258064516,0.0282258064516129,0.03871822679889105,0.011202461180540451,0.00517082243017417,0.010479543967882097,0.012376288767157241,0.021534234443404465,0.015339285931011918,Sample_12,0.012886520520600981
Sample_13,0.1373737373737373,0.5313131313131313,0.006060606060606,0.0282828282828282,0.0202020202020202,0.2646464646464646,0.0121212121212121,0.021032691608727856,0.04494008764252216,0.00513431068468322,0.003730740579854152,0.012096783150850205,0.02975484517824316,0.015425661120162894,Sample_13,-0.0033044489989507934
