,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
Sample_1,0.008314566897727289,0.011539401707782719,0.00517082243017417,0.030011488509983822,0.014728455621408601,0.006519798374770927,0.015167181778197763
Sample_2,0.03374453216662985,0.01393757331071445,0.00517082243017417,0.004063762739626282,0.029648479359092348,0.01206386404049894,0.015125431018237184
Sample_3,0.005546840809002935,0.034849777939390834,0.00517082243017417,0.0027261297663436755,0.018815364112073376,0.030626811492488103,0.015254269071829977
Sample_4,0.005027212001822247,0.011539401707782719,0.00517082243017417,0.033648775887185116,0.03148740472420439,0.006519798374770927,0.015301283693329467
Sample_5,0.07635356624899488,0.013008309422580307,0.00517082243017417,0.0075473879696707534,0.012096783150850205,0.006519798374770927,0.01547267574166238
Sample_6,0.034365811157045976,0.011453547162758797,0.00517082243017417,0.0191161971576732,0.012376288767157241,0.054333651396619845,0.015526676774983128
Sample_7,0.035658516025111386,0.011539401707782719,0.00517082243017417,0.033771109597304436,0.012376288767157241,0.006519798374770927,0.015227173250342603
Sample_8,0.009139791997281137,0.0114694142745097,0.00517082243017417,0.032452016327406824,0.013751444891433429,0.006519798374770927,0.01521093001715065
Sample_9,0.035406452952533835,0.015852890350033528,0.00517082243017417,0.0033300890134964297,0.0386315967292273,0.006613156630981152,0.015175225490313204
Sample_10,0.037175349138360854,0.012709789328301033,0.00517082243017417,0.007547678240453864,0.01568145511135991,0.06632857728289346,0.015548874952469881
Sample_11,0.03652105330900927,0.010449470059912477,0.00517082243017417,0.020618271059099965,0.016528546079854125,0.006519798374770927,0.015303372461150103
Sample_12,0.03871822679889105,0.011202461180540451,0.00517082243017417,0.010479543967882097,0.012376288767157241,0.021534234443404465,0.015339285931011918
Sample_13,0.021032691608727856,0.04494008764252216,0.00513431068468322,0.003730740579854152,0.012096783150850205,0.02975484517824316,0.015425661120162894
Sample_14,0.010576110331244188,0.011539401707782719,0.00517082243017417,0.03908024094554518,0.01237009335776728,0.006613156630981152,0.015301283693329467
Sample_15,0.005127805117004833,0.0391464866552345,0.00517082243017417,0.0027261297663436755,0.03309942020694683,0.01215073572244877,0.015243380989005264
Sample_16,0.005088941669438374,0.026722157145726705,0.00517082243017417,0.012405769681619832,0.028757673936347202,0.006519798374770927,0.015175225490313204
Sample_17,0.005027212001822247,0.035582278449719965,0.00517082243017417,0.0033595010114376056,0.042561976678731246,0.006519798374770927,0.01504495517585525
Sample_18,0.005400922951754957,0.011306473750651268,0.00517082243017417,0.04294735182886894,0.012376288767157241,0.006731882287297705,0.015474764509483019
Sample_19,0.005012248660216743,0.011539401707782719,0.00517082243017417,0.0365901167248235,0.01237009335776728,0.0066385240310874805,0.015542920008175077
Sample_20,0.0137827448402691,0.017719215100101823,0.00517082243017417,0.003716124971785537,0.012376288767157241,0.08181532660257876,0.015490972248145682
Sample_21,0.036156448449464425,0.012672394197649687,0.00517082243017417,0.01750121740053626,0.02812606578938601,0.006519798374770927,0.015301283693329467
Sample_22,0.03954321566318948,0.012668866664341848,0.00513431068468322,0.009837105363741728,0.03575141898925296,0.006613156630981152,0.015301283693329467
Sample_23,0.028111520408594076,0.013632243941854387,0.00517082243017417,0.0037418774213020165,0.018132787304273035,0.013120705698386786,0.015057275519545124
Sample_24,0.04741634446605239,0.010449470059912477,0.00517082243017417,0.028117027522054285,0.012376288767157241,0.006519798374770927,0.01547267574166238
Sample_25,0.015219889929654111,0.0114694142745097,0.00517082243017417,0.03317799771816847,0.01207322858746101,0.021208557168813938,0.01541477303733818
Sample_26,0.052350663576941986,0.010379482626639458,0.00517082243017417,0.021039960634292008,0.012376288767157241,0.008790760955946471,0.015526676774983128
Sample_27,0.038503021855632494,0.018330488246127544,0.00517082243017417,0.008086267309620629,0.01230840294575768,0.006519798374770927,0.015216347224188166
Sample_28,0.023911836285823194,0.014436052296675772,0.00517082243017417,0.027283046509361874,0.01237009335776728,0.006519798374770927,0.015422816749453621
Sample_29,0.005012248660216743,0.013605218912576815,0.00517082243017417,0.007462675374369162,0.05127977419112662,0.021453506944666852,0.015233128194637407
Sample_30,0.0440749822108557,0.01878412301164464,0.00513431068468322,0.0031121657246327814,0.012376288767157241,0.011076603529905294,0.01529960291714663
Sample_31,0.014814327363404276,0.013874771879613479,0.00517082243017417,0.014616218138556951,0.02654537634489565,0.006519798374770927,0.015175225490313204
Sample_32,0.011914999264898907,0.011331145826291671,0.00517082243017417,0.028275349418110766,0.01224466854707287,0.012418541863500197,0.01547267574166238
Sample_33,0.005120649874350762,0.011629540673894762,0.022837292531156832,0.016621221810487027,0.012376288767157241,0.006519798374770927,0.02619847792645569
Sample_34,0.017527064547948824,0.012509778491936305,0.00517082243017417,0.020556680254042798,0.017622445591270998,0.009300837355086322,0.017942016258147796
Sample_35,0.0481415569904725,0.012903653078041399,0.00517082243017417,0.011031270102569145,0.01224466854707287,0.0070985397717295935,0.015428627738843076
Sample_36,0.005102959973022503,0.013511979307902024,0.00517082243017417,0.0033648276555200943,0.04749090151465898,0.035422639424915255,0.015233128194637407
Sample_37,0.013338583953670881,0.01258504498478764,0.00517082243017417,0.01825775483667332,0.018249231799650135,0.017353603838050544,0.015301283693329467
Sample_38,0.02607893269628476,0.020826801514843372,0.02751081899467705,0.003967979040991422,0.01225325922330881,0.006519798374770927,0.016994207894025767
Sample_39,0.005012248660216743,0.011306473750651268,0.012283813065819138,0.018737566740512267,0.020056246966065113,0.007073172371623265,0.024760637244304832
Sample_40,0.010558609700058343,0.012810662645867716,0.00517082243017417,0.0074974140163928255,0.04666109113631983,0.006519798374770927,0.015233128194637407
