,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.08016032064128256,0.02905811623246493,0.5841683366733467,0.03907815631262525,0.08316633266533066,0.14529058116232466,0.03907815631262525,0.0754250677624885,0.03526860224271761,0.5606201587261944,0.04841779291115214,0.0748656274796266,0.16062920748867632,0.04477354338914455
Sample_695,0.160481444332999,0.04714142427281846,0.07823470411233702,0.04513540621865597,0.0802407221664995,0.1815446339017051,0.40722166499498497,0.16688400891071795,0.050404001680926444,0.06783281580136515,0.045032948162487575,0.08057348343133783,0.18008345483403573,0.38668967969341134
Sample_799,0.04714142427281846,0.38515546639919757,0.12738214643931794,0.2708124373119358,0.07923771313941826,0.08124373119358075,0.009027081243731194,0.053893937043063965,0.3829366897636337,0.10927556530741027,0.2795928545860618,0.08394080674266793,0.07339327348846923,0.01696687306869324
Sample_148,0.3440320962888666,0.04714142427281846,0.02708124373119358,0.0,0.11434302908726178,0.43931795386158473,0.028084252758274825,0.35605426261838347,0.05447193614682243,0.02187843410875839,0.0033199760736134063,0.1038022610150504,0.4251470675706338,0.023040289288505364
Sample_859,0.20381526104417672,0.04718875502008032,0.5672690763052208,0.12048192771084337,0.002008032128514056,0.03714859437751004,0.02208835341365462,0.19393621362577734,0.07964105661456088,0.5281415434684065,0.12617470164179714,0.005189316395206658,0.04730457026331037,0.01961259799094119
Sample_447,0.3881644934804413,0.04914744232698094,0.012036108324974924,0.00802407221664995,0.21464393179538616,0.30992978936810434,0.01805416248746239,0.39183401855609307,0.0406251815142989,0.015779933402409196,0.009449613826619453,0.2071406496389766,0.31209866903303335,0.023071934028569385
Sample_635,0.18455366098294884,0.12738214643931794,0.023069207622868605,0.5366098294884654,0.014042126379137413,0.09929789368104312,0.015045135406218655,0.1905780293476945,0.11809404371871268,0.027247683006928126,0.5385210023666981,0.017299023216855954,0.09913073009179507,0.009129488251315553
Sample_128,0.07228915662650602,0.178714859437751,0.007028112449799197,0.2680722891566265,0.16566265060240964,0.3002008032128514,0.008032128514056224,0.06364670989343912,0.19793242525439883,0.01300673454371296,0.2570472196825564,0.15195329893282528,0.30250530971705913,0.01390830197600842
Sample_813,0.4944834503510532,0.21063189568706117,0.0050150451354062184,0.15245737211634905,0.014042126379137413,0.10932798395185557,0.014042126379137413,0.5079994432536294,0.19212503434095016,0.007029869366939444,0.15843910526423044,0.01515176734977982,0.10261202111692623,0.01664275930754454
Sample_439,0.30522088353413657,0.16164658634538154,0.01706827309236948,0.07730923694779117,0.31626506024096385,0.1144578313253012,0.008032128514056224,0.30282813056887564,0.1727267484765846,0.014965787386932957,0.08061829495918466,0.30300714634816184,0.11260304933210821,0.013250842928151981
