,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
Sample_1,0.0724346076458752,0.3541247484909456,0.0120724346076458,0.317907444668008,0.2253521126760563,0.0,0.0181086519114688,0.07617564769176245,0.3167555906242925,0.006998068686305771,0.3110515376805906,0.21789994235356633,0.004171993239656004,0.023839911608636893,Sample_1,-0.005731259697168093
Sample_2,0.2690763052208835,0.1987951807228915,0.0281124497991967,0.036144578313253,0.2831325301204819,0.1586345381526104,0.0261044176706827,0.25447482772587965,0.18987674401359889,0.035214657449078944,0.04222879749139541,0.2787170631097101,0.17175749346559407,0.027730416744743,Sample_2,-0.001625999074060299
Sample_3,0.0321931589537223,0.4647887323943662,0.0221327967806841,0.0,0.1750503018108652,0.2957746478873239,0.0100603621730382,0.04084611024431912,0.4338185392489343,0.033777054880340406,0.002997228102323235,0.16407000039441066,0.28125436628091227,0.013826353385204408,Sample_3,-0.003765991212166208
Sample_4,0.0,0.0422535211267605,0.0160965794768611,0.4728370221327967,0.4346076458752515,0.0201207243460764,0.0140845070422535,0.006750015551976299,0.031727661697076526,0.017693300436225183,0.4990563553630867,0.4109323434069918,0.019837731385764525,0.014002592158879027,Sample_4,8.191488337447317e-05
Sample_5,0.6104417670682731,0.253012048192771,0.002008032128514,0.0421686746987951,0.0662650602409638,0.0,0.0261044176706827,0.5683500087555601,0.30359822993314284,0.0014187035257244248,0.05518480973337052,0.04718798055662446,0.004366428171873089,0.019893839323704584,Sample_5,0.006210578346978118
Sample_6,0.2701612903225806,0.0282258064516129,0.0,0.1653225806451612,0.0,0.5342741935483871,0.002016129032258,0.2740530266186777,0.019842258707727805,0.0024899884519011214,0.16940452436594303,0.007065782910816206,0.4958822605755937,0.005103553285929589,Sample_6,-0.0030874242536715894
Sample_7,0.3983903420523139,0.0744466800804829,0.0221327967806841,0.4084507042253521,0.0603621730382293,0.0120724346076458,0.0241448692152917,0.4139985087923461,0.047859265533555725,0.014086916414621972,0.4245967167842961,0.06235838985481833,0.01372392028277727,0.0233762823375845,Sample_7,0.0007685868777072002
Sample_8,0.1285140562248996,0.0321285140562249,0.0281124497991967,0.5220883534136547,0.2630522088353413,0.0,0.0261044176706827,0.11598372608921502,0.034371406819897025,0.019521313965920085,0.5223435096265936,0.26028667434393665,0.008060552846418172,0.01984735498528896,Sample_8,0.0062570626853937425
Sample_9,0.282258064516129,0.2681451612903225,0.0120967741935483,0.0,0.3346774193548387,0.0806451612903225,0.0221774193548387,0.2802356952364133,0.29368438423308113,0.012468068784259672,0.00398697224939805,0.31468993796381545,0.08055605052119241,0.014378891011839891,Sample_9,0.007798528342998809
Sample_10,0.2600806451612903,0.0,0.002016129032258,0.0524193548387096,0.1350806451612903,0.5282258064516129,0.0221774193548387,0.26054087250352864,0.008520444810273739,0.010593053933825716,0.05637858196040089,0.12450680059029653,0.524278368430968,0.013027465351071457,Sample_10,0.009149954003767244
Sample_11,0.380281690140845,0.0643863179074446,0.0040241448692152,0.2313883299798792,0.2414486921529175,0.0603621730382293,0.0181086519114688,0.38313153250891885,0.046723980195679346,0.009349244396502235,0.24056653629819494,0.21310822905059615,0.07511125985351565,0.007195122394030983,Sample_11,0.010913529517437816
Sample_12,0.3205645161290322,0.2076612903225806,0.0141129032258064,0.0987903225806451,0.0927419354838709,0.2379032258064516,0.0282258064516129,0.3056349364426386,0.2430540848884437,0.0164538199974062,0.10400481844905865,0.08773560151327292,0.2251678463676355,0.01794889234154454,Sample_12,0.010276914110068359
Sample_13,0.1373737373737373,0.5313131313131313,0.006060606060606,0.0282828282828282,0.0202020202020202,0.2646464646464646,0.0121212121212121,0.15250886364817656,0.44853967486210017,0.008900244096399139,0.031496406852136546,0.02221804703050731,0.2535079847318561,0.013183432429288388,Sample_13,-0.0010622203080762876
Sample_14,0.1532258064516129,0.002016129032258,0.0120967741935483,0.5846774193548387,0.0584677419354838,0.1673387096774193,0.0221774193548387,0.15710593616871904,0.006069675241731915,0.009609445973751584,0.5547251750991934,0.06178479623020147,0.1618549835242347,0.014288287795168577,Sample_14,0.007889131559670123
Sample_15,0.0342052313883299,0.5171026156941649,0.0,0.0020120724346076,0.2736418511066398,0.1569416498993963,0.0160965794768611,0.03428060984271606,0.5056845535606005,0.005441617563074685,0.005062383155266657,0.26524748058913117,0.16537445638128556,0.01890889890792546,Sample_15,-0.002812319431064362
Sample_16,0.0201207243460764,0.4788732394366197,0.0181086519114688,0.1106639839034205,0.2655935613682093,0.0885311871227364,0.0181086519114688,0.02554373701683724,0.4590163719029122,0.039030723440454336,0.11161387644107659,0.2664232189553526,0.08205050371677303,0.01632156852659418,Sample_16,0.00178708338487462
Sample_17,0.0100603621730382,0.5271629778672032,0.028169014084507,0.0140845070422535,0.3983903420523139,0.0040241448692152,0.0181086519114688,0.010368680515863218,0.5159145638820866,0.02571750138115948,0.019811301717231833,0.4030725078472522,0.005161329466235304,0.01995411519017133,Sample_17,-0.0018454632787025319
Sample_18,0.0342052313883299,0.0442655935613682,0.0100603621730382,0.6740442655935613,0.0,0.2173038229376257,0.0201207243460764,0.03999364027100489,0.022291046714499666,0.012099970142818,0.6541270063577287,0.00459015078860157,0.2101249332525699,0.029097031865183687,Sample_18,-0.008976307519107288
Sample_19,0.0402414486921529,0.2474849094567404,0.0201207243460764,0.4989939637826961,0.0201207243460764,0.1609657947686116,0.0120724346076458,0.04632344203999388,0.1990605355690252,0.022809269498029996,0.5168347055128456,0.016825575207281795,0.16237857481670728,0.023520804599036375,Sample_19,-0.011448369991390575
Sample_20,0.0945674044265593,0.2696177062374245,0.0201207243460764,0.0160965794768611,0.0342052313883299,0.5653923541247485,0.0,0.09253952029387122,0.29488994839364746,0.021793548533980436,0.019346167945607097,0.029529429053729375,0.5288335010219174,0.01306788475724676,Sample_20,-0.01306788475724676
Sample_21,0.3855421686746988,0.0,0.0060240963855421,0.180722891566265,0.3132530120481928,0.0943775100401606,0.0200803212851405,0.36626502681013673,0.00920286754614292,0.009673144575845194,0.190168286700252,0.3089004395845734,0.08234478853996308,0.019477266991835603,Sample_21,0.0006030542933048964
Sample_22,0.4012096774193548,0.0463709677419354,0.0080645161290322,0.1048387096774193,0.3165322580645161,0.1209677419354838,0.002016129032258,0.3735513525887174,0.0382599044384636,0.004880673764307708,0.11572091381737162,0.3201050284993238,0.1415178805250898,0.0059642463667259294,Sample_22,-0.00394811733446793
Sample_23,0.1955645161290322,0.3850806451612903,0.0161290322580645,0.0221774193548387,0.189516129032258,0.1814516129032258,0.0100806451612903,0.2200663618167069,0.3598446161629587,0.020548937854744025,0.029170786863328305,0.18348253507031898,0.1735660731611809,0.013320689070761962,Sample_23,-0.0032400439094716627
Sample_24,0.4778225806451613,0.1129032258064516,0.0282258064516129,0.2580645161290322,0.0483870967741935,0.0625,0.0120967741935483,0.49366214538886277,0.09306964084163796,0.014907801700772275,0.25524718722441936,0.04051142377405153,0.0695610295410771,0.015119586697409901,Sample_24,-0.0030228125038616015
Sample_25,0.1391129032258064,0.1532258064516129,0.0060483870967741,0.3608870967741935,0.0161290322580645,0.3225806451612903,0.002016129032258,0.14414634481505575,0.16488063091689453,0.010199891372699263,0.33252843444307795,0.014908911206554836,0.2828595800458363,0.011553303768864235,Sample_25,-0.009537174736606235
