,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
Sample_1,0.07617564769176245,0.3167555906242925,0.006998068686305771,0.3110515376805906,0.21789994235356633,0.004171993239656004,0.023839911608636893
Sample_2,0.25447482772587965,0.18987674401359889,0.035214657449078944,0.04222879749139541,0.2787170631097101,0.17175749346559407,0.027730416744743
Sample_3,0.04084611024431912,0.4338185392489343,0.033777054880340406,0.002997228102323235,0.16407000039441066,0.28125436628091227,0.013826353385204408
Sample_4,0.006750015551976299,0.031727661697076526,0.017693300436225183,0.4990563553630867,0.4109323434069918,0.019837731385764525,0.014002592158879027
Sample_5,0.5683500087555601,0.30359822993314284,0.0014187035257244248,0.05518480973337052,0.04718798055662446,0.004366428171873089,0.019893839323704584
Sample_6,0.2740530266186777,0.019842258707727805,0.0024899884519011214,0.16940452436594303,0.007065782910816206,0.4958822605755937,0.005103553285929589
Sample_7,0.4139985087923461,0.047859265533555725,0.014086916414621972,0.4245967167842961,0.06235838985481833,0.01372392028277727,0.0233762823375845
Sample_8,0.11598372608921502,0.034371406819897025,0.019521313965920085,0.5223435096265936,0.26028667434393665,0.008060552846418172,0.01984735498528896
Sample_9,0.2802356952364133,0.29368438423308113,0.012468068784259672,0.00398697224939805,0.31468993796381545,0.08055605052119241,0.014378891011839891
Sample_10,0.26054087250352864,0.008520444810273739,0.010593053933825716,0.05637858196040089,0.12450680059029653,0.524278368430968,0.013027465351071457
Sample_11,0.38313153250891885,0.046723980195679346,0.009349244396502235,0.24056653629819494,0.21310822905059615,0.07511125985351565,0.007195122394030983
Sample_12,0.3056349364426386,0.2430540848884437,0.0164538199974062,0.10400481844905865,0.08773560151327292,0.2251678463676355,0.01794889234154454
Sample_13,0.15250886364817656,0.44853967486210017,0.008900244096399139,0.031496406852136546,0.02221804703050731,0.2535079847318561,0.013183432429288388
Sample_14,0.15710593616871904,0.006069675241731915,0.009609445973751584,0.5547251750991934,0.06178479623020147,0.1618549835242347,0.014288287795168577
Sample_15,0.03428060984271606,0.5056845535606005,0.005441617563074685,0.005062383155266657,0.26524748058913117,0.16537445638128556,0.01890889890792546
Sample_16,0.02554373701683724,0.4590163719029122,0.039030723440454336,0.11161387644107659,0.2664232189553526,0.08205050371677303,0.01632156852659418
Sample_17,0.010368680515863218,0.5159145638820866,0.02571750138115948,0.019811301717231833,0.4030725078472522,0.005161329466235304,0.01995411519017133
Sample_18,0.03999364027100489,0.022291046714499666,0.012099970142818,0.6541270063577287,0.00459015078860157,0.2101249332525699,0.029097031865183687
Sample_19,0.04632344203999388,0.1990605355690252,0.022809269498029996,0.5168347055128456,0.016825575207281795,0.16237857481670728,0.023520804599036375
Sample_20,0.09253952029387122,0.29488994839364746,0.021793548533980436,0.019346167945607097,0.029529429053729375,0.5288335010219174,0.01306788475724676
Sample_21,0.36626502681013673,0.00920286754614292,0.009673144575845194,0.190168286700252,0.3089004395845734,0.08234478853996308,0.019477266991835603
Sample_22,0.3735513525887174,0.0382599044384636,0.004880673764307708,0.11572091381737162,0.3201050284993238,0.1415178805250898,0.0059642463667259294
Sample_23,0.2200663618167069,0.3598446161629587,0.020548937854744025,0.029170786863328305,0.18348253507031898,0.1735660731611809,0.013320689070761962
Sample_24,0.49366214538886277,0.09306964084163796,0.014907801700772275,0.25524718722441936,0.04051142377405153,0.0695610295410771,0.015119586697409901
Sample_25,0.14414634481505575,0.16488063091689453,0.010199891372699263,0.33252843444307795,0.014908911206554836,0.2828595800458363,0.011553303768864235
Sample_26,0.4887102406944157,0.09930117599222847,0.022156940440535584,0.21979579560024662,0.02360435360024985,0.13890102413709657,0.007530469535227251
Sample_27,0.35108509255517756,0.45235433187982327,0.009238848644117949,0.08464147163611259,0.030705542906999034,0.03812724863268036,0.01925850195082941
Sample_28,0.2289447905792465,0.3492942907827567,0.006237905048011399,0.2963518290631797,0.06361437548201003,0.022283407488948134,0.011070771248034766
Sample_29,0.044672430709311345,0.018482664734781922,0.03259839143781342,0.06034903805108068,0.5372156704491604,0.2962222583859349,0.01045954623191729
Sample_30,0.3044985659401588,0.40932112990949715,0.006197836604373338,0.02746446135186576,0.05846343008418034,0.1645653018050703,0.011501908066876801
Sample_31,0.16416244724293483,0.3483806733668581,0.023537886102096454,0.15256748872837447,0.2838641029900267,0.011459160945613106,0.010422814095945858
Sample_32,0.14071506296221206,0.15682545403518458,0.022999968764078834,0.3320346520938198,0.11103357667357279,0.22652321344424625,0.009868072026885567
Sample_33,0.016043440861299146,0.07200641740054048,0.2769593707211292,0.14834446081763644,0.0889465004869024,0.07474817917574271,0.2102744130797821
