,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.11847389558232932,0.01706827309236948,0.09236947791164658,0.5050200803212851,0.20281124497991967,0.014056224899598393,0.050200803212851405,0.11441953252341681,0.01599775010497023,0.05767867966508351,0.48668332003881815,0.20554102247945896,0.017629506150778837,0.03628066989938122
Sample_695,0.029087261785356068,0.32698094282848544,0.22166499498495487,0.05917753259779338,0.015045135406218655,0.2748244734202608,0.0732196589769308,0.03334258430828477,0.3437313033712497,0.23813383493880255,0.05884631682041588,0.013802620099360143,0.2488203016526018,0.06332303880928536
Sample_799,0.02208835341365462,0.21485943775100402,0.0391566265060241,0.09939759036144578,0.4598393574297189,0.04216867469879518,0.12248995983935743,0.020356334251948046,0.23166428585254187,0.030279305821809255,0.09285243650551309,0.448616529662504,0.03743120086903795,0.13879990703664583
Sample_148,0.11144578313253012,0.20481927710843373,0.02710843373493976,0.11646586345381527,0.2520080321285141,0.2600401606425703,0.028112449799196786,0.11009904931670048,0.20716031448095742,0.022537500703168952,0.12519418764803353,0.22989568773181865,0.25179533605831994,0.012432026938547348
Sample_859,0.060240963855421686,0.13855421686746988,0.007028112449799197,0.5622489959839357,0.1566265060240964,0.002008032128514056,0.07329317269076305,0.06384614885931832,0.10017191135105852,0.010310242513774586,0.5744286482752986,0.1690423027807554,0.003745425645175037,0.06502090487019174
Sample_447,0.003009027081243731,0.30992978936810434,0.012036108324974924,0.21063189568706117,0.3510531594784353,0.09528585757271815,0.01805416248746239,0.004011313579646912,0.32538677225376034,0.010393597394002847,0.19844099890665326,0.35067194620782893,0.09046024315207762,0.020635128506030036
Sample_635,0.34704112337011034,0.05115346038114343,0.023069207622868605,0.23971915747241726,0.2547642928786359,0.06920762286860582,0.015045135406218655,0.35360855272460195,0.04400525245912703,0.021848943704919944,0.24130054238195617,0.2585698622272232,0.06741600320913664,0.013250843293034912
Sample_128,0.0,0.08032128514056225,0.007028112449799197,0.7590361445783133,0.05823293172690763,0.08734939759036145,0.008032128514056224,0.006819661574215034,0.05944241982925035,0.010682953341524744,0.6865374153669952,0.07297345926493731,0.08377461571712363,0.010448872756020402
Sample_813,0.09829488465396188,0.014042126379137413,0.05717151454363089,0.05616850551654965,0.4744232698094283,0.0732196589769308,0.22668004012036108,0.08222444467213652,0.039050863551589536,0.06870463846845484,0.05943190753816803,0.4702454010927515,0.06166915609687863,0.218673588580021
Sample_439,0.004016064257028112,0.3373493975903614,0.01706827309236948,0.1827309236947791,0.25903614457831325,0.19176706827309237,0.008032128514056224,0.0059201326611440135,0.3322926927079935,0.01897160871670795,0.1733868522671629,0.26838239027729155,0.18914074499248182,0.01190557837721815
