,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
Sample_1,0.0724346076458752,0.3541247484909456,0.0120724346076458,0.317907444668008,0.2253521126760563,0.0,0.0181086519114688,0.07244716363489839,0.3192122056069167,0.006096921747095286,0.3380632474469107,0.2183188465438364,0.0054625096683238155,0.028146260300719712,Sample_1,-0.010037608389250913
Sample_2,0.2690763052208835,0.1987951807228915,0.0281124497991967,0.036144578313253,0.2831325301204819,0.1586345381526104,0.0261044176706827,0.25682978814912755,0.1627008966527512,0.03446581187910391,0.04197951523912987,0.2738708409757444,0.16397836008387257,0.02908752340726839,Sample_2,-0.002983105736585688
Sample_3,0.0321931589537223,0.4647887323943662,0.0221327967806841,0.0,0.1750503018108652,0.2957746478873239,0.0100603621730382,0.033190891438853065,0.39741000321485,0.02194081748320526,0.003050380568321075,0.18319043396105958,0.2984030147670074,0.014805012737964736,Sample_3,-0.004744650564926536
Sample_4,0.0,0.0422535211267605,0.0160965794768611,0.4728370221327967,0.4346076458752515,0.0201207243460764,0.0140845070422535,0.006851437390561696,0.0399087182405331,0.01863840931363616,0.46077483603948743,0.4390238449652543,0.01787494512876117,0.016927808921766038,Sample_4,-0.002843301879512537
Sample_5,0.6104417670682731,0.253012048192771,0.002008032128514,0.0421686746987951,0.0662650602409638,0.0,0.0261044176706827,0.5712680451624638,0.29968500331715964,0.0028356693945642665,0.0503311602096104,0.04684862391240339,0.0036020034198903624,0.025429494583908092,Sample_5,0.0006749230867746092
Sample_6,0.2701612903225806,0.0282258064516129,0.0,0.1653225806451612,0.0,0.5342741935483871,0.002016129032258,0.2839968555969905,0.030558914286869306,0.0014340487785787339,0.16719038008783796,0.011113957787246496,0.49820980375621443,0.007496039706262626,Sample_6,-0.005479910674004626
Sample_7,0.3983903420523139,0.0744466800804829,0.0221327967806841,0.4084507042253521,0.0603621730382293,0.0120724346076458,0.0241448692152917,0.3869459291893267,0.06893187467010997,0.012361423729154077,0.40934171130883645,0.058330592519959056,0.01871510003280069,0.015078859366620588,Sample_7,0.009066009848671112
Sample_8,0.1285140562248996,0.0321285140562249,0.0281124497991967,0.5220883534136547,0.2630522088353413,0.0,0.0261044176706827,0.111280758503147,0.03934968954776072,0.02066797250116704,0.5127655129341316,0.25088072154781577,0.008607168519910093,0.01261606669947566,Sample_8,0.013488350971207042
Sample_9,0.282258064516129,0.2681451612903225,0.0120967741935483,0.0,0.3346774193548387,0.0806451612903225,0.0221774193548387,0.28483370712652833,0.30679691886526744,0.014795622682272348,0.003837002385900629,0.2962677075637561,0.08037304372588748,0.013095997650387574,Sample_9,0.009081421704451127
Sample_10,0.2600806451612903,0.0,0.002016129032258,0.0524193548387096,0.1350806451612903,0.5282258064516129,0.0221774193548387,0.24695118285868004,0.020048479247399702,0.010517643880916193,0.05311452085817242,0.12073447718615438,0.5365895565689622,0.012044139399715104,Sample_10,0.010133279955123597
Sample_11,0.380281690140845,0.0643863179074446,0.0040241448692152,0.2313883299798792,0.2414486921529175,0.0603621730382293,0.0181086519114688,0.3940035947471131,0.06475965933479802,0.009621461707900868,0.23390732561336045,0.21577890528086976,0.06780433709511899,0.011178769546796783,Sample_11,0.006929882364672017
Sample_12,0.3205645161290322,0.2076612903225806,0.0141129032258064,0.0987903225806451,0.0927419354838709,0.2379032258064516,0.0282258064516129,0.3190767805318119,0.2472479820019381,0.018390445540140018,0.10898670694854243,0.08564951261313133,0.2076474972382678,0.013001075126168549,Sample_12,0.01522473132544435
Sample_13,0.1373737373737373,0.5313131313131313,0.006060606060606,0.0282828282828282,0.0202020202020202,0.2646464646464646,0.0121212121212121,0.15438897601549245,0.4724900647219502,0.007923592594377315,0.03079642106252987,0.019226905353901314,0.2617898153188419,0.013509510115451057,Sample_13,-0.001388297994238957
