,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
Sample_1,0.07244716363489839,0.3192122056069167,0.006096921747095286,0.3380632474469107,0.2183188465438364,0.0054625096683238155,0.028146260300719712
Sample_2,0.25682978814912755,0.1627008966527512,0.03446581187910391,0.04197951523912987,0.2738708409757444,0.16397836008387257,0.02908752340726839
Sample_3,0.033190891438853065,0.39741000321485,0.02194081748320526,0.003050380568321075,0.18319043396105958,0.2984030147670074,0.014805012737964736
Sample_4,0.006851437390561696,0.0399087182405331,0.01863840931363616,0.46077483603948743,0.4390238449652543,0.01787494512876117,0.016927808921766038
Sample_5,0.5712680451624638,0.29968500331715964,0.0028356693945642665,0.0503311602096104,0.04684862391240339,0.0036020034198903624,0.025429494583908092
Sample_6,0.2839968555969905,0.030558914286869306,0.0014340487785787339,0.16719038008783796,0.011113957787246496,0.49820980375621443,0.007496039706262626
Sample_7,0.3869459291893267,0.06893187467010997,0.012361423729154077,0.40934171130883645,0.058330592519959056,0.01871510003280069,0.015078859366620588
Sample_8,0.111280758503147,0.03934968954776072,0.02066797250116704,0.5127655129341316,0.25088072154781577,0.008607168519910093,0.01261606669947566
Sample_9,0.28483370712652833,0.30679691886526744,0.014795622682272348,0.003837002385900629,0.2962677075637561,0.08037304372588748,0.013095997650387574
Sample_10,0.24695118285868004,0.020048479247399702,0.010517643880916193,0.05311452085817242,0.12073447718615438,0.5365895565689622,0.012044139399715104
Sample_11,0.3940035947471131,0.06475965933479802,0.009621461707900868,0.23390732561336045,0.21577890528086976,0.06780433709511899,0.011178769546796783
Sample_12,0.3190767805318119,0.2472479820019381,0.018390445540140018,0.10898670694854243,0.08564951261313133,0.2076474972382678,0.013001075126168549
Sample_13,0.15438897601549245,0.4724900647219502,0.007923592594377315,0.03079642106252987,0.019226905353901314,0.2617898153188419,0.013509510115451057
Sample_14,0.15581012568377378,0.017679359109429953,0.009826394058674831,0.6012574148205003,0.05657173241704851,0.14587593377358235,0.012979040136990444
Sample_15,0.03664492257577966,0.5122505571249929,0.005156009995326871,0.005980158757065755,0.257981659216381,0.15688328075658262,0.025103411573871276
Sample_16,0.022983628284338333,0.5041545242163753,0.023177996879444582,0.09608028183776716,0.2602343074209828,0.07897167101226861,0.01439759034882317
Sample_17,0.0122453659571962,0.529888174724005,0.026704557619337342,0.014720579673851163,0.3805823235459373,0.005292425349557114,0.030566573130115755
Sample_18,0.0378066891272308,0.03407898207805229,0.006935557371870841,0.668995388541547,0.004727789322295554,0.21433342748978026,0.01964886963321891
Sample_19,0.03581210796318674,0.207462188161127,0.022682022848694895,0.5209737718303515,0.019685486476455204,0.15845714884270262,0.014631714361337183
Sample_20,0.08320616066883907,0.29445165357397907,0.01903446007537413,0.019294170383207555,0.03141222452629792,0.539406046882086,0.013195283890216389
Sample_21,0.35357573459484054,0.03084016363688123,0.007663259801339512,0.1964219528265455,0.29372183848548317,0.09016880346438595,0.027608247190524113
