,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.09839357429718876,0.12349397590361445,0.06827309236947791,0.08032128514056225,0.32028112449799195,0.023092369477911646,0.286144578313253,0.09145844393260141,0.13983560934942368,0.06446028262774982,0.08757376157976787,0.3198598174281955,0.01934702931832928,0.2774650557639323
Sample_695,0.02404809619238477,0.04909819639278557,0.2535070140280561,0.3076152304609218,0.033066132264529056,0.23847695390781562,0.09418837675350701,0.017889508266975832,0.050004149884533514,0.2551673504428418,0.2972148971082925,0.04031185840186491,0.23826333416285234,0.1011489017326391
Sample_799,0.43373493975903615,0.01606425702811245,0.1757028112449799,0.0893574297188755,0.06927710843373494,0.18875502008032127,0.02710843373493976,0.44233108213672784,0.024645575672262044,0.1654170617579112,0.09474925004449662,0.06327103893399925,0.19170095946618412,0.017885031988418766
Sample_148,0.17771084337349397,0.3132530120481928,0.02710843373493976,0.11044176706827309,0.12550200803212852,0.2178714859437751,0.028112449799196786,0.18700103462850626,0.308213471854446,0.024707882212466246,0.11742243448721494,0.11988237830923272,0.20921088300347188,0.03356191550466215
Sample_859,0.32898696088264795,0.1424272818455366,0.004012036108324975,0.04312938816449348,0.31293881644934807,0.04012036108324975,0.1283851554663992,0.3276051215414764,0.12318567431280138,0.007288110498629505,0.04592295172613759,0.31126436828111975,0.0415701209761814,0.12495586793243238
Sample_447,0.14558232931726908,0.14156626506024098,0.012048192771084338,0.03413654618473896,0.41967871485943775,0.2289156626506024,0.018072289156626505,0.13149844095347896,0.12116135184614621,0.015787296558277486,0.03722003533909327,0.43389125381634863,0.23341741845810887,0.019842118747061422
Sample_635,0.1798994974874372,0.38190954773869346,0.023115577889447236,0.1185929648241206,0.1507537688442211,0.1306532663316583,0.01507537688442211,0.17490584582431903,0.35765005073879713,0.024079801709464305,0.12338939565384752,0.1382549344188591,0.12003867658890699,0.033306988273525885
Sample_128,0.05421686746987952,0.0,0.007028112449799197,0.05220883534136546,0.3865461847389558,0.4919678714859438,0.008032128514056224,0.04940908178421449,0.01294958654822595,0.011742004462833132,0.04846413142462964,0.39949729422017544,0.4665587664478357,0.011379135112085608
Sample_813,0.02708124373119358,0.009027081243731194,0.15947843530591777,0.1765295887662989,0.5325977933801405,0.044132397191574725,0.05115346038114343,0.024389776042649372,0.02169651012483997,0.1355010018478376,0.17027880575222087,0.5176301800727104,0.05296458245852635,0.050708897650717406
Sample_439,0.024096385542168676,0.2469879518072289,0.01706827309236948,0.4186746987951807,0.10441767068273092,0.18072289156626506,0.008032128514056224,0.025001298539128716,0.20135691027155175,0.01980495150536916,0.41001553438050053,0.09636946302546777,0.16617237111549435,0.01279225447422122
Sample_748,0.009027081243731194,0.05717151454363089,0.08926780341023069,0.23069207622868607,0.026078234704112337,0.24172517552657974,0.3460381143430291,0.012507683417048698,0.08187578516727081,0.11225921361531982,0.231326180967704,0.02908354133235474,0.2555100894823935,0.27743750601790845
Sample_529,0.14944834503510532,0.024072216649949848,0.0,0.5506519558676028,0.24874623871614845,0.015045135406218655,0.012036108324974924,0.1214418741911014,0.02881009780084774,0.006378044334925851,0.5622054188382025,0.24788563983027365,0.016783427516709495,0.012953284142967418
Sample_559,0.23694779116465864,0.02108433734939759,0.028112449799196786,0.11044176706827309,0.48493975903614456,0.09337349397590361,0.025100401606425703,0.23520291020104056,0.024989160970346033,0.030442827558877665,0.1008713121344992,0.47931678837641617,0.09653780039790674,0.032639200360913515
Sample_593,0.18775100401606426,0.14759036144578314,0.024096385542168676,0.12650602409638553,0.463855421686747,0.024096385542168676,0.02610441767068273,0.1823337338701909,0.15907782081034233,0.025144038988560522,0.13073325130976135,0.4562210882282151,0.02715554098040411,0.019334525812525538
Sample_500,0.12024048096192384,0.2745490981963928,0.001002004008016032,0.21142284569138275,0.1282565130260521,0.24348697394789579,0.021042084168336674,0.11468941871813669,0.2754942606608135,0.005772502070840965,0.22207847394182537,0.1296086766222473,0.2343654040539302,0.01799126393220581
Sample_506,0.5226130653266332,0.16482412060301507,0.01407035175879397,0.0964824120603015,0.10854271356783919,0.0814070351758794,0.012060301507537688,0.4879742166181203,0.18122237992162732,0.014101542406464704,0.09979331556293133,0.10895969234573918,0.07635873476678033,0.011070856369182635
Sample_46,0.17835671342685372,0.0,0.017034068136272545,0.2595190380761523,0.07915831663326653,0.46092184368737477,0.00501002004008016,0.19134071080361417,0.008139761770095597,0.019580709474604732,0.253794481893142,0.08339229730805181,0.4375579506293768,0.006194088121114895
Sample_21,0.09027081243731194,0.025075225677031094,0.006018054162487462,0.0,0.6619859578736209,0.19658976930792377,0.020060180541624874,0.07774626481486134,0.034043710538824545,0.005751018845556322,0.0031502920319965043,0.6559254702870948,0.20908014114569967,0.014303102335966883
Sample_307,0.017085427135678392,0.20904522613065327,0.011055276381909548,0.2633165829145729,0.12261306532663317,0.3577889447236181,0.019095477386934675,0.01727534439060825,0.19490490189402715,0.014609662927541405,0.25373454805203965,0.12644660564186477,0.32871824639890734,0.018190859586441076
Sample_63,0.0,0.03911735205616851,0.01805416248746239,0.38415245737211634,0.275827482447342,0.2748244734202608,0.00802407221664995,0.004929216474914611,0.034671070267335416,0.02047062336973569,0.37268213303865216,0.2762001904028968,0.2793616136869666,0.011685152759498869
Sample_619,0.34036144578313254,0.02108433734939759,0.028112449799196786,0.4267068273092369,0.1536144578313253,0.025100401606425703,0.0050200803212851405,0.3466338942824309,0.01517647485948336,0.02359628442343663,0.3960245829664549,0.15925740678601133,0.02260929482100148,0.009901083561381944
Sample_796,0.13152610441767068,0.12449799196787148,0.1214859437751004,0.023092369477911646,0.10542168674698796,0.08333333333333333,0.4106425702811245,0.1367751972750285,0.1352362580392003,0.1434955246466645,0.02365668600260418,0.10424524710904115,0.06613536720463686,0.39045571972282456
Sample_106,0.11345381526104417,0.5080321285140562,0.009036144578313253,0.0321285140562249,0.0,0.3152610441767068,0.02208835341365462,0.11410655522621346,0.5224598959999782,0.011434029957416963,0.031178377401697953,0.0035390446856633016,0.292290161014138,0.02499193571489198
Sample_871,0.08241206030150754,0.2974874371859296,0.04723618090452261,0.16180904522613065,0.32261306532663314,0.08743718592964825,0.0010050251256281408,0.09177303036148517,0.2676703616042838,0.044851451461872124,0.15608517302898925,0.3278199064648316,0.0899287704194023,0.009703321915600298
Sample_349,0.003009027081243731,0.20260782347041123,0.0020060180541624875,0.600802407221665,0.119358074222668,0.06619859578736209,0.006018054162487462,0.0065617350039384355,0.17429828638090636,0.005974690573666781,0.5619403387825974,0.11388560908477413,0.06534370444485593,0.01434386092856662
Sample_483,0.09619238476953908,0.35771543086172347,0.022044088176352707,0.1683366733466934,0.022044088176352707,0.3076152304609218,0.026052104208416832,0.10447475877646126,0.35307353042067036,0.02106515613082117,0.16900868272146322,0.027023911431759712,0.2994154688804458,0.025938491638378428
Sample_573,0.023092369477911646,0.13253012048192772,0.0,0.24397590361445784,0.33232931726907633,0.2469879518072289,0.02108433734939759,0.020863341010064984,0.1237040329730992,0.0058692779302763195,0.24367079643229256,0.33441168178812514,0.24606754349900883,0.022722827608903134
Sample_396,0.4528112449799197,0.01104417670682731,0.01104417670682731,0.20080321285140562,0.12048192771084337,0.17670682730923695,0.02710843373493976,0.43186591497778376,0.012511328781092238,0.00817222020288893,0.19446697423377104,0.10413880192619236,0.1657272340323158,0.02826598071034736
Sample_198,0.06325301204819277,0.13253012048192772,0.012048192771084338,0.3132530120481928,0.26305220883534136,0.21084337349397592,0.0050200803212851405,0.0686732937638492,0.1472462319993758,0.009781004838119684,0.3201957352069132,0.24159153805583508,0.20203477819078375,0.006262540047426812
Sample_797,0.055165496489468405,0.025075225677031094,0.06018054162487462,0.2046138415245737,0.05616850551654965,0.571715145436309,0.02708124373119358,0.05384218949447971,0.014121844930209342,0.047074536017856765,0.22444464546516074,0.07109186122150213,0.548297745711439,0.04112717715935234
Sample_181,0.0,0.29689067201604813,0.02106318956870612,0.1855566700100301,0.2086258776328987,0.2748244734202608,0.013039117352056168,0.003047592023520803,0.30514352829410557,0.02149177028770347,0.1813098654445877,0.20032332899967722,0.2745361084048455,0.014147806545559536
Sample_270,0.04513540621865597,0.2637913741223671,0.028084252758274825,0.18455366098294884,0.41424272818455365,0.04714142427281846,0.017051153460381142,0.038653151152668416,0.3059898102114072,0.018466252012279263,0.17905243925504694,0.3874281878245406,0.05082102329012058,0.019589136253937073
Sample_520,0.286144578313253,0.3232931726907631,0.0,0.1927710843373494,0.14457831325301204,0.0321285140562249,0.02108433734939759,0.2837747525461823,0.3091596642901567,0.0039111338157157794,0.19332095551354858,0.14473996052134666,0.039779332993675566,0.025314200319374317
Sample_511,0.6887550200803213,0.03815261044176707,0.014056224899598393,0.001004016064257028,0.22991967871485944,0.0030120481927710845,0.025100401606425703,0.6435467225685881,0.03920971851256817,0.02291611122851123,0.0036888926858543616,0.23668517811197015,0.004957788817115547,0.024029154071386175
Sample_388,0.13239719157472418,0.3711133400200602,0.004012036108324975,0.19157472417251756,0.160481444332999,0.11534603811434303,0.025075225677031094,0.13372864943746707,0.3716903611812206,0.004316533380265242,0.1935257718448972,0.16310510711012668,0.11254550581057131,0.02108807123545179
Sample_996,0.006018054162487462,0.2888665997993982,0.24172517552657974,0.020060180541624874,0.21163490471414242,0.12637913741223672,0.10531594784353059,0.005218585981469686,0.3063224255233628,0.23027000053012778,0.02369616692618597,0.20718573281675537,0.11599733376329074,0.11130975445880774
Sample_15,0.0,0.1424272818455366,0.0,0.6188565697091274,0.04212637913741224,0.17953861584754263,0.017051153460381142,0.004863936648833378,0.13888417797923328,0.006719246551682681,0.6138419313745328,0.046928621282516764,0.169077407539406,0.01968467862379511
Sample_842,0.07931726907630522,0.010040160642570281,0.060240963855421686,0.4086345381526104,0.060240963855421686,0.1746987951807229,0.20682730923694778,0.07718503778461155,0.04052429707440844,0.06132033045902953,0.39568865525075003,0.056367593419069065,0.1765793855084119,0.18510979772106478
Sample_485,0.1686746987951807,0.1285140562248996,0.029116465863453816,0.010040160642570281,0.1606425702811245,0.4879518072289157,0.015060240963855422,0.15215711408610572,0.1418283877910163,0.028814098334404174,0.012967077212766404,0.15102682119685926,0.489940624308388,0.023265877070460197
