,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
Sample_1,0.0724346076458752,0.3541247484909456,0.0120724346076458,0.317907444668008,0.2253521126760563,0.0,0.0181086519114688,0.08476292105511354,0.30222738125543774,0.006957473116077936,0.3300728134404365,0.22679182534400066,0.006946080320716884,0.025058082958172787,Sample_1,-0.006949431046703987
Sample_2,0.2690763052208835,0.1987951807228915,0.0281124497991967,0.036144578313253,0.2831325301204819,0.1586345381526104,0.0261044176706827,0.2659457032765199,0.19575969151304998,0.02849256137876856,0.0395610426066212,0.2820085962670444,0.15550083219243357,0.027560644664166443,Sample_2,-0.0014562269934837412
Sample_3,0.0321931589537223,0.4647887323943662,0.0221327967806841,0.0,0.1750503018108652,0.2957746478873239,0.0100603621730382,0.03342746431132057,0.3975427185977758,0.01963835611134256,0.0025743086857027767,0.18190389250857406,0.28832698776430676,0.011938397557355335,Sample_3,-0.0018780353843171355
Sample_4,0.0,0.0422535211267605,0.0160965794768611,0.4728370221327967,0.4346076458752515,0.0201207243460764,0.0140845070422535,0.009460002772652035,0.03466200089608303,0.01876140024989467,0.45702903284652896,0.443744610153104,0.015737644640156805,0.016529566083557996,Sample_4,-0.0024450590413044957
Sample_5,0.6104417670682731,0.253012048192771,0.002008032128514,0.0421686746987951,0.0662650602409638,0.0,0.0261044176706827,0.5973451950507682,0.2883560401892346,0.0018744730262247589,0.050474196525843465,0.04326132106699911,0.0027303825690099992,0.015958391571919812,Sample_5,0.01014602609876289
Sample_6,0.2701612903225806,0.0282258064516129,0.0,0.1653225806451612,0.0,0.5342741935483871,0.002016129032258,0.28667357346831945,0.03087297296707823,0.0011200584906793769,0.1694676255887578,0.007378031476355084,0.49519957883078064,0.009288159178029474,Sample_6,-0.0072720301457714735
Sample_7,0.3983903420523139,0.0744466800804829,0.0221327967806841,0.4084507042253521,0.0603621730382293,0.0120724346076458,0.0241448692152917,0.37983138716391107,0.08504939601283626,0.013814494238274183,0.41966672211681066,0.05426140320754457,0.01518860845013735,0.018599629848134337,Sample_7,0.005545239367157364
Sample_8,0.1285140562248996,0.0321285140562249,0.0281124497991967,0.5220883534136547,0.2630522088353413,0.0,0.0261044176706827,0.12538830770708684,0.03903795470167434,0.018552385514479613,0.5214400579736557,0.25357873944411374,0.006147973413908542,0.011118779576175237,Sample_8,0.014985638094507465
Sample_9,0.282258064516129,0.2681451612903225,0.0120967741935483,0.0,0.3346774193548387,0.0806451612903225,0.0221774193548387,0.2630488127862591,0.2803935944002591,0.013310021972526155,0.003022689222950251,0.3171353284987288,0.08505088623256261,0.012844116859247044,Sample_9,0.009333302495591656
Sample_10,0.2600806451612903,0.0,0.002016129032258,0.0524193548387096,0.1350806451612903,0.5282258064516129,0.0221774193548387,0.2680391587243023,0.02136705400566555,0.007637559179521389,0.05398478757991616,0.12552419725096378,0.5120751236270729,0.011372119632557737,Sample_10,0.010805299722280963
Sample_11,0.380281690140845,0.0643863179074446,0.0040241448692152,0.2313883299798792,0.2414486921529175,0.0603621730382293,0.0181086519114688,0.36494055415775073,0.05890540650419843,0.00828969922792257,0.2317180868471679,0.2173316609025777,0.0718407124883385,0.00733251546556084,Sample_11,0.010776136445907959
Sample_12,0.3205645161290322,0.2076612903225806,0.0141129032258064,0.0987903225806451,0.0927419354838709,0.2379032258064516,0.0282258064516129,0.30574771601178025,0.26759526315707477,0.017570181976014104,0.0942274506152671,0.08363260203932514,0.21457163464974557,0.016655151550792946,Sample_12,0.011570654900819953
Sample_13,0.1373737373737373,0.5313131313131313,0.006060606060606,0.0282828282828282,0.0202020202020202,0.2646464646464646,0.0121212121212121,0.1562105354909752,0.49706216657013896,0.006779851364148931,0.03130539004791686,0.0163367882579212,0.2733220620546198,0.01898320621427913,Sample_13,-0.006861994093067031
