,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
Sample_1,0.08476292105511354,0.30222738125543774,0.006957473116077936,0.3300728134404365,0.22679182534400066,0.006946080320716884,0.025058082958172787
Sample_2,0.2659457032765199,0.19575969151304998,0.02849256137876856,0.0395610426066212,0.2820085962670444,0.15550083219243357,0.027560644664166443
Sample_3,0.03342746431132057,0.3975427185977758,0.01963835611134256,0.0025743086857027767,0.18190389250857406,0.28832698776430676,0.011938397557355335
Sample_4,0.009460002772652035,0.03466200089608303,0.01876140024989467,0.45702903284652896,0.443744610153104,0.015737644640156805,0.016529566083557996
Sample_5,0.5973451950507682,0.2883560401892346,0.0018744730262247589,0.050474196525843465,0.04326132106699911,0.0027303825690099992,0.015958391571919812
Sample_6,0.28667357346831945,0.03087297296707823,0.0011200584906793769,0.1694676255887578,0.007378031476355084,0.49519957883078064,0.009288159178029474
Sample_7,0.37983138716391107,0.08504939601283626,0.013814494238274183,0.41966672211681066,0.05426140320754457,0.01518860845013735,0.018599629848134337
Sample_8,0.12538830770708684,0.03903795470167434,0.018552385514479613,0.5214400579736557,0.25357873944411374,0.006147973413908542,0.011118779576175237
Sample_9,0.2630488127862591,0.2803935944002591,0.013310021972526155,0.003022689222950251,0.3171353284987288,0.08505088623256261,0.012844116859247044
Sample_10,0.2680391587243023,0.02136705400566555,0.007637559179521389,0.05398478757991616,0.12552419725096378,0.5120751236270729,0.011372119632557737
Sample_11,0.36494055415775073,0.05890540650419843,0.00828969922792257,0.2317180868471679,0.2173316609025777,0.0718407124883385,0.00733251546556084
Sample_12,0.30574771601178025,0.26759526315707477,0.017570181976014104,0.0942274506152671,0.08363260203932514,0.21457163464974557,0.016655151550792946
Sample_13,0.1562105354909752,0.49706216657013896,0.006779851364148931,0.03130539004791686,0.0163367882579212,0.2733220620546198,0.01898320621427913
Sample_14,0.15717213071813613,0.014525018491234712,0.00898131773763181,0.5782270497610295,0.05860460500811327,0.14310971179186804,0.017211539017084797
Sample_15,0.03069913061193714,0.4946966543360208,0.005963268433080624,0.003740665229163351,0.2752554047162963,0.16783679664174975,0.02180808003175235
Sample_16,0.023788494858666725,0.5005575011569781,0.027757251563105944,0.09513830148853522,0.2588415972401214,0.07603380356202394,0.017883050130568727
Sample_17,0.01387073967716842,0.5208904204831004,0.03033213194741928,0.015667554231365583,0.3763899207209876,0.0038684061033440152,0.02331552313053223
Sample_18,0.03531078191700719,0.039989424427086646,0.007608047248623404,0.6452189044034605,0.004186665968188449,0.20258307953853577,0.041726374185214694
Sample_19,0.044835557449073665,0.19720505901958335,0.023415341966032725,0.48958981394215256,0.010052035678675965,0.16398475318656455,0.015201842743881375
Sample_20,0.08689676962065247,0.28648302945505155,0.0162182460157853,0.020308149946931208,0.02949920001656547,0.5306962941605071,0.029898310784506953
Sample_21,0.3854007747857514,0.01714353871149958,0.007362669338241206,0.18858216207095005,0.29612274350285994,0.08317509923300487,0.022213012357693112
Sample_22,0.3782253524142767,0.040750943603541215,0.005433391933674273,0.10461018470431548,0.31815884951047224,0.14271874950361205,0.010102528330108045
Sample_23,0.21445342074796056,0.3587262036359375,0.01818038820985866,0.03276976245308017,0.18908953072215617,0.1731848239543676,0.013595870276639388
Sample_24,0.475653673241081,0.07897636960123001,0.014750489295713763,0.2601006408971234,0.03677510963391311,0.07092318172704373,0.01715010556324272
Sample_25,0.1438313185541372,0.1609566592374756,0.01127013432243548,0.35669582526084925,0.014801618312608225,0.2995926950917443,0.012851749220750105
Sample_26,0.4744259535427956,0.11002011490172457,0.0266394481041323,0.2170402653111544,0.020697832469212946,0.14514392329872502,0.0060324623722551474
Sample_27,0.30225968037795126,0.4340407964052139,0.009795903327552048,0.08257687938450095,0.027580412308881763,0.03570269855372453,0.02382180472707655
Sample_28,0.22079613609808188,0.34125418746581804,0.005784907480946701,0.285580061629367,0.06470952627547985,0.01542000830956716,0.013676058242389886
Sample_29,0.051860565758228463,0.027993813452739685,0.016736969926011834,0.054769258024705524,0.5448209016263694,0.2958119065956705,0.008006584616274619
Sample_30,0.3131539246027541,0.4182942531736063,0.004584740660253162,0.03086124755601923,0.06069025699606361,0.16254166004376258,0.009873916967540928
Sample_31,0.1527884513062874,0.3419736622502628,0.025157844152872554,0.15455647805204678,0.27503149091746376,0.008168106836821657,0.009229484348263987
Sample_32,0.13915148483833767,0.16502086419141018,0.022578458980457586,0.32587798470391227,0.1182104252589241,0.21696272652075538,0.01219805550620264
Sample_33,0.013509533855878877,0.10166966505767075,0.2873672028913016,0.12554535730486074,0.08325530933964863,0.08111123162849596,0.23022770293239336
Sample_34,0.17311203340061632,0.03707723199795212,0.016042530405627805,0.21839232077157456,0.2021418158086097,0.1609725864613856,0.14916053336564303
Sample_35,0.4042527681330329,0.11113703822563004,0.01592471744939966,0.09281715071907778,0.16805052068316473,0.12695902028493153,0.04692063260180981
Sample_36,0.027379104309629868,0.04058505685648616,0.03749694190962259,0.00990112893430794,0.43881135160124396,0.39802135342208794,0.047805062966621514
Sample_37,0.1274568374206641,0.021247654178455543,0.09041437421895028,0.16921504868765622,0.29636289738449323,0.2641373503245079,0.022024730697674497
Sample_38,0.1750516644059362,0.26082197967255466,0.30081080019213186,0.03381344292539849,0.06250513416881917,0.06487297944451956,0.10212399919064001
Sample_39,0.03176156325962979,0.10076733509541619,0.20088234586574572,0.16937388791654487,0.21305541650401696,0.0692000843165844,0.20873698755423345
Sample_40,0.1295430456017293,0.08789538340155827,0.09627716565881436,0.061018563349956416,0.4989695005874895,0.07156309176041667,0.054733249640035446
Sample_41,0.10657940530495437,0.07802414141738141,0.2707908363620637,0.23350851766232936,0.0063008381088795395,0.009840167733630471,0.29495609341076107
Sample_42,0.6433323860090853,0.05165615332592082,0.022255599324021633,0.07696557326021292,0.04084944744687479,0.1535940445790547,0.01134679605482988
Sample_43,0.05324518560670036,0.29726482675987737,0.086706046510585,0.018093041309170242,0.27452064309231844,0.005222488528932299,0.2649477681924161
Sample_44,0.07577217021362373,0.26847462772549624,0.013847172494214102,0.17187470897997967,0.09176172662952617,0.23070594140528863,0.05805755509269953
Sample_45,0.017512863585785864,0.24472241861500535,0.23401209960543468,0.22641702709977415,0.22205264005625894,0.013500065760568378,0.04178288527717272
Sample_46,0.02061240082104658,0.20355972448264878,0.08579997001971604,0.13587134966731074,0.02453533298925561,0.1335702512474343,0.39605097077258805
Sample_47,0.07686622885080266,0.12541036109600498,0.04462777881503789,0.002781933126173761,0.14819541798392985,0.5796179185056931,0.022500361622357964
Sample_48,0.08265137973551202,0.11253945632218537,0.031214082025884108,0.07818091655249698,0.34073594764462334,0.15012293932094609,0.2045552783983522
Sample_49,0.059064945111425626,0.15369469870024693,0.23022057976544053,0.10696742362233544,0.2164638742584302,0.0994736775082483,0.13411480103387302
Sample_50,0.06578935298805905,0.12209264322683754,0.005770071538879189,0.2162904428659632,0.2581375740057998,0.011779715808198829,0.32014019956626233
