,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.09729187562688064,0.20160481444332998,0.23470411233701102,0.17452357071213642,0.07422266800401203,0.1765295887662989,0.041123370110330994,0.11168285470223392,0.17814890145466133,0.24868736864754315,0.1707712988188301,0.07674101088574208,0.18930717492181087,0.02466139056917882
Sample_695,0.29116465863453816,0.6405622489959839,0.010040160642570281,0.018072289156626505,0.008032128514056224,0.002008032128514056,0.030120481927710843,0.2844420689628148,0.5992444689719484,0.011365661267406879,0.024897205836365642,0.010929893068333602,0.0024292335964525937,0.034290069949169125
Sample_799,0.2580321285140562,0.17670682730923695,0.25100401606425704,0.007028112449799197,0.0,0.2459839357429719,0.06124497991967871,0.226973204708078,0.20609267905336734,0.2757558845128568,0.008666941979628688,0.005047179653730147,0.2163862341499561,0.06107787594238274
Sample_148,0.0,0.06318956870611836,0.02708124373119358,0.024072216649949848,0.1123370110330993,0.7452357071213641,0.028084252758274825,0.002054460136842826,0.07699143079487537,0.04571086405289603,0.02719261184810457,0.11151232949910492,0.7155475838454542,0.020990719822722024
Sample_859,0.18473895582329317,0.0321285140562249,0.3112449799196787,0.006024096385542169,0.1757028112449799,0.21987951807228914,0.07028112449799197,0.17288358218912783,0.032557238395419075,0.28210160262128975,0.009884815172072226,0.17191284872253088,0.2539979635794306,0.07666194932012971
Sample_447,0.24373119358074222,0.32898696088264795,0.012036108324974924,0.041123370110330994,0.0641925777331996,0.29187562688064195,0.01805416248746239,0.24245866246551098,0.3317386169221822,0.014757027855716153,0.03754653727189762,0.06202331133710485,0.27634470501644526,0.012696978820803683
Sample_635,0.23847695390781562,0.021042084168336674,0.023046092184368736,0.07615230460921844,0.5,0.12625250501002003,0.01503006012024048,0.2379781031577615,0.022846696323392923,0.022595629836235618,0.07566492874780133,0.4883732438901954,0.11220170990453596,0.013744271138814346
Sample_128,0.08224674022066199,0.17953861584754263,0.007021063189568706,0.2296890672016048,0.4934804413239719,0.0,0.00802407221664995,0.09221799569977275,0.17461338759281117,0.010061490314031972,0.22430454734864175,0.481568970218511,0.0038376968721588497,0.013395911954072446
Sample_813,0.03919597989949749,0.04723618090452261,0.03819095477386935,0.1708542713567839,0.05628140703517588,0.05125628140703518,0.5969849246231156,0.04373400964721199,0.06588447943232568,0.04106557022510119,0.18317972050234047,0.0592988060058702,0.04491851557107459,0.44626356277304513
Sample_439,0.1927710843373494,0.03413654618473896,0.01706827309236948,0.013052208835341365,0.17369477911646586,0.5612449799196787,0.008032128514056224,0.21675408859070833,0.03839549006934818,0.016032935745520643,0.017949650897440935,0.1786451418448534,0.5161810934152425,0.016041599436885857
Sample_748,0.07823470411233702,0.08224674022066199,0.007021063189568706,0.49949849548645936,0.024072216649949848,0.15546639919759278,0.1534603811434303,0.09163019830702125,0.09265719400380777,0.014240915176570728,0.47530088668402076,0.03690849648484051,0.14892586240955452,0.14033644693418448
Sample_529,0.2246740220661986,0.13841524573721165,0.0,0.0802407221664995,0.1534603811434303,0.39117352056168503,0.012036108324974924,0.21528513483064365,0.14330544634466713,0.00446105535130238,0.08215887031755964,0.1609738838909743,0.36426152648985083,0.014899523646974196
Sample_559,0.6305220883534136,0.15461847389558234,0.028112449799196786,0.024096385542168676,0.10040160642570281,0.03714859437751004,0.025100401606425703,0.6240973753653488,0.15902070857575762,0.03218869695297399,0.029735061048318627,0.0964871541062412,0.03508914873995848,0.023381855211401233
Sample_593,0.04312938816449348,0.0050150451354062184,0.024072216649949848,0.2948846539618857,0.11033099297893681,0.49648946840521563,0.026078234704112337,0.04869188661593855,0.017373409096902433,0.018700938891894503,0.2758759290802211,0.11945334409391793,0.47864096136853695,0.017993247681790163
Sample_500,0.10631895687061184,0.15446339017051153,0.0010030090270812437,0.033099297893681046,0.4864593781344032,0.19759277833500502,0.02106318956870612,0.09503613673110971,0.1492866153690126,0.0045562613598995405,0.03310945762382378,0.4807612775713694,0.1863949562367269,0.013626882282432792
Sample_506,0.1312625250501002,0.05911823647294589,0.014028056112224449,0.30861723446893785,0.2875751503006012,0.187374749498998,0.012024048096192385,0.11711605121017865,0.06302435540149333,0.015711547815777726,0.29769840932576036,0.3102609764570518,0.1896546589599178,0.006534000829820279
Sample_46,0.0,0.034102306920762285,0.017051153460381142,0.559679037111334,0.17051153460381144,0.2136409227683049,0.0050150451354062184,0.006267659344289597,0.02731153464183587,0.018338615956638226,0.5314650091239763,0.16619779743537313,0.20016908919685122,0.009840252304529938
Sample_21,0.5250501002004008,0.3697394789579158,0.006012024048096192,0.0,0.0070140280561122245,0.07214428857715431,0.02004008016032064,0.5160458571155362,0.3768331336124839,0.006736169410025724,0.0022624151835255687,0.010650235858242953,0.07357906996179377,0.013893118858391864
Sample_307,0.1606425702811245,0.4979919678714859,0.01104417670682731,0.10742971887550201,0.19678714859437751,0.007028112449799197,0.019076305220883535,0.15143984016420903,0.4647772726731535,0.015912577119441326,0.10390047114565656,0.19294151244227942,0.00820466815436325,0.02093964689337619
Sample_63,0.014028056112224449,0.0,0.018036072144288578,0.31162324649298595,0.3216432865731463,0.32665330661322645,0.008016032064128256,0.014821716926584315,0.01832827446739926,0.017512407255592687,0.31846488701748216,0.3108638665826304,0.3076946661769304,0.012314181573380897
Sample_619,0.04317269076305221,0.09236947791164658,0.028112449799196786,0.15863453815261044,0.1285140562248996,0.5441767068273092,0.0050200803212851405,0.04093087058343569,0.07689726974754049,0.022576411695990235,0.16012869332723648,0.1280644372482481,0.5230274949109452,0.008696797963997008
Sample_796,0.013039117352056168,0.037111334002006016,0.5105315947843531,0.012036108324974924,0.012036108324974924,0.28986960882647944,0.12537612838515547,0.01621479174105349,0.043862806275728215,0.4896320560501109,0.014712283213588386,0.010567801785386795,0.2795204740300309,0.14548978690410141
Sample_106,0.2246740220661986,0.5536609829488466,0.009027081243731194,0.0050150451354062184,0.0,0.1855566700100301,0.022066198595787363,0.22697891224922795,0.5190446325881416,0.010501295157870955,0.004099800219684828,0.00626395493311253,0.1904535141065438,0.028120209598724306
Sample_871,0.05823293172690763,0.007028112449799197,0.1395582329317269,0.14859437751004015,0.4959839357429719,0.12550200803212852,0.025100401606425703,0.0537970818780552,0.02703677134467341,0.13395911795943977,0.15070253096609917,0.4773127531415857,0.14527129781522147,0.01192044689492535
Sample_349,0.07530120481927711,0.014056224899598393,0.002008032128514056,0.1757028112449799,0.6736947791164659,0.05321285140562249,0.006024096385542169,0.08191659736393403,0.019241764326532098,0.007845337318769146,0.16269482452311515,0.6686041065676663,0.0422944147652152,0.007785106028955053
Sample_483,0.029087261785356068,0.38214643931795383,0.022066198595787363,0.19859578736208625,0.2337011033099298,0.10832497492477432,0.026078234704112337,0.026650589092347937,0.3920621683426844,0.030028627299651955,0.19161695572243911,0.22758267190429704,0.10944873483891741,0.01886112572434017
Sample_573,0.08324974924774323,0.004012036108324975,0.0,0.21664994984954863,0.23570712136409228,0.43931795386158473,0.02106318956870612,0.07818436609623687,0.00937379407265634,0.006763116443353359,0.21729940932688868,0.23351513293200457,0.43816645755647315,0.016697723572386962
Sample_396,0.10431293881644935,0.34002006018054165,0.011033099297893681,0.007021063189568706,0.39317953861584753,0.11735205616850551,0.02708124373119358,0.11226090283651388,0.3349136057401439,0.012634594042427134,0.007513031231059328,0.37605935423157694,0.13010652144524704,0.026511990473031887
Sample_198,0.2888665997993982,0.01805416248746239,0.012036108324974924,0.1334002006018054,0.24373119358074222,0.29889669007021064,0.0050150451354062184,0.2836553744151196,0.023819241377365828,0.015295167536692819,0.13603593032926253,0.22381327657532915,0.3093657239515486,0.008015285814681335
Sample_797,0.06212424849699399,0.11923847695390781,0.04408817635270541,0.17735470941883769,0.05711422845691383,0.250501002004008,0.2895791583166333,0.06627243947954985,0.12050860258549274,0.03328389410278723,0.16558989693999152,0.07290647667799773,0.26460467848872404,0.22229252694547763
Sample_181,0.0,0.23069207622868607,0.02106318956870612,0.3149448345035105,0.3259779338014042,0.09428284854563691,0.013039117352056168,0.005966159930650124,0.23548223145278432,0.01912400045305532,0.30262358115138166,0.30886680841794945,0.10261160754641235,0.013165225251463792
Sample_270,0.21385542168674698,0.6275100401606426,0.028112449799196786,0.040160642570281124,0.04216867469879518,0.03112449799196787,0.01706827309236948,0.19876448571993185,0.5923514335472565,0.024763074753908845,0.03668831239985542,0.042575521875919564,0.030994644819311055,0.013076865746823457
Sample_520,0.11546184738955824,0.48694779116465864,0.0,0.020080321285140562,0.23694779116465864,0.11947791164658635,0.02108433734939759,0.1167147912809404,0.47927414174338273,0.006194949850252113,0.02098775787601178,0.2332412371706449,0.1263422508928054,0.017244871185962594
Sample_511,0.041123370110330994,0.009027081243731194,0.014042126379137413,0.7141424272818455,0.06118355065195587,0.1354062186559679,0.025075225677031094,0.036290044989002956,0.0262049065436638,0.011713231066797659,0.6631026298323264,0.06264450561875692,0.12357203085278387,0.015280064586972005
Sample_388,0.3634538152610442,0.2389558232931727,0.004016064257028112,0.21385542168674698,0.1465863453815261,0.008032128514056224,0.025100401606425703,0.34579303193039784,0.22169652249147573,0.005608705879260999,0.2218553968855292,0.1349713570048171,0.0075494477234960364,0.03862752480567304
Sample_996,0.4383149448345035,0.0,0.19157472417251756,0.03610832497492478,0.20661985957873621,0.07522567703109329,0.05215646940822467,0.44558586986029614,0.01817821589245818,0.1871505845283257,0.03710873181800199,0.1945388154827195,0.07674336010850924,0.040694422309689185
Sample_15,0.4559118236472946,0.32364729458917835,0.0,0.0,0.12124248496993988,0.08216432865731463,0.017034068136272545,0.4372858198062518,0.3318604704706699,0.004416556757553203,0.0024923229623096733,0.11401766158715812,0.08942010582545086,0.020507062590606594
Sample_842,0.1606425702811245,0.1686746987951807,0.12048192771084337,0.10240963855421686,0.1746987951807229,0.015060240963855422,0.2580321285140562,0.1445300712296296,0.2038024937431358,0.13007322630948287,0.09823805913572019,0.17071390193204034,0.016525179456122436,0.23611706819386874
Sample_485,0.5305917753259779,0.07221664994984955,0.029087261785356068,0.12236710130391174,0.11735205616850551,0.11334002006018054,0.015045135406218655,0.507290534657709,0.0597179366194694,0.024740133888187514,0.13447458894294126,0.11311187336596025,0.11694573160359402,0.01584967028668733
Sample_608,0.5612449799196787,0.23694779116465864,0.029116465863453816,0.08433734939759036,0.03413654618473896,0.03714859437751004,0.01706827309236948,0.5349130700462452,0.22400805768750987,0.0235681275278502,0.09465054950467919,0.03613647191098729,0.032575924241482326,0.015941037155597117
Sample_312,0.11835506519558676,0.11735205616850551,0.010030090270812437,0.0160481444332999,0.07522567703109329,0.6429287863590772,0.020060180541624874,0.11419747456385841,0.1094105320592051,0.01716388272933318,0.019367911027696985,0.08106748270114505,0.6439019189942259,0.01489079792453551
Sample_121,0.0,0.5281124497991968,0.01606425702811245,0.014056224899598393,0.16666666666666666,0.2640562248995984,0.01104417670682731,0.0027617337405773596,0.5263094277248701,0.017499036070226768,0.014172089151628159,0.1723254677157101,0.2472829213912378,0.0152093804685383
Sample_558,0.2,0.4030150753768844,0.016080402010050253,0.03819095477386935,0.0814070351758794,0.2371859296482412,0.024120603015075376,0.2096722989307856,0.4031700897544611,0.02093607680991874,0.03868180580716622,0.07262510295949022,0.23766509466722754,0.016469586628962155
Sample_850,0.17034068136272545,0.09318637274549098,0.006012024048096192,0.04308617234468938,0.02004008016032064,0.49298597194388777,0.1743486973947896,0.16516463119774258,0.10072197686020697,0.011147716716869883,0.05014715745766067,0.021383914282040492,0.4860305444081832,0.1653762107481351
Sample_887,0.13139418254764293,0.1283851554663992,0.09027081243731194,0.0712136409227683,0.19558676028084251,0.35907723169508526,0.024072216649949848,0.12015921494346524,0.13845776889572797,0.08615347737487587,0.06827222294036021,0.19672076009163633,0.3663359057090688,0.02390065004486547
Sample_267,0.025075225677031094,0.058174523570712136,0.020060180541624874,0.7251755265797393,0.08224674022066199,0.06920762286860582,0.020060180541624874,0.026498888567704437,0.04987630449030452,0.01664661533316363,0.6352538690225894,0.0893080379052434,0.05536921329492909,0.015172925762489122
Sample_798,0.14558232931726908,0.06726907630522089,0.0642570281124498,0.03413654618473896,0.25100401606425704,0.2419678714859438,0.19578313253012047,0.13765601827993748,0.05357910674507032,0.0804233874109424,0.031736902096294116,0.267837861752934,0.24700517059146126,0.18176155312336031
Sample_329,0.031093279839518557,0.6710130391173521,0.003009027081243731,0.022066198595787363,0.0712136409227683,0.1765295887662989,0.025075225677031094,0.03447995115684296,0.613758523604697,0.0032619945770239146,0.022131639309131534,0.06995058348904142,0.1875109302784113,0.034326024723435454
Sample_604,0.01606425702811245,0.6475903614457831,0.024096385542168676,0.1566265060240964,0.0893574297188755,0.04216867469879518,0.024096385542168676,0.02089803483538566,0.6200044047568269,0.026334495154650514,0.1528682001800117,0.08827922233115972,0.043190343154856974,0.043151875321684866
Sample_496,0.6060301507537689,0.11256281407035176,0.01507537688442211,0.011055276381909548,0.09849246231155778,0.15477386934673368,0.0020100502512562816,0.605060312206739,0.0699415535822512,0.021214377136181236,0.010967893563209744,0.09324926788487674,0.15624850323707667,0.00647301171631724
Sample_865,0.3059177532597793,0.20561685055165496,0.010030090270812437,0.1675025075225677,0.029087261785356068,0.13941825476429287,0.1424272818455366,0.2758827931721094,0.23223817731024765,0.012485141318990957,0.16613131445155468,0.030809000466788923,0.12584247228377843,0.15661110099653017
Sample_392,0.009027081243731194,0.2848545636910732,0.012036108324974924,0.45235707121364094,0.048144433299899696,0.19157472417251756,0.0020060180541624875,0.00863046774647535,0.2900218263676688,0.008462612032804772,0.4472645589064587,0.04916322464632833,0.18735172459024976,0.009105585710014179
Sample_816,0.1283851554663992,0.2587763289869609,0.16449348044132397,0.20561685055165496,0.08324974924774323,0.08826479438314945,0.0712136409227683,0.12288083051820849,0.1942430507358715,0.15660275983257146,0.2082760645000072,0.08408612119240969,0.09397123376727683,0.09602152232847946
