,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
Sample_1,0.0724346076458752,0.3541247484909456,0.0120724346076458,0.317907444668008,0.2253521126760563,0.0,0.0181086519114688,0.06710592618847812,0.3035593206970805,0.007169761046671513,0.31613548769320865,0.21492622041965426,0.0046791632885400565,0.01849833427731535,Sample_1,-0.0003896823658465498
Sample_2,0.2690763052208835,0.1987951807228915,0.0281124497991967,0.036144578313253,0.2831325301204819,0.1586345381526104,0.0261044176706827,0.27582836359456236,0.17789369899203478,0.027732034993052924,0.03693270578957844,0.29004604887656216,0.15655362298997036,0.03501352476423904,Sample_2,-0.008909107093556336
Sample_3,0.0321931589537223,0.4647887323943662,0.0221327967806841,0.0,0.1750503018108652,0.2957746478873239,0.0100603621730382,0.030582248882801952,0.4185898755761508,0.026819417730970775,0.004187492300466494,0.1756408485221947,0.3003281541792903,0.015175358727478966,Sample_3,-0.005114996554440766
Sample_4,0.0,0.0422535211267605,0.0160965794768611,0.4728370221327967,0.4346076458752515,0.0201207243460764,0.0140845070422535,0.005035022267271386,0.030815100530029494,0.021074266768190342,0.4851213767841007,0.42691863048791223,0.013733986438448108,0.017301616724047782,Sample_4,-0.0032171096817942817
Sample_5,0.6104417670682731,0.253012048192771,0.002008032128514,0.0421686746987951,0.0662650602409638,0.0,0.0261044176706827,0.5827143039578595,0.28667892516374727,0.003423985558694967,0.0511929998135945,0.046664700546807256,0.007938136945759566,0.021386948013537018,Sample_5,0.0047174696571456835
Sample_6,0.2701612903225806,0.0282258064516129,0.0,0.1653225806451612,0.0,0.5342741935483871,0.002016129032258,0.2874386781773596,0.04512527084855376,0.0015309456433323227,0.16088148027275587,0.004098605414134465,0.4949299632708712,0.005995056372992661,Sample_6,-0.003978927340734661
Sample_7,0.3983903420523139,0.0744466800804829,0.0221327967806841,0.4084507042253521,0.0603621730382293,0.0120724346076458,0.0241448692152917,0.3733181868681547,0.06348724917394752,0.01440583117905809,0.42832241466765725,0.06015680174139543,0.015465948399531318,0.020624476954003417,Sample_7,0.0035203922612882833
Sample_8,0.1285140562248996,0.0321285140562249,0.0281124497991967,0.5220883534136547,0.2630522088353413,0.0,0.0261044176706827,0.14098629332896626,0.04133217652426358,0.01885336801355033,0.5185310487252821,0.2554121758051522,0.010753680973696167,0.014131256629089246,Sample_8,0.011973161041593456
Sample_9,0.282258064516129,0.2681451612903225,0.0120967741935483,0.0,0.3346774193548387,0.0806451612903225,0.0221774193548387,0.272611284834304,0.30253127075858116,0.013952361215516667,0.0034425772006432846,0.3080211786036189,0.0867316449807991,0.012709682406536913,Sample_9,0.009467736948301787
Sample_10,0.2600806451612903,0.0,0.002016129032258,0.0524193548387096,0.1350806451612903,0.5282258064516129,0.0221774193548387,0.261579421450319,0.020331827702356847,0.01056196570143123,0.04828989676688703,0.12638347791057447,0.5219827981045011,0.010870612363930282,Sample_10,0.011306806990908419
