,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
Sample_1,0.06710592618847812,0.3035593206970805,0.007169761046671513,0.31613548769320865,0.21492622041965426,0.0046791632885400565,0.01849833427731535
Sample_2,0.27582836359456236,0.17789369899203478,0.027732034993052924,0.03693270578957844,0.29004604887656216,0.15655362298997036,0.03501352476423904
Sample_3,0.030582248882801952,0.4185898755761508,0.026819417730970775,0.004187492300466494,0.1756408485221947,0.3003281541792903,0.015175358727478966
Sample_4,0.005035022267271386,0.030815100530029494,0.021074266768190342,0.4851213767841007,0.42691863048791223,0.013733986438448108,0.017301616724047782
Sample_5,0.5827143039578595,0.28667892516374727,0.003423985558694967,0.0511929998135945,0.046664700546807256,0.007938136945759566,0.021386948013537018
Sample_6,0.2874386781773596,0.04512527084855376,0.0015309456433323227,0.16088148027275587,0.004098605414134465,0.4949299632708712,0.005995056372992661
Sample_7,0.3733181868681547,0.06348724917394752,0.01440583117905809,0.42832241466765725,0.06015680174139543,0.015465948399531318,0.020624476954003417
Sample_8,0.14098629332896626,0.04133217652426358,0.01885336801355033,0.5185310487252821,0.2554121758051522,0.010753680973696167,0.014131256629089246
Sample_9,0.272611284834304,0.30253127075858116,0.013952361215516667,0.0034425772006432846,0.3080211786036189,0.0867316449807991,0.012709682406536913
Sample_10,0.261579421450319,0.020331827702356847,0.01056196570143123,0.04828989676688703,0.12638347791057447,0.5219827981045011,0.010870612363930282
Sample_11,0.3824059378808686,0.06414466848883307,0.007324000284686731,0.24018676926390706,0.2239630627177277,0.07647903688247801,0.005496524481498775
Sample_12,0.30837334207805484,0.2544607306392645,0.01599023654063073,0.099853787051653,0.08824728945892989,0.21577276243552046,0.01730185179594645
Sample_13,0.13297985684969338,0.4778811251416508,0.012587121267365966,0.03211908713374607,0.01848580526639632,0.27043096941851763,0.017678523982902195
Sample_14,0.15106699958229952,0.021902860178897234,0.010001192553643625,0.5621454855790796,0.06549599764307595,0.15179338083763666,0.01852824365685009
Sample_15,0.036237237564631083,0.5000040158717992,0.004566825249855751,0.0044628528114621,0.26204745497049514,0.169747897230609,0.022933716301147627
Sample_16,0.022997075474151994,0.4873170597995377,0.02413466181453506,0.10798918181590854,0.2668417473909017,0.07540530247937434,0.015314971225590423
Sample_17,0.011775099838831645,0.5359092264269569,0.026125607746568448,0.012532344345563553,0.38517886364118736,0.004359270116597479,0.020576224515608782
Sample_18,0.043867056135880454,0.04419499989982825,0.012264034026840518,0.6151749323244875,0.005568976014818676,0.20961183955881937,0.02696994170897222
Sample_19,0.03888963148257806,0.19253953601945972,0.02577325316751784,0.47323747015931505,0.012614594259392604,0.16150284312113541,0.022549290949087773
Sample_20,0.07831509202446968,0.31174671010341515,0.01753240631540021,0.01989966351793036,0.030166596181842663,0.5303799961794672,0.011959535677474945
Sample_21,0.3723054510363076,0.014644741315241466,0.007835722104828365,0.19136609648939687,0.3055500450019735,0.08869427784925026,0.01763234218982572
Sample_22,0.38957755599391586,0.03832288605344009,0.00567086057646533,0.11081810122119777,0.32262277535030126,0.1270903451648951,0.0058974756397844556
Sample_23,0.20434716835224478,0.3722768240195103,0.020183275338862758,0.03045781996358929,0.18762976124877456,0.17058405806108173,0.014521093015936501
Sample_24,0.4650263608873788,0.10111060385772283,0.01746085723399002,0.2632499034723812,0.03558130700405034,0.06552905102759317,0.015551096568697572
Sample_25,0.12937655779232243,0.15309112097660604,0.01281776485286508,0.3658051140978838,0.019012708504066247,0.30476958477044,0.00862475594773049
Sample_26,0.4888561935799137,0.09330978480125726,0.02467699943974441,0.2240176564600006,0.027738930987300996,0.13442157863488025,0.006978856096902539
Sample_27,0.2931205114145034,0.430666114006986,0.009290923791260671,0.07195305359856471,0.027104997013369214,0.04561695257763362,0.02835528320569895
Sample_28,0.2146954079229392,0.3515038538726037,0.006648787821466065,0.297235779775032,0.06125875893851265,0.018370401845035238,0.012468258859376994
Sample_29,0.05001845409752563,0.016504595793284272,0.016343665390685196,0.06243736539182074,0.540620021352033,0.30752833840807214,0.006547559566579168
Sample_30,0.32166762130059107,0.39005731326963816,0.0035191103883106863,0.030115439761414925,0.053927239639651445,0.18876153461739828,0.011951741022995637
Sample_31,0.15608500649901969,0.3547820866768672,0.02389056225792667,0.15136181976104993,0.2738341695679134,0.014751364354479138,0.007262679002230135
Sample_32,0.13933283273532304,0.16913689890123462,0.02035155210343263,0.32737400403803935,0.11380181646869944,0.21898968765297802,0.011013208100292805
Sample_33,0.014804081789962339,0.094401650481612,0.29938203869904256,0.13803830497347955,0.09185371660715655,0.08301073935036461,0.25108362114821303
Sample_34,0.17563232548208046,0.044076554532583224,0.019758971073506,0.206097959857014,0.199770151182219,0.18539130926486264,0.13478129044147927
Sample_35,0.4015877756787379,0.12466748706532396,0.01661980436089029,0.09874406119976652,0.17207207928140403,0.14492925752292704,0.0366378649131084
Sample_36,0.026032115849567435,0.04701432648891602,0.036475620831557184,0.008704401331059741,0.43751055218163387,0.39508854927869147,0.04917443403857422
Sample_37,0.14118620853781086,0.021009765493154142,0.093714425960842,0.17035842476270072,0.2894151833872087,0.26383837366022644,0.020477618198057095
Sample_38,0.17602415154369455,0.2668087264283718,0.3158299710675066,0.034095167782779,0.06089298297074189,0.06097782639459826,0.08537117381230795
Sample_39,0.029647468961284087,0.10526407845790575,0.21501622423306763,0.16709493547328597,0.20041574211251273,0.07672736269258465,0.20583418806935913
Sample_40,0.1312889799234653,0.07903963334966783,0.09518606708711964,0.0580679654152968,0.49994624516849806,0.06591692232259812,0.0600396818482717
Sample_41,0.09624182437854098,0.07770872313228425,0.26017695592900947,0.24860966309818947,0.004730813117804244,0.010104124521800142,0.3024278958223714
Sample_42,0.602953582890971,0.06304980993203423,0.019639925835879778,0.07773247940168092,0.04702004548841083,0.17929587521877308,0.009332725057336913
Sample_43,0.055600884002967775,0.29814500358822527,0.09000805734226389,0.016732609534137244,0.259442799312502,0.0037013746724164835,0.27636927154748736
Sample_44,0.07964915401895269,0.2647172311405606,0.01341323476385798,0.18354043939522574,0.09443705480902437,0.2261080791152561,0.060368781117628965
Sample_45,0.01521646869085528,0.23169911679040153,0.275266724320371,0.22386036873185947,0.20682501119241928,0.014068750502308377,0.03306355977178505
Sample_46,0.020878810400914494,0.21429371832850816,0.09681770678365939,0.13732164657023832,0.023404055345153132,0.1348396240258645,0.3724444385456619
Sample_47,0.08090997306255718,0.13566692148630566,0.032110915044179615,0.0029797652735566262,0.13960617695856292,0.5774141203695153,0.03131212780532291
Sample_48,0.07493780708416392,0.12322644393690958,0.027785255635681575,0.08090061210290118,0.3411882975609436,0.15474149090791955,0.1972200927714806
Sample_49,0.05366881742504126,0.13313599314260488,0.24279758623830733,0.11358982158162402,0.22583765447811485,0.09874541978666965,0.11734787857297958
Sample_50,0.055498042953222616,0.10373008700650838,0.004544097106188514,0.23963509303286684,0.24440895277853744,0.016403026959156124,0.33578070016352013
