,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.08525576730190572,0.034102306920762285,0.033099297893681046,0.08625877632898696,0.2587763289869609,0.21865596790371114,0.283851554663992,0.09739274179650885,0.05518073188491641,0.02927916100629837,0.09047141159380728,0.26320861026515036,0.2231121160903841,0.24135522736293466
Sample_695,0.004016064257028112,0.060240963855421686,0.3885542168674699,0.29518072289156627,0.030120481927710843,0.0050200803212851405,0.21686746987951808,0.005495446736151483,0.1109281760413358,0.35464252755731174,0.2897458089741055,0.030097405353289124,0.0125956541754782,0.1964949811623282
Sample_799,0.13855421686746988,0.07329317269076305,0.04216867469879518,0.045180722891566265,0.08032128514056225,0.3142570281124498,0.30622489959839355,0.1314793856190672,0.05207148016466589,0.04561220151519127,0.04147587027951159,0.07238270677377671,0.3366681693809285,0.3203101862668588
Sample_148,0.312625250501002,0.19739478957915832,0.027054108216432865,0.23547094188376755,0.0,0.19939879759519039,0.028056112224448898,0.3403532399428954,0.16661057245772254,0.023248826240076792,0.2360192674827447,0.003319569128477089,0.20181540528206718,0.028633119466016092
Sample_859,0.00802407221664995,0.23771313941825475,0.02106318956870612,0.5837512537612839,0.07823470411233702,0.04312938816449348,0.028084252758274825,0.008311078846842408,0.23505827316153727,0.0235055636864448,0.5778312224194274,0.07430024633565101,0.03149904780161388,0.021823634329782838
Sample_447,0.5090180360721442,0.00501002004008016,0.012024048096192385,0.013026052104208416,0.002004008016032064,0.4408817635270541,0.018036072144288578,0.5114976828389631,0.010790066030287393,0.015182957846959676,0.017651612510549662,0.005709573415565492,0.4257064032298283,0.013461704127846358
Sample_635,0.05823293172690763,0.15963855421686746,0.023092369477911646,0.29819277108433734,0.17369477911646586,0.2720883534136546,0.015060240963855422,0.058277966516993206,0.14514564571554864,0.026148191807460384,0.31002154616562977,0.15388961511764332,0.26710366174410854,0.01865497964267119
Sample_128,0.0,0.42326980942828485,0.007021063189568706,0.0020060180541624875,0.4864593781344032,0.0732196589769308,0.00802407221664995,0.00542221082107642,0.39453135773529985,0.0060388563970186,0.0062314375883883244,0.4897687797439731,0.08360656100480708,0.008938022110774735
Sample_813,0.1829145728643216,0.05728643216080402,0.12462311557788945,0.17688442211055277,0.061306532663316586,0.0020100502512562816,0.3949748743718593,0.1841779263434556,0.07666377915665391,0.1309079018494842,0.1869163939733116,0.06201908878291699,0.01252592854455419,0.34678898134962366
Sample_439,0.033099297893681046,0.21163490471414242,0.017051153460381142,0.23671013039117353,0.32898696088264795,0.16449348044132397,0.00802407221664995,0.029962783763101415,0.21313537977630784,0.020040057543935556,0.2348726804072233,0.31800172656438835,0.1719704747354685,0.012016897209575085
