,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
Sample_1,0.0724346076458752,0.3541247484909456,0.0120724346076458,0.317907444668008,0.2253521126760563,0.0,0.0181086519114688,0.06899875255094182,0.3299278551971192,0.006597424742323,0.31405297647616537,0.2173965673436858,0.004480552390968302,0.02573841487809551,Sample_1,-0.007629762966626711
Sample_2,0.2690763052208835,0.1987951807228915,0.0281124497991967,0.036144578313253,0.2831325301204819,0.1586345381526104,0.0261044176706827,0.2728657334235547,0.16990516177040044,0.029392763927377396,0.044296731336631895,0.29122998464740407,0.15533330605914206,0.02700029215543208,Sample_2,-0.0008958744847493774
Sample_3,0.0321931589537223,0.4647887323943662,0.0221327967806841,0.0,0.1750503018108652,0.2957746478873239,0.0100603621730382,0.03161769429901479,0.44602565924489757,0.020890169284654685,0.003149744599900171,0.1767854824136302,0.30667706828466545,0.014854181873237012,Sample_3,-0.004793819700198812
Sample_4,0.0,0.0422535211267605,0.0160965794768611,0.4728370221327967,0.4346076458752515,0.0201207243460764,0.0140845070422535,0.007018611560832499,0.031687229793269836,0.015492458815600588,0.46387985823178696,0.44978948313834294,0.015570391301240973,0.016561967158926424,Sample_4,-0.002477460116672924
Sample_5,0.6104417670682731,0.253012048192771,0.002008032128514,0.0421686746987951,0.0662650602409638,0.0,0.0261044176706827,0.5942876474371248,0.282443733717903,0.00247932817158,0.049712955523939145,0.046449258453822286,0.005960119767413311,0.018666956928217654,Sample_5,0.007437460742465048
Sample_6,0.2701612903225806,0.0282258064516129,0.0,0.1653225806451612,0.0,0.5342741935483871,0.002016129032258,0.29839075256625075,0.03772361735444889,0.001503651419393938,0.17432003628397327,0.006089821435806961,0.47548173166614494,0.00649038927398135,Sample_6,-0.00447426024172335
Sample_7,0.3983903420523139,0.0744466800804829,0.0221327967806841,0.4084507042253521,0.0603621730382293,0.0120724346076458,0.0241448692152917,0.3461379675314555,0.05265880075050804,0.011859858912796771,0.42616627983016575,0.06434610709375846,0.01223002146024218,0.024222718966436803,Sample_7,-7.784975114510234e-05
Sample_8,0.1285140562248996,0.0321285140562249,0.0281124497991967,0.5220883534136547,0.2630522088353413,0.0,0.0261044176706827,0.1250109320426196,0.03061393068396074,0.016086633996966186,0.5157738319729865,0.2607656786353792,0.006952287600302041,0.012315136085408632,Sample_8,0.01378928158527407
Sample_9,0.282258064516129,0.2681451612903225,0.0120967741935483,0.0,0.3346774193548387,0.0806451612903225,0.0221774193548387,0.28713915676587587,0.2955112297112252,0.011697632486364594,0.00306142797877859,0.3085549175889008,0.07930384868721692,0.014731786781638024,Sample_9,0.007445632573200677
Sample_10,0.2600806451612903,0.0,0.002016129032258,0.0524193548387096,0.1350806451612903,0.5282258064516129,0.0221774193548387,0.26541844962937355,0.018069021630785432,0.010052349277853626,0.04495117130549278,0.13320395907079927,0.5162371107979264,0.012067938287768887,Sample_10,0.010109481067069813
Sample_11,0.380281690140845,0.0643863179074446,0.0040241448692152,0.2313883299798792,0.2414486921529175,0.0603621730382293,0.0181086519114688,0.3707533912541719,0.04655943227889434,0.009800649223039965,0.22798289589569387,0.23135252810683565,0.06371339120607361,0.007042736543400038,Sample_11,0.011065915368068762
Sample_12,0.3205645161290322,0.2076612903225806,0.0141129032258064,0.0987903225806451,0.0927419354838709,0.2379032258064516,0.0282258064516129,0.2993247469262123,0.2510559585246103,0.018308499961722475,0.10683707876598783,0.09081716212755431,0.21783775550670406,0.01581879818720896,Sample_12,0.01240700826440394
Sample_13,0.1373737373737373,0.5313131313131313,0.006060606060606,0.0282828282828282,0.0202020202020202,0.2646464646464646,0.0121212121212121,0.1352309822787455,0.5265884302303171,0.0064486574033660775,0.028082975685889362,0.017149955322913486,0.2701426021167044,0.016356396962064007,Sample_13,-0.004235184840851907
Sample_14,0.1532258064516129,0.002016129032258,0.0120967741935483,0.5846774193548387,0.0584677419354838,0.1673387096774193,0.0221774193548387,0.1413776752345496,0.017761667313534485,0.012324497035687365,0.5638135281561012,0.059298417543483306,0.15720424469995178,0.014745906683953888,Sample_14,0.0074315126708848125
Sample_15,0.0342052313883299,0.5171026156941649,0.0,0.0020120724346076,0.2736418511066398,0.1569416498993963,0.0160965794768611,0.03743220805143479,0.4907826415979858,0.0036503828543717172,0.004260004994690672,0.27413416827444426,0.16741913722169718,0.0223214570053756,Sample_15,-0.0062248775285145
Sample_16,0.0201207243460764,0.4788732394366197,0.0181086519114688,0.1106639839034205,0.2655935613682093,0.0885311871227364,0.0181086519114688,0.023658289509928848,0.44603599571463776,0.02913044662643428,0.10680444452846993,0.27830387786266486,0.07456151065650626,0.014241383363852871,Sample_16,0.0038672685476159284
Sample_17,0.0100603621730382,0.5271629778672032,0.028169014084507,0.0140845070422535,0.3983903420523139,0.0040241448692152,0.0181086519114688,0.013051126091771174,0.488112446192867,0.02745907378581279,0.010759731919669172,0.3840676582007677,0.009148269198942826,0.026724517892726504,Sample_17,-0.008615865981257704
Sample_18,0.0342052313883299,0.0442655935613682,0.0100603621730382,0.6740442655935613,0.0,0.2173038229376257,0.0201207243460764,0.04097741673911248,0.03828901651229927,0.016612160737132734,0.6280208681036744,0.00495480622238399,0.1866982143240456,0.04227822037907723,Sample_18,-0.022157496033000833
Sample_19,0.0402414486921529,0.2474849094567404,0.0201207243460764,0.4989939637826961,0.0201207243460764,0.1609657947686116,0.0120724346076458,0.03891920661664833,0.1838369253190962,0.028474236660024382,0.5142582885847458,0.016511878761221215,0.16038505267384262,0.022030518489261946,Sample_19,-0.009958083881616146
Sample_20,0.0945674044265593,0.2696177062374245,0.0201207243460764,0.0160965794768611,0.0342052313883299,0.5653923541247485,0.0,0.08392220593519542,0.2600900984631025,0.02321350675497724,0.019233767861743793,0.03327111271202947,0.5635892229961869,0.01668008527676469,Sample_20,-0.01668008527676469
Sample_21,0.3855421686746988,0.0,0.0060240963855421,0.180722891566265,0.3132530120481928,0.0943775100401606,0.0200803212851405,0.3799882199185121,0.014790608509618068,0.011154001360659723,0.18500284506345988,0.2991925619645793,0.08981500006075242,0.020056763122418504,Sample_21,2.3558162721995513e-05
Sample_22,0.4012096774193548,0.0463709677419354,0.0080645161290322,0.1048387096774193,0.3165322580645161,0.1209677419354838,0.002016129032258,0.37733041154462366,0.03802009935757663,0.005319257289429376,0.11131782670125011,0.31940280884803945,0.14120554180670947,0.0074040544523714304,Sample_22,-0.00538792542011343
Sample_23,0.1955645161290322,0.3850806451612903,0.0161290322580645,0.0221774193548387,0.189516129032258,0.1814516129032258,0.0100806451612903,0.20031315255431367,0.38417830280939863,0.01965178515078554,0.025660004618610673,0.18963484425215654,0.168982993482561,0.011578917132174009,Sample_23,-0.0014982719708837092
Sample_24,0.4778225806451613,0.1129032258064516,0.0282258064516129,0.2580645161290322,0.0483870967741935,0.0625,0.0120967741935483,0.46040117618611187,0.10134526848537062,0.014467319493695409,0.2512316633364694,0.03610943145376596,0.0643715909947778,0.015930170933618436,Sample_24,-0.0038333967400701364
Sample_25,0.1391129032258064,0.1532258064516129,0.0060483870967741,0.3608870967741935,0.0161290322580645,0.3225806451612903,0.002016129032258,0.13884783550642732,0.14832377506438377,0.012933394212977492,0.3570130989284756,0.017655192610771402,0.3124368423054483,0.009837190717410679,Sample_25,-0.007821061685152678
Sample_26,0.4949698189134809,0.0684104627766599,0.0181086519114688,0.2193158953722334,0.0301810865191146,0.1649899396378269,0.0040241448692152,0.4659427909019963,0.11232230305910741,0.022409358847958014,0.2135671989352187,0.02657642475378317,0.1511493400838842,0.008032583418052405,Sample_26,-0.0040084385488372044
Sample_27,0.3326612903225806,0.4919354838709677,0.0120967741935483,0.0786290322580645,0.0362903225806451,0.0423387096774193,0.0060483870967741,0.30459498268431234,0.43235218287043553,0.011586103243133916,0.08153086119682812,0.0321403024037731,0.03854813961541844,0.021819575624457615,Sample_27,-0.015771188527683513
