,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
Sample_1,0.06899875255094182,0.3299278551971192,0.006597424742323,0.31405297647616537,0.2173965673436858,0.004480552390968302,0.02573841487809551
Sample_2,0.2728657334235547,0.16990516177040044,0.029392763927377396,0.044296731336631895,0.29122998464740407,0.15533330605914206,0.02700029215543208
Sample_3,0.03161769429901479,0.44602565924489757,0.020890169284654685,0.003149744599900171,0.1767854824136302,0.30667706828466545,0.014854181873237012
Sample_4,0.007018611560832499,0.031687229793269836,0.015492458815600588,0.46387985823178696,0.44978948313834294,0.015570391301240973,0.016561967158926424
Sample_5,0.5942876474371248,0.282443733717903,0.00247932817158,0.049712955523939145,0.046449258453822286,0.005960119767413311,0.018666956928217654
Sample_6,0.29839075256625075,0.03772361735444889,0.001503651419393938,0.17432003628397327,0.006089821435806961,0.47548173166614494,0.00649038927398135
Sample_7,0.3461379675314555,0.05265880075050804,0.011859858912796771,0.42616627983016575,0.06434610709375846,0.01223002146024218,0.024222718966436803
Sample_8,0.1250109320426196,0.03061393068396074,0.016086633996966186,0.5157738319729865,0.2607656786353792,0.006952287600302041,0.012315136085408632
Sample_9,0.28713915676587587,0.2955112297112252,0.011697632486364594,0.00306142797877859,0.3085549175889008,0.07930384868721692,0.014731786781638024
Sample_10,0.26541844962937355,0.018069021630785432,0.010052349277853626,0.04495117130549278,0.13320395907079927,0.5162371107979264,0.012067938287768887
Sample_11,0.3707533912541719,0.04655943227889434,0.009800649223039965,0.22798289589569387,0.23135252810683565,0.06371339120607361,0.007042736543400038
Sample_12,0.2993247469262123,0.2510559585246103,0.018308499961722475,0.10683707876598783,0.09081716212755431,0.21783775550670406,0.01581879818720896
Sample_13,0.1352309822787455,0.5265884302303171,0.0064486574033660775,0.028082975685889362,0.017149955322913486,0.2701426021167044,0.016356396962064007
Sample_14,0.1413776752345496,0.017761667313534485,0.012324497035687365,0.5638135281561012,0.059298417543483306,0.15720424469995178,0.014745906683953888
Sample_15,0.03743220805143479,0.4907826415979858,0.0036503828543717172,0.004260004994690672,0.27413416827444426,0.16741913722169718,0.0223214570053756
Sample_16,0.023658289509928848,0.44603599571463776,0.02913044662643428,0.10680444452846993,0.27830387786266486,0.07456151065650626,0.014241383363852871
Sample_17,0.013051126091771174,0.488112446192867,0.02745907378581279,0.010759731919669172,0.3840676582007677,0.009148269198942826,0.026724517892726504
Sample_18,0.04097741673911248,0.03828901651229927,0.016612160737132734,0.6280208681036744,0.00495480622238399,0.1866982143240456,0.04227822037907723
Sample_19,0.03891920661664833,0.1838369253190962,0.028474236660024382,0.5142582885847458,0.016511878761221215,0.16038505267384262,0.022030518489261946
Sample_20,0.08392220593519542,0.2600900984631025,0.02321350675497724,0.019233767861743793,0.03327111271202947,0.5635892229961869,0.01668008527676469
Sample_21,0.3799882199185121,0.014790608509618068,0.011154001360659723,0.18500284506345988,0.2991925619645793,0.08981500006075242,0.020056763122418504
Sample_22,0.37733041154462366,0.03802009935757663,0.005319257289429376,0.11131782670125011,0.31940280884803945,0.14120554180670947,0.0074040544523714304
Sample_23,0.20031315255431367,0.38417830280939863,0.01965178515078554,0.025660004618610673,0.18963484425215654,0.168982993482561,0.011578917132174009
Sample_24,0.46040117618611187,0.10134526848537062,0.014467319493695409,0.2512316633364694,0.03610943145376596,0.0643715909947778,0.015930170933618436
Sample_25,0.13884783550642732,0.14832377506438377,0.012933394212977492,0.3570130989284756,0.017655192610771402,0.3124368423054483,0.009837190717410679
