,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs
Sample_891,0.09538152610441768,0.01706827309236948,0.071285140562249,0.32630522088353414,0.2540160642570281,0.19477911646586346,0.04116465863453815,0.10149832662547296,0.024237642710971667,0.07032082981599425,0.3185087224949446,0.2668343850712651,0.16331126548052935,0.055288827800822206
Sample_695,0.07021063189568706,0.0020060180541624875,0.06619859578736209,0.18254764292878636,0.22768304914744233,0.24674022066198595,0.2046138415245737,0.060491252505568645,0.029488882456282065,0.07824606334597828,0.18867177644163294,0.2335852453711368,0.22302674143820309,0.18649003844119824
Sample_799,0.0321285140562249,0.0642570281124498,0.09437751004016064,0.3002008032128514,0.11546184738955824,0.3634538152610442,0.030120481927710843,0.033161167453054766,0.04668490740755566,0.09610124051411621,0.3119541051042187,0.11781414025276818,0.3624056987443895,0.03187874052389701
Sample_148,0.0,0.1584754262788365,0.02708124373119358,0.25576730190571717,0.08425275827482448,0.4463390170511535,0.028084252758274825,0.003370870927703495,0.1613224155610966,0.03613777681066815,0.243277338291794,0.083845037153912,0.44773290953029615,0.024313651724529522
Sample_859,0.0050200803212851405,0.07429718875502007,0.14357429718875503,0.002008032128514056,0.12751004016064257,0.2921686746987952,0.35542168674698793,0.008111974583777165,0.07351567739953241,0.15127282059874975,0.0032694014419701396,0.11778421496997728,0.28888770563154204,0.3571582053744512
Sample_447,0.37713139418254765,0.23671013039117353,0.012036108324974924,0.28284854563691075,0.062186559679037114,0.011033099297893681,0.01805416248746239,0.3546344896020244,0.24805704891277303,0.013165236491802085,0.29073660860884626,0.060879761394068414,0.01220531899621775,0.010848606584129089
Sample_635,0.20281124497991967,0.43775100401606426,0.023092369477911646,0.1686746987951807,0.0853413654618474,0.06726907630522089,0.015060240963855422,0.18837091798044908,0.4044536121429359,0.02267851447672216,0.17096614509560418,0.08426019991876622,0.06241083473955396,0.01628300236530368
Sample_128,0.591182364729459,0.031062124248496994,0.0070140280561122245,0.12324649298597194,0.23947895791583165,0.0,0.008016032064128256,0.5342161180974372,0.020848817117881956,0.011612071490602909,0.11324160615416277,0.22845936710037537,0.003987240024048335,0.006047313930621791
Sample_813,0.23092369477911648,0.09939759036144578,0.04417670682730924,0.024096385542168676,0.04317269076305221,0.5220883534136547,0.03614457831325301,0.24447615537574313,0.1428596975004264,0.020429626144889194,0.025957521515840205,0.04090571469118579,0.5005481878007945,0.02482309697112095
Sample_439,0.030120481927710843,0.040160642570281124,0.01706827309236948,0.48895582329317266,0.02710843373493976,0.3885542168674699,0.008032128514056224,0.03358488839203897,0.04601390760507966,0.014818760108181672,0.475908930819817,0.028085677532910608,0.38736093598356597,0.014226899558406106
Sample_748,0.2751004016064257,0.14558232931726908,0.035140562248995984,0.07530120481927711,0.2891566265060241,0.07429718875502007,0.10542168674698796,0.2564708140103716,0.1502095083298273,0.05556067788637835,0.08134700114531021,0.2786722984941064,0.07226494126618709,0.10547475886781889
Sample_529,0.029087261785356068,0.26078234704112335,0.0,0.4593781344032096,0.13039117352056168,0.10832497492477432,0.012036108324974924,0.03164632471148409,0.24608225758864047,0.006224262425367281,0.4727038844917972,0.12403486259355209,0.10066226059372015,0.018646147595438724
Sample_559,0.08341708542713568,0.06030150753768844,0.02814070351758794,0.3798994974874372,0.28241206030150756,0.1407035175879397,0.02512562814070352,0.08404222321988677,0.06014772100895217,0.025857312116893308,0.3734312470299108,0.28182374350938444,0.13551507661265516,0.020479378633496553
Sample_593,0.07931726907630522,0.33032128514056225,0.024096385542168676,0.09136546184738956,0.09136546184738956,0.357429718875502,0.02610441767068273,0.07016964810111469,0.32741057229077486,0.02384761796765002,0.09213290241437054,0.10481261571277185,0.35910548750534355,0.022521156007974642
Sample_500,0.23269809428284854,0.15446339017051153,0.0010030090270812437,0.11434302908726178,0.14543630892678033,0.33099297893681046,0.02106318956870612,0.2456284755715086,0.15553944844722087,0.0025817605508519255,0.11995572352612735,0.14672438112102829,0.3165748812677159,0.012995329515547023
Sample_506,0.7078313253012049,0.07530120481927711,0.014056224899598393,0.0391566265060241,0.09236947791164658,0.05923694779116466,0.012048192771084338,0.6948506143302271,0.0783365882574887,0.019579624404567716,0.0356761427407585,0.087177410218821,0.0638150084407262,0.016185413094773275
Sample_46,0.1213640922768305,0.0,0.017051153460381142,0.011033099297893681,0.19759277833500502,0.6479438314944834,0.0050150451354062184,0.11472963446283369,0.026594805465804748,0.020827401479741058,0.011179077377271203,0.21632008492689628,0.6003458951397354,0.010003101147717625
Sample_21,0.00802407221664995,0.16549648946840523,0.006018054162487462,0.48746238716148443,0.21865596790371114,0.09428284854563691,0.020060180541624874,0.008841270726310415,0.13593234271001356,0.008286946157609205,0.4739322479356272,0.22142158653518287,0.09101434786580742,0.016868654323803484
Sample_307,0.12537612838515547,0.031093279839518557,0.011033099297893681,0.2688064192577733,0.18956870611835505,0.3550651955867603,0.01905717151454363,0.12617213879668646,0.03598769310398862,0.012128534038964429,0.26432571801627974,0.1908564141746245,0.34904894006736015,0.0214805618020961
Sample_63,0.09939759036144578,0.16566265060240964,0.018072289156626505,0.6054216867469879,0.05220883534136546,0.05120481927710843,0.008032128514056224,0.08217094067702797,0.11508158900363971,0.008734564692438386,0.6123206269130483,0.04544582235128383,0.05920108647970907,0.008942604884507722
Sample_619,0.03610832497492478,0.3520561685055166,0.028084252758274825,0.09227683049147442,0.004012036108324975,0.48244734202607825,0.0050150451354062184,0.0352886382446545,0.3544076721853296,0.03832536477946394,0.0865644943776829,0.003895792329081912,0.4703270626050529,0.011190975478734296
Sample_796,0.11546184738955824,0.010040160642570281,0.12349397590361445,0.1857429718875502,0.2319277108433735,0.14056224899598393,0.1927710843373494,0.11984552090854342,0.029528232818947744,0.11274897858866932,0.19376615588003715,0.22432357535625483,0.14547709815730375,0.17431043829024367
Sample_106,0.2848545636910732,0.0,0.009027081243731194,0.41223671013039115,0.1624874623871615,0.10932798395185557,0.022066198595787363,0.27697656081455496,0.017978530212608826,0.009331355751801352,0.4013277766434916,0.1568605171200918,0.12139598962988982,0.016129269827561528
Sample_871,0.2781124497991968,0.20983935742971888,0.08032128514056225,0.11646586345381527,0.06726907630522089,0.02108433734939759,0.22690763052208834,0.2684594164963486,0.22650062830515888,0.07013759166020501,0.10464402730669027,0.0705218136604302,0.027529057099893207,0.23220746547127377
Sample_349,0.463855421686747,0.21285140562248997,0.002008032128514056,0.02108433734939759,0.1757028112449799,0.11847389558232932,0.006024096385542169,0.40947657909995905,0.2504879827776487,0.00447434168402571,0.020967387919108453,0.19113827310884518,0.11696702381236988,0.006488411598042758
Sample_483,0.43887775551102204,0.21042084168336672,0.022044088176352707,0.15831663326653306,0.1062124248496994,0.03807615230460922,0.026052104208416832,0.42880071380186535,0.21623052885679886,0.02573586456423356,0.1488465737027763,0.1208385238455376,0.03342551262727344,0.01808376713166779
Sample_573,0.2597793380140421,0.07221664994984955,0.0,0.5476429287863591,0.08826479438314945,0.011033099297893681,0.02106318956870612,0.24161786081347572,0.047214678458188046,0.007878385303900113,0.5432865952564007,0.09955772377910023,0.017545491130851035,0.01291455100697766
Sample_396,0.42570281124497994,0.01706827309236948,0.01104417670682731,0.05923694779116466,0.43775100401606426,0.02208835341365462,0.02710843373493976,0.4250514314579436,0.023485788818602197,0.01013840407955445,0.06318111620642176,0.4121675112691236,0.02248957951261519,0.017026460514753514
Sample_198,0.5787362086258776,0.0,0.012036108324974924,0.12236710130391174,0.25376128385155466,0.028084252758274825,0.0050150451354062184,0.5544041856743179,0.00806876670466257,0.012817567309499258,0.12266867656646065,0.24842691046625834,0.027750906457283744,0.006419955447233342
Sample_797,0.12437311935807423,0.0712136409227683,0.1765295887662989,0.07021063189568706,0.28284854563691075,0.07823470411233702,0.19658976930792377,0.13693387375666471,0.09183865627639658,0.1739987718356649,0.07185739653453294,0.2768613118002487,0.06912647057046467,0.17938351922602747
Sample_181,0.019076305220883535,0.3293172690763052,0.02108433734939759,0.17369477911646586,0.3895582329317269,0.05421686746987952,0.013052208835341365,0.020805945852885328,0.32164665957742583,0.014176112889202609,0.16799508078172792,0.4050575322928963,0.044119248825387654,0.01758551996724726
Sample_270,0.20080321285140562,0.010040160642570281,0.028112449799196786,0.22690763052208834,0.08132530120481928,0.4357429718875502,0.01706827309236948,0.20790480196869854,0.01983630091917423,0.02533606241729189,0.22842186081100604,0.07733459593808487,0.42240375659097534,0.015936274511525194
Sample_520,0.050200803212851405,0.5170682730923695,0.0,0.023092369477911646,0.17369477911646586,0.21485943775100402,0.02108433734939759,0.045880020596405696,0.5026292841853919,0.003376721247557567,0.024260105469660346,0.16077350657189118,0.228789914801816,0.01875454204313663
Sample_511,0.6710130391173521,0.026078234704112337,0.014042126379137413,0.17552657973921765,0.04513540621865597,0.04312938816449348,0.025075225677031094,0.6369680080471963,0.038523538675354164,0.023398553194547006,0.18725867952562655,0.042364941475003366,0.04840033740030543,0.020178145522616056
Sample_388,0.43587174348697394,0.06913827655310621,0.004008016032064128,0.08316633266533066,0.156312625250501,0.22645290581162325,0.025050100200400802,0.4495559349592478,0.06630085614512105,0.00920387311512299,0.0803037545453,0.14288836437346822,0.23039342764252838,0.021353789219211595
